label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,sample
,,2,,57.07062,0.083,1.0,,,,,,,,4394931
,,4,,59.04986,0.083,1.0,,,,,,,,80367034
,,9,,69.07045,0.083,1.0,,,,,,,,16331337
,,12,,73.06532,0.083,1.0,,,,,,,,12504093
,,14,,81.07033,0.083,1.0,,,,,,,,10998238
,,16,,85.10151,0.083,1.0,,,,,,,,31278027
,,18,,87.08077,0.083,1.0,,,,,,,,13597133
,,19,,89.06003,0.083,1.0,,,,,,,,11846664
,,23,,95.08574,0.083,1.0,,,,,,,,2598789
,,24,,97.10136,0.083,1.0,,,,,,,,2664921
,,32,,115.1117,0.083,1.0,,,,,,,,8737254
,,43,,57.07067,0.354,1.0,,,,,,,,3990312
,,44,,59.04987,0.354,1.0,,,,,,,,66464974
,,47,,149.02287,1.026,1.0,,,,,,,,17568915
,,52,,279.15814,1.026,1.0,,,,,,,,24254210
,,59,,89.5071,1.038,1.0,,,,,,,,26818903
,,62,,101.10764,1.038,1.0,,,,,,,,292671
,,65,,109.52167,1.038,1.0,,,,,,,,20511617
,,87,,154.98981,1.038,1.0,,,,,,,,55593274
,,114,,83.0608,1.05,1.0,,,,,,,,850726159
,,115,,84.08115,1.05,1.0,,,,,,,,410539936
,,138,,182.98462,1.05,1.0,,,,,,,,55670159
,,162,,122.08101,1.062,1.0,,,,,,,,46943892
,,163,,123.05511,1.062,1.0,,,,,,,,47249803
,,165,,127.07505,1.062,1.0,,,,,,,,5715306
,,235,,199.98717,1.074,1.0,,,,,,,,43443800
,,252,,60.04509,1.099,1.0,,,,,,,,697840262
,,253,,79.02168,1.099,1.0,,,,,,,,229451597
,,266,,171.14845,1.111,1.0,,,,,,,,22666777
,,281,,127.11138,1.123,1.0,,,,,,,,2992484
,,318,,132.10158,1.161,1.0,,,,,,,,11059178
,,335,,158.96075,1.199,1.0,,,,,,,,15657022
,,341,,137.04547,1.211,1.0,,,,,,,,48385967
,,343,,269.0871,1.211,1.0,,,,,,,,18663553
,,361,,72.08138,1.236,1.0,,,,,,,,34239718
,,386,,229.11761,1.629,1.0,,,,,,,,58031241
,,407,,83.06084,2.437,1.0,,,,,,,,636887291
,,420,,160.07518,2.744,1.0,,,,,,,,17905509
,,428,,160.07526,2.886,1.0,,,,,,,,17074060
,,446,,114.09135,3.116,1.0,,,,,,,,18931159
,,453,,160.07521,3.245,1.0,,,,,,,,32199797
,,457,,130.15891,3.308,1.0,,,,,,,,35453558
,,477,,204.15875,3.859,1.0,,,,,,,,6881233
,,485,,272.18463,3.935,1.0,,,,,,,,9259877
,,517,,220.15361,4.52,1.0,,,,,,,,5700119
,,564,,262.15811,5.219,1.0,,,,,,,,8263892
,,566,,280.16913,5.219,1.0,,,,,,,,100869115
,,587,,294.18478,5.32,1.0,,,,,,,,244677073
,,591,,411.26276,5.32,1.0,,,,,,,,6845041
,,612,,118.08624,5.394,1.0,,,,,,,,161512400
,,615,,310.17935,5.458,1.0,,,,,,,,34192739
,,639,,280.16861,5.61,1.0,,,,,,,,15478332
,,651,,294.18442,5.725,1.0,,,,,,,,24859641
,,658,,280.16907,5.748,1.0,,,,,,,,51842583
,,660,,183.07756,5.762,1.0,,,,,,,,5767868
,,668,,182.98463,5.775,1.0,,,,,,,,12236077
,,677,,294.18491,5.875,1.0,,,,,,,,92269670
,,683,,310.17917,5.937,1.0,,,,,,,,28838153
,,697,,280.16843,6.064,1.0,,,,,,,,16578927
,,701,,294.18414,6.151,1.0,,,,,,,,9299689
,,713,,310.17923,6.354,1.0,,,,,,,,30654497
,,723,,246.20563,6.482,1.0,,,,,,,,13781139
,,763,,250.15823,6.926,1.0,,,,,,,,23122681
,,790,,264.17426,7.089,1.0,,,,,,,,375477345
,,810,,264.23129,7.114,1.0,,,,,,,,15193654
,,831,,278.18988,7.213,1.0,,,,,,,,78942079
,,852,,216.15877,7.314,1.0,,,,,,,,6737760
,,868,,233.13173,7.388,1.0,,,,,,,,10358036
,,870,,294.18478,7.388,1.0,,,,,,,,484478107
,,877,,587.36151,7.388,1.0,,,,,,,,74786750
,,932,,244.18994,7.628,1.0,,,,,,,,4891886
,,1014,,192.13776,8.179,1.0,,,,,,,,37048093
,,1025,,149.02293,8.228,1.0,,,,,,,,31937823
,,1031,,223.09573,8.228,1.0,,,,,,,,14820946
,,1035,,274.27353,8.278,1.0,,,,,,,,180322569
,,1040,,230.2471,8.315,1.0,,,,,,,,10296130
,,1051,,318.29922,8.365,1.0,,,,,,,,5750040
,,1057,,290.26791,8.415,1.0,,,,,,,,7361038
,,1075,,158.15367,8.514,1.0,,,,,,,,52249636
,,1082,,228.19514,8.551,1.0,,,,,,,,64432118
