label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,sample
,,3,,149.02286,1.019,1.0,,,,,,,,19021332
,,16,,89.50711,1.031,1.0,,,,,,,,26596780
,,42,,154.98985,1.031,1.0,,,,,,,,49730985
,,63,,279.15802,1.031,1.0,,,,,,,,28557915
,,68,,83.06084,1.043,1.0,,,,,,,,811545500
,,88,,182.9847,1.043,1.0,,,,,,,,58021481
,,106,,85.08453,1.055,1.0,,,,,,,,51946105
,,111,,103.0948,1.055,1.0,,,,,,,,4537048
,,115,,122.08101,1.055,1.0,,,,,,,,94468075
,,116,,123.05512,1.055,1.0,,,,,,,,27762395
,,118,,127.07508,1.055,1.0,,,,,,,,9665223
,,126,,141.09048,1.055,1.0,,,,,,,,3475644
,,154,,242.03386,1.055,1.0,,,,,,,,27036163
,,162,,60.0451,1.067,1.0,,,,,,,,473527945
,,188,,199.98721,1.067,1.0,,,,,,,,55291000
,,232,,79.02172,1.092,1.0,,,,,,,,201281478
,,233,,84.08118,1.092,1.0,,,,,,,,916561816
,,272,,72.08136,1.153,1.0,,,,,,,,28160684
,,274,,114.0913,1.153,1.0,,,,,,,,29688372
,,301,,137.13213,1.177,1.0,,,,,,,,64004508
,,320,,57.07062,1.202,1.0,,,,,,,,9221887
,,324,,137.04552,1.202,1.0,,,,,,,,28085942
,,328,,269.08704,1.202,1.0,,,,,,,,9118351
,,349,,132.10165,1.241,1.0,,,,,,,,17113508
,,363,,257.11218,1.49,1.0,,,,,,,,19312041
,,369,,229.11771,1.603,1.0,,,,,,,,65537534
,,385,,110.0202,2.565,1.0,,,,,,,,48170246
,,390,,160.07524,2.716,1.0,,,,,,,,31514668
,,395,,160.0753,2.867,1.0,,,,,,,,32877308
,,416,,160.07526,3.218,1.0,,,,,,,,68136023
,,421,,130.15884,3.381,1.0,,,,,,,,22690029
,,437,,326.17404,3.706,1.0,,,,,,,,14807873
,,448,,204.15887,3.918,1.0,,,,,,,,6417841
,,453,,272.18466,3.98,1.0,,,,,,,,6533875
,,479,,296.16391,4.344,1.0,,,,,,,,100353407
,,482,,326.17392,4.344,1.0,,,,,,,,19350635
,,499,,310.17969,4.444,1.0,,,,,,,,188620543
,,520,,118.08624,4.583,1.0,,,,,,,,200371583
,,538,,326.17407,4.809,1.0,,,,,,,,7574801
,,567,,248.14273,5.145,1.0,,,,,,,,17028565
,,570,,266.15332,5.145,1.0,,,,,,,,29934634
,,579,,296.16333,5.258,1.0,,,,,,,,8753809
,,591,,262.15823,5.295,1.0,,,,,,,,22962255
,,594,,280.16916,5.295,1.0,,,,,,,,245943491
,,607,,310.17917,5.37,1.0,,,,,,,,9708277
,,611,,294.18475,5.395,1.0,,,,,,,,49196932
,,639,,292.13223,5.508,1.0,,,,,,,,36621979
,,644,,310.17966,5.532,1.0,,,,,,,,62898549
,,659,,326.1741,5.581,1.0,,,,,,,,15292066
,,679,,280.16882,5.694,1.0,,,,,,,,27457010
,,698,,182.98474,5.807,1.0,,,,,,,,22121857
,,710,,264.13745,5.857,1.0,,,,,,,,7491660
,,716,,278.1532,5.992,1.0,,,,,,,,15586794
,,725,,310.17963,6.017,1.0,,,,,,,,75973725
,,751,,310.1792,6.439,1.0,,,,,,,,15840266
,,772,,246.20561,6.576,1.0,,,,,,,,12735170
,,824,,430.29388,7.138,1.0,,,,,,,,3325497
,,847,,264.23138,7.226,1.0,,,,,,,,19522906
,,874,,331.24692,7.277,1.0,,,,,,,,17771192
,,879,,376.30466,7.277,1.0,,,,,,,,11130159
,,897,,464.2995,7.326,1.0,,,,,,,,18450415
,,911,,374.28897,7.376,1.0,,,,,,,,6831026
,,929,,347.24173,7.463,1.0,,,,,,,,4645907
,,993,,244.19011,7.641,1.0,,,,,,,,8380992
,,1005,,333.26254,7.641,1.0,,,,,,,,12526717
,,1055,,355.24677,7.865,1.0,,,,,,,,14758100
,,1060,,400.30453,7.865,1.0,,,,,,,,7350310
,,1098,,466.31516,8.028,1.0,,,,,,,,10744599
,,1130,,192.13785,8.191,1.0,,,,,,,,42886450
,,1144,,149.02312,8.228,1.0,,,,,,,,57113073
,,1152,,223.09596,8.228,1.0,,,,,,,,25649314
,,1188,,274.27377,8.401,1.0,,,,,,,,163538592
,,1203,,158.1537,8.513,1.0,,,,,,,,53569834
,,1212,,228.19513,8.551,1.0,,,,,,,,119278558
,,1215,,273.25253,8.551,1.0,,,,,,,,38923619
,,1240,,200.23657,8.7,1.0,,,,,,,,11840152
,,1255,,302.26807,8.774,1.0,,,,,,,,9403287
,,1257,,288.28882,8.787,1.0,,,,,,,,22250902
,,1274,,214.25241,8.886,1.0,,,,,,,,961218429
,,1286,,60.04515,8.898,1.0,,,,,,,,194991167
,,1292,,288.28885,8.985,1.0,,,,,,,,13877136
,,1333,,330.26285,9.195,1.0,,,,,,,,23264406
,,1359,,432.237,9.232,1.0,,,,,,,,42890763
,,1424,,302.30457,9.552,1.0,,,,,,,,21897134
,,1462,,393.28482,9.875,1.0,,,,,,,,16080962
,,1467,,421.31607,9.875,1.0,,,,,,,,16119121
,,1519,,415.21039,10.219,1.0,,,,,,,,31857250
,,1522,,432.23697,10.219,1.0,,,,,,,,23462915
,,1526,,460.26849,10.219,1.0,,,,,,,,106501307
,,1565,,388.22177,10.304,1.0,,,,,,,,7717942
,,1587,,279.23105,10.378,1.0,,,,,,,,11796339
,,1589,,297.24161,10.378,1.0,,,,,,,,26746197
,,1592,,315.25211,10.378,1.0,,,,,,,,14918581
,,1630,,460.26788,10.501,1.0,,,,,,,,8821969
,,1639,,330.33569,10.625,1.0,,,,,,,,48063500
,,1678,,339.25204,10.861,1.0,,,,,,,,10866274
,,1690,,361.23376,10.872,1.0,,,,,,,,12964123
,,1745,,385.23373,10.996,1.0,,,,,,,,7825906
,,1771,,502.29129,11.032,1.0,,,,,,,,15454937
,,1775,,526.2915,11.032,1.0,,,,,,,,26526970
,,1811,,526.29169,11.168,1.0,,,,,,,,53344452
,,1824,,478.29126,11.179,1.0,,,,,,,,7347676
,,1832,,502.29117,11.192,1.0,,,,,,,,25246279
,,1836,,274.17917,11.229,1.0,,,,,,,,15472423
,,1845,,149.02295,11.266,1.0,,,,,,,,24939532
,,1848,,279.1582,11.266,1.0,,,,,,,,51680055
,,1869,,255.23097,11.352,1.0,,,,,,,,12407662
,,1872,,358.36667,11.352,1.0,,,,,,,,11361286
,,1927,,271.22586,11.523,1.0,,,,,,,,22660572
,,1980,,64.01651,11.815,1.0,,,,,,,,59006148
,,2006,,105.0425,11.901,1.0,,,,,,,,34168164
,,2015,,734.56708,11.913,1.0,,,,,,,,21178113
,,2027,,64.01651,11.938,1.0,,,,,,,,55721510
,,2035,,214.25221,11.938,1.0,,,,,,,,12971341
,,2042,,226.01137,11.95,1.0,,,,,,,,11218913
,,2052,,144.98172,11.962,1.0,,,,,,,,5977095
,,2068,,113.071,12.033,1.0,,,,,,,,91544769
,,2069,,140.08144,12.033,1.0,,,,,,,,120310198
,,2070,,141.08461,12.033,1.0,,,,,,,,9067572
,,2073,,56.0503,12.045,1.0,,,,,,,,184150390
,,2086,,72.06881,12.056,1.0,,,,,,,,25801362
,,2094,,60.0451,12.079,1.0,,,,,,,,482801589
,,2095,,81.04521,12.079,1.0,,,,,,,,260517242
