label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,sample
,,12,,109.52161,1.027,1.0,,,,,,,,22937707
,,50,,279.15799,1.027,1.0,,,,,,,,21056620
,,58,,84.08118,1.038,1.0,,,,,,,,549935993
,,59,,85.08453,1.038,1.0,,,,,,,,35232113
,,65,,103.09481,1.038,1.0,,,,,,,,3078300
,,74,,122.08102,1.038,1.0,,,,,,,,31017523
,,82,,154.98978,1.038,1.0,,,,,,,,36748231
,,116,,83.06084,1.05,1.0,,,,,,,,812161047
,,125,,123.05515,1.05,1.0,,,,,,,,25182777
,,138,,182.98465,1.05,1.0,,,,,,,,48133475
,,194,,199.98714,1.062,1.0,,,,,,,,41860298
,,221,,79.02169,1.099,1.0,,,,,,,,213454810
,,231,,60.0451,1.111,1.0,,,,,,,,229124132
,,253,,99.0806,1.123,1.0,,,,,,,,8108990
,,274,,143.08105,1.136,1.0,,,,,,,,55891247
,,290,,72.08135,1.16,1.0,,,,,,,,29151235
,,291,,99.09993,1.16,1.0,,,,,,,,802388
,,334,,158.96075,1.185,1.0,,,,,,,,13264596
,,345,,137.04539,1.197,1.0,,,,,,,,19852016
,,347,,153.12685,1.197,1.0,,,,,,,,41501575
,,356,,57.0706,1.221,1.0,,,,,,,,11482849
,,362,,132.10162,1.246,1.0,,,,,,,,19300628
,,364,,137.1321,1.246,1.0,,,,,,,,31630448
,,383,,229.11763,1.594,1.0,,,,,,,,86276648
,,397,,110.02011,2.485,1.0,,,,,,,,57078701
,,402,,160.07518,2.735,1.0,,,,,,,,32802229
,,412,,160.07521,2.871,1.0,,,,,,,,34988565
,,441,,328.11993,3.132,1.0,,,,,,,,40796370
,,460,,160.07524,3.218,1.0,,,,,,,,71621266
,,475,,130.15878,3.38,1.0,,,,,,,,23709854
,,487,,328.12039,3.38,1.0,,,,,,,,75520338
,,513,,356.15115,3.603,1.0,,,,,,,,4167695
,,745,,246.20558,6.579,1.0,,,,,,,,9879140
,,799,,331.24673,7.153,1.0,,,,,,,,7558330
,,802,,376.30447,7.153,1.0,,,,,,,,7915687
,,809,,264.23123,7.252,1.0,,,,,,,,18188672
,,819,,331.24664,7.264,1.0,,,,,,,,12993303
,,822,,376.30435,7.264,1.0,,,,,,,,8644642
,,841,,374.28885,7.363,1.0,,,,,,,,9713895
,,855,,334.27289,7.425,1.0,,,,,,,,8472458
,,859,,279.15826,7.45,1.0,,,,,,,,27079722
