label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,sample
,,2,,59.04985,0.154,1.0,,,,,,,,60997411
,,4,,69.07045,0.154,1.0,,,,,,,,10626261
,,5,,85.1015,0.154,1.0,,,,,,,,25106978
,,16,,127.11141,0.154,1.0,,,,,,,,1218712
,,21,,135.11639,0.154,1.0,,,,,,,,3596883
,,23,,137.1321,0.154,1.0,,,,,,,,20803454
,,28,,149.04433,0.154,1.0,,,,,,,,3080519
,,31,,153.12694,0.154,1.0,,,,,,,,18626055
,,63,,136.06143,1.03,1.0,,,,,,,,41019561
,,64,,149.02271,1.03,1.0,,,,,,,,15838230
,,76,,102.09151,1.041,1.0,,,,,,,,41753996
,,77,,103.09473,1.041,1.0,,,,,,,,3604332
,,80,,109.52156,1.041,1.0,,,,,,,,18737884
,,105,,154.98976,1.041,1.0,,,,,,,,59184806
,,124,,279.1582,1.041,1.0,,,,,,,,21745131
,,129,,83.06081,1.053,1.0,,,,,,,,923746673
,,130,,84.08116,1.053,1.0,,,,,,,,406933533
,,131,,85.0845,1.053,1.0,,,,,,,,26771939
,,160,,182.98462,1.053,1.0,,,,,,,,44845937
,,193,,122.08102,1.065,1.0,,,,,,,,57303275
,,194,,123.05511,1.065,1.0,,,,,,,,62920255
,,252,,135.11636,1.077,1.0,,,,,,,,1567739
,,254,,171.99234,1.077,1.0,,,,,,,,26529676
,,267,,79.02171,1.089,1.0,,,,,,,,237550468
,,268,,132.10158,1.089,1.0,,,,,,,,11197472
,,290,,268.10297,1.103,1.0,,,,,,,,12577953
,,295,,60.04513,1.114,1.0,,,,,,,,938060423
,,333,,72.08139,1.164,1.0,,,,,,,,22268365
,,369,,137.04549,1.225,1.0,,,,,,,,51560053
,,375,,269.08719,1.225,1.0,,,,,,,,20013199
,,390,,137.1321,1.263,1.0,,,,,,,,34514530
,,400,,123.0551,1.503,1.0,,,,,,,,40480047
,,415,,229.11768,1.656,1.0,,,,,,,,66515917
,,421,,250.09254,1.965,1.0,,,,,,,,12197207
,,432,,110.02013,2.401,1.0,,,,,,,,101859351
,,444,,328.11975,2.645,1.0,,,,,,,,31251615
,,461,,242.06494,2.837,1.0,,,,,,,,5623418
,,498,,283.06219,2.953,1.0,,,,,,,,6072287
,,502,,300.08875,2.953,1.0,,,,,,,,8535581
,,520,,114.09134,3.107,1.0,,,,,,,,22771296
,,541,,283.06216,3.197,1.0,,,,,,,,6138815
,,546,,328.12018,3.197,1.0,,,,,,,,37270915
,,554,,130.15881,3.221,1.0,,,,,,,,25757484
,,562,,160.07518,3.272,1.0,,,,,,,,23120110
,,568,,188.09245,3.388,1.0,,,,,,,,5889379
,,569,,356.15118,3.401,1.0,,,,,,,,12837631
,,605,,344.11499,3.722,1.0,,,,,,,,15436470
,,615,,204.15884,3.786,1.0,,,,,,,,5240707
,,629,,272.18466,3.864,1.0,,,,,,,,14575578
,,632,,372.14603,3.864,1.0,,,,,,,,5354021
,,650,,372.14606,3.98,1.0,,,,,,,,5239174
,,672,,342.0993,4.262,1.0,,,,,,,,6406500
