label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,sample
,,3,,103.11181,0.116,1.0,,,,,,,,8933233
,,15,,121.12209,0.116,1.0,,,,,,,,17797968
,,26,,135.11636,0.116,1.0,,,,,,,,2874077
,,28,,137.13202,0.116,1.0,,,,,,,,17702470
,,41,,153.12686,0.116,1.0,,,,,,,,16749780
,,71,,223.06293,0.116,1.0,,,,,,,,17353156
,,80,,281.0498,0.116,1.0,,,,,,,,4747629
,,84,,297.08151,0.116,1.0,,,,,,,,22202815
,,111,,89.50713,1.033,1.0,,,,,,,,25525884
,,114,,101.11549,1.033,1.0,,,,,,,,331818
,,116,,109.52171,1.033,1.0,,,,,,,,19797123
,,138,,149.02289,1.033,1.0,,,,,,,,14896484
,,140,,154.98987,1.033,1.0,,,,,,,,47398977
,,160,,279.15808,1.033,1.0,,,,,,,,21411704
,,166,,83.06082,1.045,1.0,,,,,,,,994503034
,,168,,103.0948,1.045,1.0,,,,,,,,2427751
,,187,,182.98465,1.045,1.0,,,,,,,,44775475
,,206,,57.07061,1.056,1.0,,,,,,,,8202236
,,207,,85.08455,1.056,1.0,,,,,,,,32356080
,,221,,122.08103,1.056,1.0,,,,,,,,53535170
,,222,,123.05514,1.056,1.0,,,,,,,,50968561
,,277,,199.98723,1.068,1.0,,,,,,,,53070054
,,295,,79.02174,1.08,1.0,,,,,,,,250107079
,,316,,60.04511,1.106,1.0,,,,,,,,829457324
,,361,,72.08134,1.18,1.0,,,,,,,,29830349
,,366,,132.10159,1.18,1.0,,,,,,,,16944294
,,368,,158.96074,1.18,1.0,,,,,,,,16006119
,,369,,171.14853,1.18,1.0,,,,,,,,18225294
,,380,,84.08121,1.193,1.0,,,,,,,,1090248312
,,390,,137.04547,1.205,1.0,,,,,,,,26692504
,,396,,269.08698,1.205,1.0,,,,,,,,9152512
,,400,,137.13211,1.217,1.0,,,,,,,,57850653
,,425,,257.11227,1.492,1.0,,,,,,,,32890327
,,435,,229.11772,1.633,1.0,,,,,,,,71530515
,,448,,166.08578,1.914,1.0,,,,,,,,12320495
,,449,,110.02017,2.298,1.0,,,,,,,,40616766
,,463,,83.06088,2.717,1.0,,,,,,,,966074262
,,464,,160.07527,2.73,1.0,,,,,,,,16843269
,,479,,160.0752,2.87,1.0,,,,,,,,20233858
,,503,,242.065,2.997,1.0,,,,,,,,5899245
,,526,,114.09138,3.112,1.0,,,,,,,,21695752
,,534,,160.07524,3.24,1.0,,,,,,,,25879387
,,541,,356.15115,3.278,1.0,,,,,,,,7565066
,,552,,188.0925,3.303,1.0,,,,,,,,6270625
,,557,,328.12006,3.303,1.0,,,,,,,,20227361
