label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,sample
,,4,,391.28439,0.066,1.0,,,,,,,,272685
,,6,,367.2998,0.072,1.0,,,,,,,,409377
,,7,,373.27393,0.072,1.0,,,,,,,,274035
,,9,,383.29468,0.072,1.0,,,,,,,,259600
,,70,,511.47263,0.845,1.0,,,,,,,,632667
,,75,,367.29993,0.854,1.0,,,,,,,,1728659
,,80,,380.34402,0.854,1.0,,,,,,,,491480
,,83,,383.29474,0.854,1.0,,,,,,,,1098441
,,84,,391.28448,0.854,1.0,,,,,,,,1089983
,,85,,395.33121,0.854,1.0,,,,,,,,644731
,,100,,373.27396,0.971,1.0,,,,,,,,602871
,,103,,395.33109,0.971,1.0,,,,,,,,314735
,,104,,352.31299,0.98,1.0,,,,,,,,4665367
,,106,,368.30786,0.98,1.0,,,,,,,,1318949
,,109,,383.29465,0.98,1.0,,,,,,,,824115
,,125,,365.12115,1.014,1.0,,,,,,,,21698
,,144,,406.32971,1.014,1.0,,,,,,,,3767530
,,183,,488.27023,1.014,1.0,,,,,,,,4049680
,,192,,526.43243,1.014,1.0,,,,,,,,2724089
,,193,,532.29651,1.014,1.0,,,,,,,,3822436
,,219,,400.21832,1.029,1.0,,,,,,,,3060700
,,226,,444.24457,1.029,1.0,,,,,,,,3659616
,,271,,810.60083,1.029,1.0,,,,,,,,2539822
,,281,,662.02814,1.043,1.0,,,,,,,,1587027
,,290,,365.10559,1.058,1.0,,,,,,,,849653
,,309,,664.11682,1.058,1.0,,,,,,,,3684825
,,342,,604.02448,1.072,1.0,,,,,,,,597300
,,353,,692.95752,1.072,1.0,,,,,,,,12267669
,,357,,744.08337,1.072,1.0,,,,,,,,8636926
,,363,,799.01007,1.072,1.0,,,,,,,,2629999
,,364,,814.03088,1.072,1.0,,,,,,,,926189
,,381,,428.03717,1.087,1.0,,,,,,,,3129944
,,395,,622.03546,1.087,1.0,,,,,,,,1530745
,,406,,743.10876,1.087,1.0,,,,,,,,3103350
,,433,,728.93396,1.101,1.0,,,,,,,,2090264
,,436,,774.09344,1.101,1.0,,,,,,,,1107064
,,439,,815.03821,1.101,1.0,,,,,,,,1390964
,,518,,443.01633,1.159,1.0,,,,,,,,2259198
,,552,,692.95734,1.188,1.0,,,,,,,,49897000
,,566,,360.14993,1.217,1.0,,,,,,,,3787451
,,571,,448.36334,1.217,1.0,,,,,,,,1247666
,,585,,677.99213,1.231,1.0,,,,,,,,1622800
,,586,,728.93353,1.231,1.0,,,,,,,,9111102
,,589,,987.10852,1.231,1.0,,,,,,,,1829616
,,596,,428.03668,1.246,1.0,,,,,,,,11944019
,,618,,622.0351,1.275,1.0,,,,,,,,5579787
,,619,,744.08325,1.275,1.0,,,,,,,,19318370
,,620,,745.08606,1.275,1.0,,,,,,,,4850240
,,621,,746.09888,1.275,1.0,,,,,,,,22507104
,,626,,412.35742,1.289,1.0,,,,,,,,1379822
,,638,,762.09302,1.304,1.0,,,,,,,,1834812
,,644,,448.36343,1.332,1.0,,,,,,,,977753
,,653,,436.34244,1.376,1.0,,,,,,,,894676
,,654,,384.32635,1.405,1.0,,,,,,,,1390603
,,655,,420.33218,1.405,1.0,,,,,,,,1791824
,,656,,412.35724,1.419,1.0,,,,,,,,1211439
,,665,,390.16202,1.679,1.0,,,,,,,,1850432
,,669,,635.10187,1.838,1.0,,,,,,,,671609
,,685,,695.13428,1.867,1.0,,,,,,,,333758
,,700,,446.98782,1.881,1.0,,,,,,,,406719
,,716,,799.01025,1.997,1.0,,,,,,,,13632889
,,719,,746.09943,2.011,1.0,,,,,,,,57698648
,,725,,384.32639,2.17,1.0,,,,,,,,2476014
,,726,,412.35776,2.198,1.0,,,,,,,,2473371
,,731,,630.08502,2.256,1.0,,,,,,,,658769
,,733,,669.10706,2.256,1.0,,,,,,,,1893889
,,737,,428.03711,2.285,1.0,,,,,,,,6422606
,,740,,640.04639,2.285,1.0,,,,,,,,72957414
,,748,,622.03534,2.3,1.0,,,,,,,,2094439
,,749,,636.08569,2.3,1.0,,,,,,,,505065
,,751,,666.13263,2.3,1.0,,,,,,,,2628593
,,756,,744.08344,2.3,1.0,,,,,,,,15854399
,,757,,745.08643,2.3,1.0,,,,,,,,1161553
,,763,,654.09576,2.314,1.0,,,,,,,,683440
,,765,,728.93384,2.314,1.0,,,,,,,,2210781
,,787,,590.14404,2.343,1.0,,,,,,,,137658
,,791,,692.95721,2.343,1.0,,,,,,,,17593753
,,796,,817.021,2.343,1.0,,,,,,,,3094899
,,828,,729.07233,2.358,1.0,,,,,,,,2472145
,,837,,834.98749,2.358,1.0,,,,,,,,3705513
,,867,,669.10699,2.372,1.0,,,,,,,,1369426
,,870,,746.09955,2.372,1.0,,,,,,,,127993925
,,907,,770.05695,2.387,1.0,,,,,,,,2345997
,,934,,768.0813,2.401,1.0,,,,,,,,1807400
,,1020,,670.09113,2.459,1.0,,,,,,,,1705052
,,1041,,574.13013,2.474,1.0,,,,,,,,851193
,,1093,,590.125,2.516,1.0,,,,,,,,656867
,,1236,,382.17126,2.76,1.0,,,,,,,,282628
,,1243,,688.1571,2.76,1.0,,,,,,,,1388772
,,1247,,441.33301,2.771,1.0,,,,,,,,347966
,,1249,,359.10428,2.783,1.0,,,,,,,,382865
,,1318,,485.35931,2.85,1.0,,,,,,,,194275
,,1359,,441.3331,2.905,1.0,,,,,,,,608814
,,1507,,585.37567,3.093,1.0,,,,,,,,722878
,,1745,,356.19205,3.287,1.0,,,,,,,,1322066
,,1821,,786.16589,3.365,1.0,,,,,,,,3197988
,,1824,,913.47101,3.365,1.0,,,,,,,,124007
,,1828,,372.25992,3.38,1.0,,,,,,,,1527303
,,1850,,875.04242,3.38,1.0,,,,,,,,386617
,,1874,,358.20782,3.429,1.0,,,,,,,,1943731
,,1877,,386.2392,3.429,1.0,,,,,,,,1673868
,,1887,,457.11282,3.438,1.0,,,,,,,,534447
,,1898,,370.20789,3.479,1.0,,,,,,,,524645
,,1899,,372.18713,3.479,1.0,,,,,,,,481716
,,1900,,377.14252,3.479,1.0,,,,,,,,299275
,,1901,,400.21872,3.479,1.0,,,,,,,,1347871
,,1917,,371.2283,3.539,1.0,,,,,,,,1110951
,,1918,,388.25504,3.539,1.0,,,,,,,,10388123
,,1922,,393.21008,3.539,1.0,,,,,,,,382952
,,1923,,416.28629,3.539,1.0,,,,,,,,1722966
,,1956,,377.14624,3.584,1.0,,,,,,,,795822
,,1959,,402.23438,3.584,1.0,,,,,,,,2348376
,,1963,,430.26563,3.584,1.0,,,,,,,,1353661
,,1967,,953.36853,3.584,1.0,,,,,,,,319169
,,1969,,447.28571,3.597,1.0,,,,,,,,495657
,,2003,,444.24478,3.633,1.0,,,,,,,,1626074
,,2009,,414.23404,3.642,1.0,,,,,,,,571843
,,2010,,506.77591,3.642,1.0,,,,,,,,271244
,,2014,,356.22845,3.656,1.0,,,,,,,,9883330
,,2024,,432.28131,3.671,1.0,,,,,,,,12428229
,,2027,,437.23645,3.671,1.0,,,,,,,,366877
,,2028,,460.31241,3.671,1.0,,,,,,,,1935754
,,2044,,563.29742,3.696,1.0,,,,,,,,1240386
,,2060,,370.20792,3.72,1.0,,,,,,,,1032130
,,2061,,429.23383,3.72,1.0,,,,,,,,399643
,,2063,,446.26059,3.72,1.0,,,,,,,,2607700
,,2110,,458.26025,3.786,1.0,,,,,,,,626692
,,2112,,504.33875,3.786,1.0,,,,,,,,1939295
,,2127,,476.30771,3.801,1.0,,,,,,,,14885265
,,2136,,746.09906,3.801,1.0,,,,,,,,2535260
,,2146,,355.19669,3.829,1.0,,,,,,,,2522710
,,2148,,372.22348,3.829,1.0,,,,,,,,44488080
,,2153,,377.17847,3.829,1.0,,,,,,,,1350755
,,2156,,400.25479,3.829,1.0,,,,,,,,8509323
,,2165,,490.28671,3.843,1.0,,,,,,,,2506576
,,2168,,591.29205,3.843,1.0,,,,,,,,1227604
,,2172,,503.27631,3.858,1.0,,,,,,,,7551246
,,2173,,504.28009,3.858,1.0,,,,,,,,1946261
,,2182,,386.2027,3.887,1.0,,,,,,,,1827902
,,2184,,414.2345,3.887,1.0,,,,,,,,1115035
,,2192,,520.33411,3.901,1.0,,,,,,,,13676388
,,2196,,548.36505,3.901,1.0,,,,,,,,1261945
,,2263,,534.31281,3.959,1.0,,,,,,,,2098716
,,2283,,371.22791,3.973,1.0,,,,,,,,1598961
,,2287,,416.24954,3.973,1.0,,,,,,,,53524917
,,2293,,421.20453,3.973,1.0,,,,,,,,982207
,,2296,,444.28079,3.973,1.0,,,,,,,,6999407
,,2374,,547.33337,4.002,1.0,,,,,,,,688773
,,2375,,548.29218,4.002,1.0,,,,,,,,450888
,,2379,,564.36017,4.002,1.0,,,,,,,,11328707
,,2384,,592.39111,4.002,1.0,,,,,,,,777367
,,2403,,531.27112,4.016,1.0,,,,,,,,4256505
,,2428,,420.23871,4.031,1.0,,,,,,,,443318
,,2430,,430.22922,4.031,1.0,,,,,,,,2443137
,,2432,,458.26047,4.031,1.0,,,,,,,,890140
