label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,sample
,,7,,367.29996,0.126,1.0,,,,,,,,1078209
,,11,,373.27405,0.126,1.0,,,,,,,,627032
,,15,,391.28452,0.126,1.0,,,,,,,,714865
,,18,,511.47266,0.126,1.0,,,,,,,,325975
,,58,,383.2948,0.182,1.0,,,,,,,,515251
,,63,,419.31583,0.182,1.0,,,,,,,,475381
,,74,,368.30795,0.246,1.0,,,,,,,,2065191
,,88,,367.29999,0.95,1.0,,,,,,,,1418011
,,93,,373.27408,0.95,1.0,,,,,,,,649239
,,95,,383.29486,0.95,1.0,,,,,,,,919513
,,147,,406.32953,1.015,1.0,,,,,,,,3290930
,,175,,444.24438,1.015,1.0,,,,,,,,3357957
,,206,,532.29694,1.015,1.0,,,,,,,,3660773
,,273,,662.02826,1.058,1.0,,,,,,,,1103079
,,275,,664.11725,1.058,1.0,,,,,,,,747465
,,316,,744.08429,1.073,1.0,,,,,,,,12465592
,,323,,799.01074,1.073,1.0,,,,,,,,5120378
,,338,,428.0372,1.087,1.0,,,,,,,,2529063
,,350,,622.03564,1.087,1.0,,,,,,,,1908481
,,358,,728.93433,1.087,1.0,,,,,,,,1629247
,,360,,743.10931,1.087,1.0,,,,,,,,2427228
,,401,,774.09387,1.102,1.0,,,,,,,,2856408
,,419,,675.95441,1.116,1.0,,,,,,,,1764762
,,423,,714.08289,1.116,1.0,,,,,,,,859362
,,490,,692.9574,1.217,1.0,,,,,,,,34300212
,,494,,428.03702,1.246,1.0,,,,,,,,5775638
,,501,,662.0282,1.246,1.0,,,,,,,,2144956
,,503,,700.06677,1.246,1.0,,,,,,,,4634150
,,504,,714.08221,1.246,1.0,,,,,,,,2538912
,,512,,604.02472,1.261,1.0,,,,,,,,1958543
,,513,,622.03528,1.261,1.0,,,,,,,,6363357
,,519,,746.09875,1.261,1.0,,,,,,,,32728471
,,530,,436.3425,1.275,1.0,,,,,,,,1594041
,,537,,728.93384,1.275,1.0,,,,,,,,8768160
,,538,,744.08374,1.275,1.0,,,,,,,,39531115
,,550,,412.35751,1.29,1.0,,,,,,,,1640647
,,561,,420.33191,1.333,1.0,,,,,,,,2668062
,,566,,384.3262,1.376,1.0,,,,,,,,2681254
,,581,,390.1622,1.593,1.0,,,,,,,,3282221
,,609,,728.93408,1.853,1.0,,,,,,,,2240435
,,616,,384.32632,2.17,1.0,,,,,,,,2059056
,,617,,744.08331,2.17,1.0,,,,,,,,15254863
,,618,,412.35776,2.184,1.0,,,,,,,,2178873
,,625,,636.086,2.284,1.0,,,,,,,,417495
,,632,,666.13287,2.312,1.0,,,,,,,,1595838
,,650,,652.08087,2.356,1.0,,,,,,,,709464
,,666,,692.9577,2.37,1.0,,,,,,,,15347500
,,669,,799.01093,2.37,1.0,,,,,,,,21863244
,,690,,746.09967,2.399,1.0,,,,,,,,53364207
,,692,,770.05719,2.399,1.0,,,,,,,,1006467
,,718,,462.10245,2.439,1.0,,,,,,,,425976
,,720,,613.15228,2.439,1.0,,,,,,,,682490
,,739,,597.15741,2.453,1.0,,,,,,,,378904
,,752,,574.13031,2.468,1.0,,,,,,,,348655
,,753,,629.14728,2.468,1.0,,,,,,,,482819
,,876,,402.21277,3.166,1.0,,,,,,,,223940
,,923,,356.19189,3.28,1.0,,,,,,,,1450999
,,934,,372.25992,3.368,1.0,,,,,,,,1672437
,,938,,786.16559,3.38,1.0,,,,,,,,1095258
,,941,,358.20773,3.418,1.0,,,,,,,,2133946
,,944,,386.23904,3.418,1.0,,,,,,,,1866833
,,954,,372.18686,3.462,1.0,,,,,,,,548530
,,955,,377.14224,3.462,1.0,,,,,,,,408392
,,957,,400.21832,3.462,1.0,,,,,,,,1558912
,,958,,370.20773,3.474,1.0,,,,,,,,588259
,,959,,371.21133,3.474,1.0,,,,,,,,85866
,,960,,471.35495,3.496,1.0,,,,,,,,189496
,,962,,371.22812,3.536,1.0,,,,,,,,1231047
,,963,,388.25491,3.536,1.0,,,,,,,,11479536
,,966,,393.20969,3.536,1.0,,,,,,,,385715
,,968,,416.28598,3.536,1.0,,,,,,,,1884416
,,972,,385.20731,3.572,1.0,,,,,,,,293576
,,973,,402.23434,3.572,1.0,,,,,,,,2764077
,,976,,430.26553,3.572,1.0,,,,,,,,1446381
,,979,,372.22342,3.586,1.0,,,,,,,,841249
,,980,,447.28598,3.601,1.0,,,,,,,,591759
,,985,,444.2446,3.628,1.0,,,,,,,,1804891
,,990,,414.23373,3.642,1.0,,,,,,,,653057
,,992,,356.22842,3.656,1.0,,,,,,,,11215186
,,995,,432.28125,3.671,1.0,,,,,,,,13840306
,,998,,437.23615,3.671,1.0,,,,,,,,374975
,,999,,460.31229,3.671,1.0,,,,,,,,2248087
,,1007,,563.297,3.696,1.0,,,,,,,,1428710
,,1012,,429.2337,3.711,1.0,,,,,,,,436596
,,1022,,446.26044,3.721,1.0,,,,,,,,2922973
