label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,sample
,,12,,373.27411,0.211,1.0,,,,,,,,992407
,,23,,367.30005,0.224,1.0,,,,,,,,2277525
,,31,,391.28452,0.224,1.0,,,,,,,,772379
,,34,,395.33124,0.224,1.0,,,,,,,,456107
,,46,,511.47281,0.224,1.0,,,,,,,,602774
,,54,,371.29483,0.233,1.0,,,,,,,,450860
,,59,,383.29495,0.233,1.0,,,,,,,,1352605
,,63,,419.31595,0.233,1.0,,,,,,,,759143
,,91,,368.30823,0.559,1.0,,,,,,,,2381712
,,101,,367.29999,0.98,1.0,,,,,,,,976333
,,107,,373.27417,0.98,1.0,,,,,,,,530350
,,109,,383.2948,0.98,1.0,,,,,,,,656397
,,113,,391.28452,0.98,1.0,,,,,,,,634632
,,114,,395.33136,0.98,1.0,,,,,,,,271434
,,124,,419.31598,0.98,1.0,,,,,,,,717456
,,216,,444.24435,1.014,1.0,,,,,,,,3533993
,,250,,532.29694,1.014,1.0,,,,,,,,3960682
,,304,,664.11719,1.056,1.0,,,,,,,,937806
,,329,,508.00385,1.071,1.0,,,,,,,,778181
,,335,,604.02515,1.071,1.0,,,,,,,,1214838
,,337,,622.03577,1.071,1.0,,,,,,,,2164650
,,346,,692.95758,1.071,1.0,,,,,,,,1159270
,,352,,744.08453,1.071,1.0,,,,,,,,23408889
,,359,,798.00208,1.071,1.0,,,,,,,,2440143
,,360,,799.00989,1.071,1.0,,,,,,,,2984414
,,362,,832.97174,1.071,1.0,,,,,,,,1000371
,,462,,443.01697,1.114,1.0,,,,,,,,3351512
,,482,,774.09442,1.114,1.0,,,,,,,,1178599
,,553,,420.33237,1.199,1.0,,,,,,,,1198887
,,563,,436.34271,1.242,1.0,,,,,,,,1988770
,,571,,412.35779,1.271,1.0,,,,,,,,2251759
,,573,,428.03729,1.271,1.0,,,,,,,,5395606
,,575,,508.00357,1.271,1.0,,,,,,,,1911581
,,577,,604.02502,1.271,1.0,,,,,,,,2775451
,,579,,622.03564,1.271,1.0,,,,,,,,5261616
,,586,,744.08435,1.271,1.0,,,,,,,,60442927
,,589,,796.99402,1.271,1.0,,,,,,,,1788811
,,590,,832.97205,1.271,1.0,,,,,,,,2216901
,,604,,384.32635,1.315,1.0,,,,,,,,1879889
,,613,,774.09406,1.329,1.0,,,,,,,,1856805
,,627,,640.04633,1.399,1.0,,,,,,,,5366292
,,668,,390.16226,1.592,1.0,,,,,,,,892425
,,725,,370.0528,1.754,1.0,,,,,,,,374643
,,739,,443.01672,1.754,1.0,,,,,,,,412907
,,741,,446.98795,1.754,1.0,,,,,,,,563422
,,761,,695.13434,1.754,1.0,,,,,,,,469158
,,790,,390.16229,1.783,1.0,,,,,,,,483736
,,806,,744.0838,2.169,1.0,,,,,,,,13916771
,,821,,431.14136,2.266,1.0,,,,,,,,260285
,,833,,666.13293,2.331,1.0,,,,,,,,1108155
,,843,,799.01099,2.371,1.0,,,,,,,,5671073
,,880,,664.17279,2.731,1.0,,,,,,,,391612
,,884,,441.33298,2.763,1.0,,,,,,,,760920
,,887,,359.104,2.774,1.0,,,,,,,,469577
,,895,,485.35931,2.843,1.0,,,,,,,,218508
,,899,,441.33301,2.902,1.0,,,,,,,,514379
,,921,,585.37555,3.089,1.0,,,,,,,,385994
,,952,,640.04614,3.156,1.0,,,,,,,,990061
,,1002,,356.19199,3.278,1.0,,,,,,,,1308751
,,1006,,372.25995,3.372,1.0,,,,,,,,1561928
,,1011,,358.20761,3.421,1.0,,,,,,,,1979334
,,1015,,386.23892,3.421,1.0,,,,,,,,1689042
,,1026,,370.2077,3.471,1.0,,,,,,,,537270
,,1027,,371.211,3.471,1.0,,,,,,,,67831
,,1028,,372.18698,3.471,1.0,,,,,,,,519521
,,1029,,377.14227,3.471,1.0,,,,,,,,380569
,,1030,,400.21838,3.471,1.0,,,,,,,,1393871
,,1034,,371.22806,3.533,1.0,,,,,,,,1086941
,,1035,,388.25485,3.533,1.0,,,,,,,,10468461
,,1038,,393.20978,3.533,1.0,,,,,,,,382217
,,1041,,416.28595,3.533,1.0,,,,,,,,1639809
,,1044,,377.14615,3.58,1.0,,,,,,,,933157
,,1046,,402.23434,3.58,1.0,,,,,,,,2707992
,,1049,,430.26547,3.58,1.0,,,,,,,,1416140
,,1052,,372.22327,3.589,1.0,,,,,,,,850455
,,1053,,447.28601,3.589,1.0,,,,,,,,546965
,,1057,,416.2131,3.63,1.0,,,,,,,,603661
,,1059,,444.24445,3.63,1.0,,,,,,,,1637266
,,1065,,414.23367,3.644,1.0,,,,,,,,668654
,,1068,,356.22833,3.655,1.0,,,,,,,,11756060
,,1072,,432.28107,3.666,1.0,,,,,,,,14148294
,,1076,,437.23584,3.666,1.0,,,,,,,,325518
,,1079,,460.31213,3.666,1.0,,,,,,,,2326463
,,1085,,563.29706,3.688,1.0,,,,,,,,1344837
,,1089,,430.22302,3.7,1.0,,,,,,,,512260
,,1096,,429.23361,3.713,1.0,,,,,,,,376430
,,1098,,446.26047,3.713,1.0,,,,,,,,2724502
,,1099,,447.26358,3.713,1.0,,,,,,,,543716
,,1115,,488.27087,3.765,1.0,,,,,,,,1382463
,,1121,,458.26013,3.78,1.0,,,,,,,,689065
,,1132,,476.30759,3.794,1.0,,,,,,,,14843203
,,1136,,504.3385,3.794,1.0,,,,,,,,1722070
,,1143,,355.19656,3.823,1.0,,,,,,,,2611766
,,1144,,372.2233,3.823,1.0,,,,,,,,46611524
,,1149,,377.17831,3.823,1.0,,,,,,,,1480038
,,1153,,400.2547,3.823,1.0,,,,,,,,8630828
,,1160,,490.28656,3.837,1.0,,,,,,,,2710616
,,1163,,518.31781,3.837,1.0,,,,,,,,647336
,,1164,,591.29199,3.837,1.0,,,,,,,,1414857
,,1172,,503.27594,3.852,1.0,,,,,,,,8615204
,,1173,,504.27975,3.852,1.0,,,,,,,,2242919
,,1200,,460.28412,3.866,1.0,,,,,,,,1328337
,,1288,,386.20251,3.88,1.0,,,,,,,,1974933
,,1290,,414.23428,3.88,1.0,,,,,,,,1261520
,,1320,,520.33398,3.895,1.0,,,,,,,,13566931
,,1324,,548.36481,3.895,1.0,,,,,,,,1253656
,,1343,,534.31281,3.952,1.0,,,,,,,,2114621
,,1352,,371.22781,3.966,1.0,,,,,,,,1971002
,,1353,,399.22293,3.966,1.0,,,,,,,,4541280
,,1355,,416.24948,3.966,1.0,,,,,,,,55520462
,,1360,,421.20444,3.966,1.0,,,,,,,,1072429
,,1363,,444.28082,3.966,1.0,,,,,,,,7038988
,,1367,,591.29175,3.966,1.0,,,,,,,,1662044
,,1368,,592.29529,3.966,1.0,,,,,,,,500752
,,1370,,548.29218,3.995,1.0,,,,,,,,525992
,,1371,,564.36029,3.995,1.0,,,,,,,,11671106
,,1381,,453.34399,4.01,1.0,,,,,,,,403818
,,1385,,531.27136,4.01,1.0,,,,,,,,5344254
,,1386,,532.27478,4.01,1.0,,,,,,,,1567614
,,1390,,420.23862,4.024,1.0,,,,,,,,438229
,,1391,,430.22931,4.024,1.0,,,,,,,,2605636
,,1396,,458.26038,4.039,1.0,,,,,,,,1083986
,,1398,,355.23297,4.053,1.0,,,,,,,,832660
,,1404,,578.33917,4.053,1.0,,,,,,,,1533462
,,1408,,377.21475,4.082,1.0,,,,,,,,784271
,,1409,,548.32825,4.082,1.0,,,,,,,,845647
,,1411,,608.3858,4.082,1.0,,,,,,,,8855649
,,1415,,636.41675,4.082,1.0,,,,,,,,469645
,,1417,,415.25381,4.096,1.0,,,,,,,,2318420
,,1419,,443.2489,4.096,1.0,,,,,,,,6536945
,,1421,,460.27551,4.096,1.0,,,,,,,,71654646
,,1427,,465.23071,4.096,1.0,,,,,,,,1057847
,,1431,,488.30676,4.096,1.0,,,,,,,,6540662
,,1588,,391.19406,4.139,1.0,,,,,,,,1263408
,,1589,,622.36517,4.139,1.0,,,,,,,,953671
,,1598,,474.25525,4.154,1.0,,,,,,,,3710578
,,1599,,502.28629,4.154,1.0,,,,,,,,721462
,,1600,,550.32599,4.154,1.0,,,,,,,,407582
,,1602,,619.28687,4.154,1.0,,,,,,,,1749004
,,1609,,652.41241,4.168,1.0,,,,,,,,5976068
,,1614,,448.23343,4.182,1.0,,,,,,,,1088251
,,1617,,531.30731,4.182,1.0,,,,,,,,3273748
,,1620,,399.25888,4.197,1.0,,,,,,,,1550600
,,1630,,487.27512,4.211,1.0,,,,,,,,4958746
,,1633,,504.30173,4.211,1.0,,,,,,,,84253163
,,1637,,509.25687,4.211,1.0,,,,,,,,947795
,,1640,,532.33289,4.211,1.0,,,,,,,,5122840
,,1645,,356.19156,4.225,1.0,,,,,,,,119207901
,,1650,,361.1467,4.225,1.0,,,,,,,,5082454
,,1652,,370.20697,4.225,1.0,,,,,,,,1171886
,,1653,,371.10583,4.225,1.0,,,,,,,,1691251
,,1656,,384.2229,4.225,1.0,,,,,,,,25630423
,,1664,,666.39044,4.225,1.0,,,,,,,,669246
,,1671,,566.42792,4.239,1.0,,,,,,,,663468
,,1680,,696.43811,4.254,1.0,,,,,,,,1895714
,,1687,,518.28131,4.268,1.0,,,,,,,,3935854
,,1691,,435.22049,4.283,1.0,,,,,,,,1209130
,,1694,,443.28522,4.311,1.0,,,,,,,,2413890
,,1698,,531.30182,4.311,1.0,,,,,,,,3691191
,,1699,,548.32843,4.311,1.0,,,,,,,,66149344
,,1703,,551.33636,4.311,1.0,,,,,,,,548630
,,1704,,553.28308,4.311,1.0,,,,,,,,796576
,,1707,,576.35938,4.311,1.0,,,,,,,,3600512
,,1723,,559.30188,4.354,1.0,,,,,,,,2262703
,,1728,,562.30701,4.369,1.0,,,,,,,,3749217
,,1737,,355.19598,4.383,1.0,,,,,,,,3555016
,,1740,,400.21774,4.383,1.0,,,,,,,,172349747
,,1745,,405.17276,4.383,1.0,,,,,,,,4185995
,,1772,,592.35413,4.397,1.0,,,,,,,,56668038
,,1773,,592.41742,4.397,1.0,,,,,,,,88119
,,1776,,595.36176,4.397,1.0,,,,,,,,591106
,,1778,,597.30878,4.397,1.0,,,,,,,,673362
,,1781,,620.38495,4.397,1.0,,,,,,,,2846333
,,1790,,487.3114,4.411,1.0,,,,,,,,3259349
