label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,sample
,,13,,109.52163,1.026,1.0,,,,,,,,24598981
,,58,,85.0845,1.037,1.0,,,,,,,,69727791
,,61,,103.09473,1.037,1.0,,,,,,,,4591863
,,75,,154.9897,1.037,1.0,,,,,,,,49346270
,,113,,83.06077,1.049,1.0,,,,,,,,985174775
,,114,,84.08112,1.049,1.0,,,,,,,,1059961006
,,118,,98.09655,1.049,1.0,,,,,,,,22308218
,,122,,102.09148,1.049,1.0,,,,,,,,56636837
,,140,,182.98457,1.049,1.0,,,,,,,,88364390
,,151,,242.03368,1.049,1.0,,,,,,,,37650915
,,163,,57.0706,1.061,1.0,,,,,,,,30302826
,,192,,199.98703,1.061,1.0,,,,,,,,63668247
,,210,,60.04505,1.072,1.0,,,,,,,,194980768
,,250,,149.02278,1.084,1.0,,,,,,,,33945830
,,294,,79.02166,1.157,1.0,,,,,,,,199231734
,,310,,137.04533,1.181,1.0,,,,,,,,23249549
,,321,,72.08131,1.193,1.0,,,,,,,,33933556
,,350,,324.21542,1.229,1.0,,,,,,,,55978907
,,355,,132.10156,1.303,1.0,,,,,,,,21274295
,,366,,229.11755,1.561,1.0,,,,,,,,71083912
,,388,,160.07518,2.715,1.0,,,,,,,,46556736
,,390,,160.07526,2.874,1.0,,,,,,,,50703919
,,404,,160.07526,3.192,1.0,,,,,,,,98431834
,,456,,314.12592,4.147,1.0,,,,,,,,70904810
,,470,,372.16721,4.259,1.0,,,,,,,,18129662
,,599,,482.18341,5.827,1.0,,,,,,,,11705721
,,667,,466.18903,6.844,1.0,,,,,,,,64551179
,,702,,331.24646,7.152,1.0,,,,,,,,6997764
,,705,,376.30423,7.152,1.0,,,,,,,,8624490
,,712,,482.18359,7.202,1.0,,,,,,,,26340918
,,734,,331.24661,7.264,1.0,,,,,,,,11469194
,,737,,376.30435,7.264,1.0,,,,,,,,7921661
,,747,,264.23126,7.326,1.0,,,,,,,,19098411
,,760,,374.28873,7.363,1.0,,,,,,,,12342976
,,783,,334.27274,7.498,1.0,,,,,,,,9937860
,,788,,333.26218,7.524,1.0,,,,,,,,9658229
,,826,,244.18991,7.634,1.0,,,,,,,,13326673
,,847,,297.2413,7.646,1.0,,,,,,,,10455269
,,850,,333.26242,7.646,1.0,,,,,,,,38036712
,,879,,376.30426,7.742,1.0,,,,,,,,13467269
,,905,,398.28857,7.952,1.0,,,,,,,,14264150
,,932,,192.13763,8.185,1.0,,,,,,,,42679357
,,936,,149.02301,8.21,1.0,,,,,,,,76044286
,,939,,190.04926,8.21,1.0,,,,,,,,19635920
,,943,,223.09578,8.21,1.0,,,,,,,,40790015
,,983,,158.15347,8.516,1.0,,,,,,,,55304829
,,985,,274.27325,8.516,1.0,,,,,,,,85487572
,,990,,362.30377,8.528,1.0,,,,,,,,9681487
,,994,,228.19528,8.54,1.0,,,,,,,,182733288
,,997,,273.25259,8.54,1.0,,,,,,,,56338012
,,1045,,200.23662,8.822,1.0,,,,,,,,17662045
,,1074,,214.25218,9.004,1.0,,,,,,,,1419692857
,,1085,,64.01642,9.016,1.0,,,,,,,,43765075
,,1086,,83.06079,9.016,1.0,,,,,,,,4785837500
,,1119,,432.23633,9.224,1.0,,,,,,,,19445203
,,1134,,330.26248,9.298,1.0,,,,,,,,26365783
,,1270,,460.26755,10.221,1.0,,,,,,,,40261827
,,1278,,297.24118,10.233,1.0,,,,,,,,12255423
,,1280,,315.25168,10.233,1.0,,,,,,,,11129377
,,1289,,337.2334,10.233,1.0,,,,,,,,10929082
,,1363,,330.33539,10.769,1.0,,,,,,,,17402358
,,1454,,149.02278,11.254,1.0,,,,,,,,33935453
,,1475,,255.23077,11.351,1.0,,,,,,,,33254754
,,1476,,273.24115,11.351,1.0,,,,,,,,9778588
,,1514,,271.22565,11.521,1.0,,,,,,,,16554933
,,1547,,281.24634,11.751,1.0,,,,,,,,20871166
,,1549,,299.25684,11.751,1.0,,,,,,,,17831854
,,1591,,734.56616,11.897,1.0,,,,,,,,44460729
,,1593,,226.01125,11.91,1.0,,,,,,,,14641354
,,1601,,214.25211,11.921,1.0,,,,,,,,16051811
,,1613,,64.01647,11.958,1.0,,,,,,,,52769028
,,1616,,83.06083,11.958,1.0,,,,,,,,3294593148
,,1619,,105.04245,11.958,1.0,,,,,,,,26175737
,,1640,,113.07097,12.03,1.0,,,,,,,,78711554
,,1641,,140.08144,12.03,1.0,,,,,,,,109069876
,,1642,,56.05027,12.042,1.0,,,,,,,,158583378
,,1654,,81.04522,12.053,1.0,,,,,,,,210439892
,,1655,,102.09157,12.053,1.0,,,,,,,,412556456
,,1665,,60.04509,12.076,1.0,,,,,,,,734886060
,,1670,,112.05054,12.099,1.0,,,,,,,,223342167
,,1674,,124.08669,12.111,1.0,,,,,,,,20141989668
,,1675,,124.10008,12.111,1.0,,,,,,,,345805977
,,1676,,125.09007,12.111,1.0,,,,,,,,1473257354
,,1678,,150.10214,12.111,1.0,,,,,,,,479611453
,,1680,,165.12547,12.111,1.0,,,,,,,,159427503
,,1690,,100.06329,12.134,1.0,,,,,,,,106030692
,,1696,,84.08118,12.157,1.0,,,,,,,,9518840996
,,1698,,127.08633,12.168,1.0,,,,,,,,221758489
,,1700,,159.07591,12.168,1.0,,,,,,,,164515215
,,1711,,99.09192,12.18,1.0,,,,,,,,256211903
,,1713,,174.09929,12.18,1.0,,,,,,,,59341160
,,1720,,117.0656,12.226,1.0,,,,,,,,93912619
,,1721,,141.10162,12.226,1.0,,,,,,,,248088191
,,1722,,142.10948,12.226,1.0,,,,,,,,300634616
