label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,sample
,,0,,101.10746,1.02,1.0,,,,,,,,406041
,,4,,149.02295,1.02,1.0,,,,,,,,44168438
,,10,,279.15839,1.02,1.0,,,,,,,,46163281
,,21,,89.5071,1.032,1.0,,,,,,,,24970327
,,27,,109.52165,1.032,1.0,,,,,,,,17360759
,,48,,154.98982,1.032,1.0,,,,,,,,55636271
,,68,,84.08118,1.044,1.0,,,,,,,,404089200
,,69,,85.08453,1.044,1.0,,,,,,,,30744595
,,74,,103.09483,1.044,1.0,,,,,,,,4894334
,,92,,182.98468,1.044,1.0,,,,,,,,62500628
,,119,,83.06081,1.055,1.0,,,,,,,,873254981
,,131,,122.081,1.055,1.0,,,,,,,,45264251
,,132,,123.05511,1.055,1.0,,,,,,,,40710143
,,214,,171.14853,1.067,1.0,,,,,,,,12190414
,,236,,79.0217,1.081,1.0,,,,,,,,227143580
,,264,,60.0451,1.117,1.0,,,,,,,,532017944
,,287,,158.96074,1.143,1.0,,,,,,,,16266816
,,298,,132.10153,1.155,1.0,,,,,,,,10759748
,,314,,72.08134,1.205,1.0,,,,,,,,37109339
,,317,,137.04546,1.217,1.0,,,,,,,,47319672
,,322,,269.0871,1.217,1.0,,,,,,,,17816503
,,337,,122.08098,1.267,1.0,,,,,,,,58248730
,,360,,229.11766,1.626,1.0,,,,,,,,55905269
,,366,,250.09254,1.82,1.0,,,,,,,,8763900
,,380,,110.02008,2.322,1.0,,,,,,,,57573047
,,384,,83.06079,2.539,1.0,,,,,,,,717404889
,,390,,160.07518,2.731,1.0,,,,,,,,15256182
,,395,,160.07515,2.872,1.0,,,,,,,,14036692
,,409,,242.06494,2.987,1.0,,,,,,,,5650451
,,420,,114.09127,3.115,1.0,,,,,,,,20495377
,,424,,160.07513,3.206,1.0,,,,,,,,58642582
,,430,,130.15872,3.295,1.0,,,,,,,,22222044
,,460,,204.15874,3.859,1.0,,,,,,,,3781330
,,467,,272.18448,3.923,1.0,,,,,,,,10304888
,,479,,314.12573,4.051,1.0,,,,,,,,40665919
,,497,,372.16702,4.165,1.0,,,,,,,,4486947
,,505,,386.14609,4.279,1.0,,,,,,,,2822259
,,642,,482.18356,5.687,1.0,,,,,,,,5059199
,,656,,182.98457,5.775,1.0,,,,,,,,10891418
,,684,,452.17291,6.219,1.0,,,,,,,,6797821
,,693,,482.18365,6.296,1.0,,,,,,,,42469052
,,707,,246.20555,6.487,1.0,,,,,,,,11102651
,,717,,452.17316,6.59,1.0,,,,,,,,19233424
,,732,,466.18994,6.665,1.0,,,,,,,,139444558
,,798,,482.18365,7.059,1.0,,,,,,,,22471184
,,806,,264.23129,7.11,1.0,,,,,,,,14305160
,,831,,331.24655,7.274,1.0,,,,,,,,4457198
,,893,,244.18979,7.642,1.0,,,,,,,,5505776
,,980,,192.13776,8.183,1.0,,,,,,,,40900066
,,995,,149.02293,8.233,1.0,,,,,,,,27122740
,,1001,,223.09575,8.233,1.0,,,,,,,,13108883
,,1007,,274.27353,8.27,1.0,,,,,,,,151900991
,,1012,,230.24712,8.307,1.0,,,,,,,,7966904
,,1036,,288.28864,8.456,1.0,,,,,,,,22114685
,,1043,,158.15353,8.52,1.0,,,,,,,,47157271
,,1049,,228.19508,8.569,1.0,,,,,,,,62088869
,,1059,,288.28888,8.644,1.0,,,,,,,,57755606
,,1070,,214.25238,8.742,1.0,,,,,,,,446713861
,,1086,,288.28867,8.841,1.0,,,,,,,,43655848
,,1108,,330.26245,9.089,1.0,,,,,,,,8928955
,,1126,,387.17871,9.228,1.0,,,,,,,,12502505
,,1129,,404.20526,9.228,1.0,,,,,,,,10513075
,,1139,,432.23676,9.228,1.0,,,,,,,,51414977
,,1166,,302.30432,9.4,1.0,,,,,,,,16014784
,,1207,,316.31995,9.758,1.0,,,,,,,,18329395
,,1223,,421.31592,9.871,1.0,,,,,,,,38768266
,,1231,,376.25809,9.882,1.0,,,,,,,,20602107
,,1232,,393.2847,9.882,1.0,,,,,,,,34793850
,,1243,,316.32001,9.943,1.0,,,,,,,,13327115
,,1294,,415.21014,10.227,1.0,,,,,,,,35182797
,,1299,,432.23669,10.227,1.0,,,,,,,,25544374
,,1308,,460.26819,10.227,1.0,,,,,,,,101750450
,,1313,,279.15811,10.239,1.0,,,,,,,,9175181
,,1340,,297.24142,10.374,1.0,,,,,,,,7376219
,,1352,,279.15814,10.398,1.0,,,,,,,,15297616
,,1356,,330.33557,10.473,1.0,,,,,,,,36144516
,,1363,,460.26782,10.497,1.0,,,,,,,,8610639
,,1449,,140.06778,10.989,1.0,,,,,,,,11637586
,,1461,,385.23355,10.989,1.0,,,,,,,,6097329
,,1486,,526.29126,11.014,1.0,,,,,,,,13674993
,,1517,,526.29144,11.161,1.0,,,,,,,,30773598
,,1528,,502.29102,11.172,1.0,,,,,,,,8511581
,,1536,,274.1792,11.221,1.0,,,,,,,,14175077
,,1548,,255.23105,11.247,1.0,,,,,,,,21506002
,,1556,,279.15826,11.259,1.0,,,,,,,,31934542
,,1566,,358.36646,11.27,1.0,,,,,,,,13308214
,,1588,,255.23108,11.356,1.0,,,,,,,,24789382
,,1592,,273.24149,11.356,1.0,,,,,,,,6437887
,,1617,,568.33813,11.466,1.0,,,,,,,,6070100
,,1637,,271.22598,11.515,1.0,,,,,,,,35075881
,,1655,,488.23941,11.54,1.0,,,,,,,,9628654
,,1663,,454.29129,11.576,1.0,,,,,,,,7380043
,,1670,,526.31232,11.624,1.0,,,,,,,,1262573
,,1692,,281.24652,11.747,1.0,,,,,,,,5908269
,,1714,,277.1788,11.857,1.0,,,,,,,,4245645
,,1742,,83.06082,11.944,1.0,,,,,,,,3544346348
,,1743,,64.01649,11.955,1.0,,,,,,,,57715296
,,1749,,105.04247,11.955,1.0,,,,,,,,47117646
,,1750,,110.02006,11.955,1.0,,,,,,,,10943272
,,1751,,111.02032,11.955,1.0,,,,,,,,51747108
,,1757,,144.98169,11.955,1.0,,,,,,,,10618521
,,1764,,214.25214,11.955,1.0,,,,,,,,7711589
,,1784,,113.07097,12.027,1.0,,,,,,,,92147986
,,1785,,140.08139,12.027,1.0,,,,,,,,133052292
,,1788,,279.15796,12.027,1.0,,,,,,,,17306899
,,1789,,56.05027,12.039,1.0,,,,,,,,188131634
,,1798,,72.06876,12.05,1.0,,,,,,,,37317049
,,1807,,60.04513,12.073,1.0,,,,,,,,993083905
,,1812,,81.04523,12.085,1.0,,,,,,,,274434065
,,1819,,112.05053,12.108,1.0,,,,,,,,270151223
,,1821,,165.1255,12.108,1.0,,,,,,,,178229493
,,1829,,150.10214,12.119,1.0,,,,,,,,560369150
,,1832,,197.1151,12.119,1.0,,,,,,,,53702541
,,1842,,124.08674,12.142,1.0,,,,,,,,30646743302
,,1845,,125.09013,12.154,1.0,,,,,,,,2172173378
,,1859,,141.08896,12.211,1.0,,,,,,,,9628288
,,1860,,57.07061,12.222,1.0,,,,,,,,35290495
,,1861,,84.08119,12.222,1.0,,,,,,,,10111674426
,,1869,,142.10968,12.245,1.0,,,,,,,,276127335
,,1881,,101.07108,12.257,1.0,,,,,,,,228607217
,,1887,,117.06574,12.257,1.0,,,,,,,,83923338
,,1889,,127.08632,12.257,1.0,,,,,,,,290062328
,,1894,,141.10178,12.257,1.0,,,,,,,,263641893
,,1896,,153.12688,12.257,1.0,,,,,,,,223326768
,,1899,,159.07593,12.257,1.0,,,,,,,,248575741
,,1902,,174.09929,12.257,1.0,,,,,,,,65054647
,,1905,,99.09187,12.268,1.0,,,,,,,,149135653
,,1907,,61.02907,12.28,1.0,,,,,,,,46451751
,,1908,,73.0653,12.28,1.0,,,,,,,,57597322
,,1913,,115.1117,12.28,1.0,,,,,,,,41950386
,,1922,,59.04991,12.292,1.0,,,,,,,,149079999
,,1930,,84.08112,12.403,1.0,,,,,,,,637065421
,,1932,,99.09182,12.403,1.0,,,,,,,,40019888
,,1934,,117.06566,12.403,1.0,,,,,,,,14092986
,,1935,,127.08626,12.403,1.0,,,,,,,,43623628
,,1936,,141.08894,12.403,1.0,,,,,,,,3429245
