label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,sample
,,0,,57.07067,0.281,1.0,,,,,,,,4703453
,,1,,59.04989,0.281,1.0,,,,,,,,72738743
,,3,,69.0705,0.281,1.0,,,,,,,,9673008
,,6,,136.06142,1.018,1.0,,,,,,,,37485609
,,7,,149.02292,1.018,1.0,,,,,,,,22439537
,,44,,154.98988,1.03,1.0,,,,,,,,51713388
,,64,,279.15817,1.03,1.0,,,,,,,,24760528
,,68,,57.07064,1.042,1.0,,,,,,,,4117027
,,70,,85.08458,1.042,1.0,,,,,,,,40153445
,,91,,182.98477,1.042,1.0,,,,,,,,55525274
,,110,,83.06087,1.054,1.0,,,,,,,,697119347
,,111,,84.08122,1.054,1.0,,,,,,,,630524737
,,118,,103.09485,1.054,1.0,,,,,,,,2618920
,,121,,122.08108,1.054,1.0,,,,,,,,95528742
,,122,,123.05517,1.054,1.0,,,,,,,,38108713
,,154,,242.03395,1.054,1.0,,,,,,,,22695165
,,196,,199.9873,1.065,1.0,,,,,,,,56057022
,,220,,158.96085,1.078,1.0,,,,,,,,12744177
,,243,,79.02175,1.091,1.0,,,,,,,,175267334
,,249,,60.04514,1.103,1.0,,,,,,,,576617785
,,313,,153.12692,1.165,1.0,,,,,,,,27234303
,,332,,137.04555,1.201,1.0,,,,,,,,25500024
,,339,,269.08713,1.201,1.0,,,,,,,,8497171
,,357,,72.08141,1.227,1.0,,,,,,,,70930571
,,358,,132.10167,1.227,1.0,,,,,,,,16640124
,,388,,257.11237,1.491,1.0,,,,,,,,21281408
,,394,,229.1176,1.604,1.0,,,,,,,,58679512
,,409,,158.96086,1.998,1.0,,,,,,,,32343713
,,423,,160.07524,2.729,1.0,,,,,,,,30797878
,,426,,160.07524,2.856,1.0,,,,,,,,30023201
,,449,,160.07527,3.157,1.0,,,,,,,,42505918
,,459,,130.15881,3.37,1.0,,,,,,,,22432783
,,526,,312.10965,4.102,1.0,,,,,,,,8346768
,,533,,314.12576,4.115,1.0,,,,,,,,51946396
,,550,,372.16711,4.216,1.0,,,,,,,,6784846
,,559,,330.12024,4.303,1.0,,,,,,,,3545454
,,565,,386.14621,4.317,1.0,,,,,,,,8437966
,,582,,201.04185,4.567,1.0,,,,,,,,5411639
,,750,,482.18378,6.385,1.0,,,,,,,,27751078
,,774,,246.20558,6.562,1.0,,,,,,,,10083160
,,782,,452.173,6.687,1.0,,,,,,,,6134290
,,806,,466.18951,6.762,1.0,,,,,,,,85742257
,,864,,430.29379,7.136,1.0,,,,,,,,3375761
,,871,,482.18387,7.136,1.0,,,,,,,,34167027
,,895,,264.2312,7.222,1.0,,,,,,,,16557331
,,904,,376.30438,7.26,1.0,,,,,,,,7321472
,,921,,331.24664,7.273,1.0,,,,,,,,13455938
,,939,,464.2995,7.322,1.0,,,,,,,,20439836
,,947,,374.28888,7.36,1.0,,,,,,,,6062878
,,970,,347.24149,7.472,1.0,,,,,,,,5227628
,,1032,,244.1899,7.634,1.0,,,,,,,,8143538
,,1043,,333.26227,7.634,1.0,,,,,,,,11537064
,,1097,,355.24667,7.858,1.0,,,,,,,,13790966
,,1135,,466.31497,8.02,1.0,,,,,,,,11421605
,,1164,,192.13771,8.183,1.0,,,,,,,,41842687
,,1183,,149.02299,8.233,1.0,,,,,,,,46194876
,,1188,,223.09576,8.233,1.0,,,,,,,,25417411
,,1217,,274.27359,8.382,1.0,,,,,,,,133676219
,,1226,,230.24702,8.432,1.0,,,,,,,,7573192
,,1235,,158.15356,8.518,1.0,,,,,,,,52907001
,,1248,,228.19514,8.556,1.0,,,,,,,,110860364
,,1253,,273.25259,8.568,1.0,,,,,,,,35078894
,,1278,,288.28876,8.767,1.0,,,,,,,,40483068
,,1294,,214.25227,8.866,1.0,,,,,,,,892966262
,,1308,,288.28851,8.965,1.0,,,,,,,,28275707
,,1359,,330.2626,9.189,1.0,,,,,,,,23601561
,,1377,,387.17859,9.225,1.0,,,,,,,,9060380
,,1385,,432.23657,9.225,1.0,,,,,,,,39979357
,,1415,,329.23108,9.447,1.0,,,,,,,,6327734
,,1443,,302.30417,9.535,1.0,,,,,,,,16249312
,,1451,,311.18405,9.596,1.0,,,,,,,,9652096
,,1488,,376.25806,9.881,1.0,,,,,,,,18035309
,,1490,,393.28461,9.881,1.0,,,,,,,,31370996
,,1497,,421.31589,9.881,1.0,,,,,,,,34335479
,,1505,,316.31995,9.893,1.0,,,,,,,,12332537
,,1548,,415.21011,10.225,1.0,,,,,,,,25455734
,,1551,,432.2366,10.225,1.0,,,,,,,,17652952
,,1562,,460.26801,10.225,1.0,,,,,,,,83621511
,,1591,,388.22156,10.297,1.0,,,,,,,,7818547
,,1620,,279.2309,10.384,1.0,,,,,,,,10774256
,,1621,,297.24149,10.384,1.0,,,,,,,,23859178
,,1624,,315.25195,10.384,1.0,,,,,,,,13054072
,,1655,,330.33554,10.619,1.0,,,,,,,,34398079
,,1708,,339.2518,10.867,1.0,,,,,,,,11176982
,,1713,,361.23349,10.867,1.0,,,,,,,,12137517
,,1738,,140.06776,10.989,1.0,,,,,,,,9173269
,,1773,,385.23361,11.001,1.0,,,,,,,,7331943
,,1790,,502.29099,11.027,1.0,,,,,,,,15810136
,,1793,,526.2912,11.027,1.0,,,,,,,,24468076
,,1826,,526.29132,11.161,1.0,,,,,,,,43368612
,,1842,,478.29111,11.185,1.0,,,,,,,,7229667
,,1845,,502.29099,11.185,1.0,,,,,,,,24897834
,,1854,,274.17917,11.221,1.0,,,,,,,,16422044
,,1859,,149.02284,11.259,1.0,,,,,,,,24516119
,,1865,,279.15808,11.259,1.0,,,,,,,,38766002
,,1879,,358.36652,11.344,1.0,,,,,,,,9915748
,,1888,,255.23091,11.357,1.0,,,,,,,,12815210
,,1937,,271.22568,11.515,1.0,,,,,,,,18544663
,,1964,,235.16837,11.637,1.0,,,,,,,,6256185
,,1991,,105.04247,11.798,1.0,,,,,,,,69359741
,,1995,,734.56677,11.798,1.0,,,,,,,,20060793
,,1997,,64.01649,11.821,1.0,,,,,,,,119976798
,,2043,,105.04244,11.945,1.0,,,,,,,,36672772
,,2049,,64.01648,11.957,1.0,,,,,,,,46728168
,,2056,,131.53331,11.957,1.0,,,,,,,,119043365
,,2071,,734.56616,11.957,1.0,,,,,,,,15078885
,,2085,,113.07095,12.029,1.0,,,,,,,,90751799
,,2087,,140.08141,12.029,1.0,,,,,,,,124272416
,,2093,,56.05023,12.041,1.0,,,,,,,,163468205
,,2102,,163.09715,12.041,1.0,,,,,,,,23289457
,,2108,,60.04506,12.053,1.0,,,,,,,,577340639
,,2109,,81.0452,12.053,1.0,,,,,,,,260300347
,,2114,,72.06873,12.087,1.0,,,,,,,,49028790
,,2115,,112.05051,12.087,1.0,,,,,,,,268208771
,,2129,,100.06329,12.145,1.0,,,,,,,,87332091
,,2130,,124.08669,12.145,1.0,,,,,,,,27193724599
,,2131,,125.09007,12.145,1.0,,,,,,,,1953521393
,,2136,,150.10211,12.156,1.0,,,,,,,,496389572
,,2140,,165.12546,12.156,1.0,,,,,,,,163287498
,,2169,,84.08116,12.248,1.0,,,,,,,,5766523556
,,2174,,117.06572,12.248,1.0,,,,,,,,105602161
,,2176,,127.0863,12.248,1.0,,,,,,,,322714996
,,2179,,141.10176,12.248,1.0,,,,,,,,286001044
,,2180,,142.10965,12.248,1.0,,,,,,,,323327849
,,2182,,153.12683,12.248,1.0,,,,,,,,193992484
,,2185,,159.07588,12.248,1.0,,,,,,,,263396420
,,2189,,174.09926,12.248,1.0,,,,,,,,59605666
