label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,sample
,,0,,297.08224,0.118,1.0,,,,,,,,4872101
,,6,,91.05756,0.982,1.0,,,,,,,,4834454
,,9,,223.06334,0.996,1.0,,,,,,,,5920963
,,12,,297.08209,0.996,1.0,,,,,,,,6004596
,,16,,85.10143,1.01,1.0,,,,,,,,15280973
,,17,,87.08067,1.01,1.0,,,,,,,,5638755
,,21,,99.08052,1.01,1.0,,,,,,,,7144096
,,22,,101.09612,1.01,1.0,,,,,,,,6903615
,,27,,153.12665,1.01,1.0,,,,,,,,12141822
,,44,,89.50704,1.035,1.0,,,,,,,,28635049
,,96,,83.0608,1.047,1.0,,,,,,,,1007758271
,,111,,149.0228,1.047,1.0,,,,,,,,20741588
,,114,,154.98969,1.047,1.0,,,,,,,,54484556
,,120,,182.98465,1.047,1.0,,,,,,,,115283639
,,148,,57.07059,1.058,1.0,,,,,,,,25856936
,,151,,84.08113,1.058,1.0,,,,,,,,1695728525
,,152,,85.08451,1.058,1.0,,,,,,,,107036180
,,160,,102.09149,1.058,1.0,,,,,,,,71258329
,,161,,103.09473,1.058,1.0,,,,,,,,5163924
,,229,,242.03371,1.058,1.0,,,,,,,,34316595
,,259,,199.98708,1.071,1.0,,,,,,,,53963157
,,278,,60.04506,1.082,1.0,,,,,,,,607556022
,,299,,79.02168,1.119,1.0,,,,,,,,107523965
,,314,,143.08101,1.131,1.0,,,,,,,,44261651
,,364,,137.04536,1.18,1.0,,,,,,,,27812581
,,391,,324.21558,1.228,1.0,,,,,,,,41625373
,,402,,72.08135,1.265,1.0,,,,,,,,43059465
,,404,,137.13208,1.277,1.0,,,,,,,,37690805
,,412,,132.10165,1.302,1.0,,,,,,,,23204602
,,424,,229.11771,1.561,1.0,,,,,,,,85251203
,,450,,160.07523,2.726,1.0,,,,,,,,45930915
,,452,,160.07523,2.861,1.0,,,,,,,,48781244
,,466,,160.07529,3.207,1.0,,,,,,,,146727058
,,634,,118.08627,6.35,1.0,,,,,,,,278096174
,,637,,311.15439,6.424,1.0,,,,,,,,47191190
,,658,,325.17053,6.535,1.0,,,,,,,,541492201
,,676,,118.08621,6.633,1.0,,,,,,,,142601393
,,730,,331.24667,7.153,1.0,,,,,,,,10000608
,,733,,376.30447,7.153,1.0,,,,,,,,10611666
,,748,,331.24673,7.266,1.0,,,,,,,,15453556
,,751,,376.30441,7.266,1.0,,,,,,,,11070567
,,758,,264.23123,7.315,1.0,,,,,,,,20381367
,,778,,374.28894,7.365,1.0,,,,,,,,15714074
,,795,,331.24658,7.463,1.0,,,,,,,,8253789
,,807,,334.27286,7.487,1.0,,,,,,,,10619674
,,819,,333.26239,7.525,1.0,,,,,,,,13834801
,,855,,244.18991,7.635,1.0,,,,,,,,11986726
,,864,,297.24133,7.635,1.0,,,,,,,,14147903
,,866,,315.25186,7.635,1.0,,,,,,,,11127203
,,868,,333.2626,7.635,1.0,,,,,,,,50871892
,,874,,378.32001,7.635,1.0,,,,,,,,9963905
,,884,,355.24411,7.647,1.0,,,,,,,,11526336
,,892,,378.30988,7.66,1.0,,,,,,,,1831260
,,901,,400.30429,7.697,1.0,,,,,,,,6814232
,,914,,376.3045,7.733,1.0,,,,,,,,16941412
,,920,,355.24649,7.795,1.0,,,,,,,,7293918
,,922,,400.30426,7.795,1.0,,,,,,,,12016805
,,941,,398.28879,7.956,1.0,,,,,,,,17433028
,,966,,192.1377,8.187,1.0,,,,,,,,39551458
,,973,,149.02301,8.212,1.0,,,,,,,,69499898
,,976,,190.04922,8.212,1.0,,,,,,,,23840912
,,980,,223.09576,8.212,1.0,,,,,,,,37849310
,,1025,,274.27322,8.507,1.0,,,,,,,,68481071
,,1029,,158.1535,8.518,1.0,,,,,,,,46101454
,,1042,,228.19519,8.555,1.0,,,,,,,,173405099
,,1046,,273.2525,8.555,1.0,,,,,,,,48862105
,,1085,,200.2366,8.812,1.0,,,,,,,,18024340
,,1092,,288.2886,8.887,1.0,,,,,,,,16016210
,,1115,,64.01643,8.995,1.0,,,,,,,,35382476
,,1116,,83.06082,8.995,1.0,,,,,,,,4387237117
,,1117,,214.2523,8.995,1.0,,,,,,,,1465326346
,,1124,,463.47354,8.995,1.0,,,,,,,,7500633
,,1139,,288.2886,9.092,1.0,,,,,,,,10702899
,,1150,,88.07603,9.141,1.0,,,,,,,,65577791
,,1160,,432.23645,9.227,1.0,,,,,,,,14257013
,,1177,,330.26257,9.288,1.0,,,,,,,,30137115
,,1260,,393.28433,9.872,1.0,,,,,,,,13705905
,,1264,,421.31558,9.872,1.0,,,,,,,,13925383
,,1311,,460.26752,10.212,1.0,,,,,,,,33137949
,,1315,,415.20984,10.224,1.0,,,,,,,,10488711
,,1331,,297.24136,10.237,1.0,,,,,,,,14287975
,,1333,,315.25186,10.237,1.0,,,,,,,,12244421
,,1341,,337.23358,10.237,1.0,,,,,,,,11403214
,,1418,,330.33524,10.772,1.0,,,,,,,,16723886
,,1501,,149.02292,11.255,1.0,,,,,,,,33415767
,,1525,,255.231,11.365,1.0,,,,,,,,37760156
,,1527,,273.24136,11.365,1.0,,,,,,,,9868129
,,1566,,271.22571,11.521,1.0,,,,,,,,16920133
,,1603,,734.56616,11.727,1.0,,,,,,,,13706190
,,1607,,281.24646,11.753,1.0,,,,,,,,19198474
,,1609,,299.25696,11.753,1.0,,,,,,,,16299127
,,1652,,734.5661,11.936,1.0,,,,,,,,16640546
,,1669,,64.01647,11.96,1.0,,,,,,,,86473892
,,1675,,105.04245,11.96,1.0,,,,,,,,30824314
,,1685,,184.98474,11.96,1.0,,,,,,,,12582684
,,1687,,214.25214,11.96,1.0,,,,,,,,13395406
,,1689,,226.01128,11.96,1.0,,,,,,,,17069107
,,1701,,113.07089,12.021,1.0,,,,,,,,81629899
,,1704,,140.08133,12.032,1.0,,,,,,,,113709750
,,1705,,56.05024,12.044,1.0,,,,,,,,168980251
,,1714,,102.0915,12.055,1.0,,,,,,,,344599150
,,1723,,60.04507,12.078,1.0,,,,,,,,671050866
,,1725,,81.04517,12.078,1.0,,,,,,,,238583636
,,1726,,100.06326,12.078,1.0,,,,,,,,98955129
,,1731,,112.05051,12.089,1.0,,,,,,,,145053774
,,1740,,124.08668,12.112,1.0,,,,,,,,21536320767
,,1742,,125.09007,12.112,1.0,,,,,,,,1593905780
,,1743,,150.10211,12.112,1.0,,,,,,,,478103247
,,1744,,165.12543,12.112,1.0,,,,,,,,157108726
,,1756,,84.08118,12.158,1.0,,,,,,,,8020356139
,,1758,,85.08452,12.17,1.0,,,,,,,,497721103
,,1765,,127.08628,12.204,1.0,,,,,,,,437543736
,,1766,,159.07585,12.204,1.0,,,,,,,,337181792
,,1772,,99.09182,12.216,1.0,,,,,,,,356439349
,,1773,,100.07579,12.216,1.0,,,,,,,,153268510
,,1774,,174.09918,12.216,1.0,,,,,,,,111413516
,,1783,,57.07064,12.239,1.0,,,,,,,,299830309
,,1790,,101.07114,12.239,1.0,,,,,,,,386611099
,,1791,,117.06574,12.239,1.0,,,,,,,,134603046
,,1793,,142.1097,12.239,1.0,,,,,,,,410153755
,,1805,,98.09658,12.25,1.0,,,,,,,,65489942
,,1810,,114.07323,12.25,1.0,,,,,,,,141795450
,,1817,,141.10175,12.25,1.0,,,,,,,,366100662
,,1834,,153.12688,12.273,1.0,,,,,,,,224319390
,,1845,,59.04985,13.163,1.0,,,,,,,,44227178
,,1846,,59.04976,14.2,1.0,,,,,,,,55018466
