label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,sample
,,1,,136.06152,1.02,1.0,,,,,,,,41765073
,,11,,84.08121,1.026,1.0,,,,,,,,458410023
,,12,,85.08455,1.026,1.0,,,,,,,,30379206
,,31,,149.02296,1.026,1.0,,,,,,,,14858552
,,43,,279.15826,1.026,1.0,,,,,,,,22047520
,,49,,57.07063,1.038,1.0,,,,,,,,3051107
,,52,,83.06086,1.038,1.0,,,,,,,,895496823
,,54,,89.50715,1.038,1.0,,,,,,,,27514053
,,78,,154.9899,1.038,1.0,,,,,,,,52248977
,,84,,182.98483,1.038,1.0,,,,,,,,64831796
,,112,,60.04512,1.049,1.0,,,,,,,,157695163
,,174,,122.08104,1.061,1.0,,,,,,,,49946706
,,175,,123.05515,1.061,1.0,,,,,,,,49975113
,,231,,79.02174,1.086,1.0,,,,,,,,229352659
,,234,,159.10114,1.086,1.0,,,,,,,,757205
,,260,,158.96086,1.111,1.0,,,,,,,,14040130
,,289,,132.10167,1.161,1.0,,,,,,,,10654180
,,303,,72.08141,1.21,1.0,,,,,,,,37002329
,,310,,137.04553,1.222,1.0,,,,,,,,46221033
,,314,,269.08725,1.222,1.0,,,,,,,,18873025
,,353,,229.11771,1.641,1.0,,,,,,,,54688674
,,357,,250.09264,1.834,1.0,,,,,,,,8356364
,,362,,79.02174,2.079,1.0,,,,,,,,29787595
,,382,,160.07526,2.759,1.0,,,,,,,,17836180
,,389,,160.07526,2.874,1.0,,,,,,,,13324267
,,408,,114.09137,3.118,1.0,,,,,,,,15281764
,,415,,83.06087,3.234,1.0,,,,,,,,720912378
,,417,,160.07524,3.247,1.0,,,,,,,,43085598
,,420,,130.15889,3.298,1.0,,,,,,,,20681124
,,422,,188.0925,3.324,1.0,,,,,,,,4091986
,,449,,204.15868,3.848,1.0,,,,,,,,4876998
,,455,,272.18466,3.925,1.0,,,,,,,,9580282
,,492,,220.15361,4.525,1.0,,,,,,,,5209198
,,535,,341.16467,5.238,1.0,,,,,,,,12757027
,,593,,327.14902,5.719,1.0,,,,,,,,8894138
,,609,,341.16522,5.808,1.0,,,,,,,,98773270
,,615,,182.98459,5.845,1.0,,,,,,,,17166905
,,632,,297.1387,6.136,1.0,,,,,,,,9614121
,,641,,311.15488,6.262,1.0,,,,,,,,103911738
,,651,,60.0451,6.374,1.0,,,,,,,,122602131
,,653,,83.06078,6.374,1.0,,,,,,,,2916268371
,,659,,325.17035,6.374,1.0,,,,,,,,679666475
,,667,,442.24823,6.374,1.0,,,,,,,,11906320
,,680,,246.20561,6.476,1.0,,,,,,,,10827055
,,693,,341.16489,6.563,1.0,,,,,,,,17521358
,,763,,264.23123,7.105,1.0,,,,,,,,14216457
,,795,,331.24655,7.27,1.0,,,,,,,,4657486
,,805,,216.15866,7.319,1.0,,,,,,,,8029993
,,895,,533.32367,7.695,1.0,,,,,,,,5745466
,,940,,192.1377,8.195,1.0,,,,,,,,37555270
,,952,,149.02292,8.233,1.0,,,,,,,,30026893
