label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,sample
,,0,,85.10155,0.213,1.0,,,,,,,,8318234
,,9,,115.11172,0.213,1.0,,,,,,,,2826940
,,10,,121.10104,0.213,1.0,,,,,,,,1114050
,,13,,99.08069,0.854,1.0,,,,,,,,3718373
,,23,,103.09491,1.019,1.0,,,,,,,,2549927
,,37,,149.02301,1.019,1.0,,,,,,,,16666761
,,55,,279.15845,1.019,1.0,,,,,,,,31235240
,,63,,83.06089,1.031,1.0,,,,,,,,898529340
,,64,,84.08125,1.031,1.0,,,,,,,,500572495
,,65,,85.0846,1.031,1.0,,,,,,,,44739735
,,68,,89.50717,1.031,1.0,,,,,,,,25313617
,,73,,109.52174,1.031,1.0,,,,,,,,20661517
,,92,,154.98994,1.031,1.0,,,,,,,,48059900
,,100,,182.98489,1.031,1.0,,,,,,,,86186555
,,123,,60.04514,1.042,1.0,,,,,,,,124699181
,,138,,121.10107,1.042,1.0,,,,,,,,1264180
,,139,,123.05519,1.042,1.0,,,,,,,,53253009
,,198,,122.08109,1.054,1.0,,,,,,,,22016112
,,231,,199.98732,1.066,1.0,,,,,,,,58321989
,,267,,79.02173,1.116,1.0,,,,,,,,153831961
,,305,,158.96078,1.141,1.0,,,,,,,,33657992
,,321,,171.14856,1.153,1.0,,,,,,,,30624257
,,338,,137.13219,1.165,1.0,,,,,,,,65775600
,,352,,81.0704,1.177,1.0,,,,,,,,26013907
,,357,,72.08144,1.19,1.0,,,,,,,,36476131
,,361,,137.04556,1.203,1.0,,,,,,,,26935428
,,363,,269.08713,1.203,1.0,,,,,,,,8824040
,,368,,132.1017,1.227,1.0,,,,,,,,16156829
,,391,,257.1124,1.492,1.0,,,,,,,,20750883
,,397,,229.11777,1.607,1.0,,,,,,,,63621052
,,413,,110.02017,2.429,1.0,,,,,,,,47944240
,,419,,160.07529,2.733,1.0,,,,,,,,27383306
,,423,,160.07535,2.86,1.0,,,,,,,,30738721
,,444,,160.07532,3.112,1.0,,,,,,,,29443610
,,452,,160.07536,3.212,1.0,,,,,,,,56112884
,,457,,130.15886,3.363,1.0,,,,,,,,19514613
,,566,,341.16492,5.312,1.0,,,,,,,,13995971
,,609,,182.98463,5.734,1.0,,,,,,,,13970673
,,616,,327.1492,5.797,1.0,,,,,,,,6863986
,,634,,341.1651,5.884,1.0,,,,,,,,72761802
,,653,,297.13885,6.221,1.0,,,,,,,,20465680
,,667,,311.15494,6.359,1.0,,,,,,,,288484363
,,684,,325.17065,6.458,1.0,,,,,,,,416868900
,,704,,246.20561,6.558,1.0,,,,,,,,9251751
,,711,,341.16541,6.645,1.0,,,,,,,,78255736
,,791,,264.23135,7.21,1.0,,,,,,,,16920242
,,815,,331.24677,7.272,1.0,,,,,,,,13673852
,,821,,376.30453,7.272,1.0,,,,,,,,7965116
,,830,,216.1588,7.322,1.0,,,,,,,,10023414
,,838,,464.29944,7.322,1.0,,,,,,,,18868433
,,845,,374.28885,7.372,1.0,,,,,,,,5585281
,,868,,331.24664,7.472,1.0,,,,,,,,5159543
,,870,,347.24161,7.472,1.0,,,,,,,,4831127
,,927,,244.19003,7.636,1.0,,,,,,,,7561167
,,938,,333.26242,7.636,1.0,,,,,,,,10865638
,,997,,355.24667,7.86,1.0,,,,,,,,12992205
,,1002,,400.30447,7.86,1.0,,,,,,,,9077427
,,1022,,398.28888,7.972,1.0,,,,,,,,7319084
,,1039,,466.31494,8.022,1.0,,,,,,,,11240379
,,1069,,192.13773,8.184,1.0,,,,,,,,39711683
,,1088,,149.02301,8.234,1.0,,,,,,,,47935375
,,1091,,223.09583,8.234,1.0,,,,,,,,23627768
,,1116,,274.27368,8.382,1.0,,,,,,,,142429840
,,1126,,230.24719,8.419,1.0,,,,,,,,7904043
,,1136,,158.15361,8.518,1.0,,,,,,,,54052634
,,1150,,228.19533,8.568,1.0,,,,,,,,110449578
,,1157,,273.25287,8.581,1.0,,,,,,,,36324261
,,1184,,288.28882,8.753,1.0,,,,,,,,32649461
,,1200,,214.25241,8.852,1.0,,,,,,,,800411565
,,1215,,288.28873,8.964,1.0,,,,,,,,25643319
,,1264,,330.26276,9.176,1.0,,,,,,,,18959431
,,1291,,387.17905,9.237,1.0,,,,,,,,10560512
,,1296,,432.23712,9.237,1.0,,,,,,,,49629585
,,1354,,302.30438,9.524,1.0,,,,,,,,15020839
,,1392,,376.25812,9.882,1.0,,,,,,,,13203885
,,1394,,393.28461,9.882,1.0,,,,,,,,22618747
,,1400,,421.31586,9.882,1.0,,,,,,,,24640335
,,1451,,415.21014,10.226,1.0,,,,,,,,22843829
,,1454,,432.23679,10.226,1.0,,,,,,,,15720128
,,1463,,460.26804,10.226,1.0,,,,,,,,77932928
,,1518,,279.23096,10.385,1.0,,,,,,,,10538828
,,1520,,297.24158,10.385,1.0,,,,,,,,23036743
,,1522,,315.25201,10.385,1.0,,,,,,,,13146088
,,1552,,330.33563,10.608,1.0,,,,,,,,33996845
,,1593,,339.25189,10.866,1.0,,,,,,,,10522829
,,1599,,361.23361,10.866,1.0,,,,,,,,11925360
,,1674,,526.29114,11.027,1.0,,,,,,,,22148107
,,1685,,502.29092,11.039,1.0,,,,,,,,12015859
,,1712,,526.29138,11.162,1.0,,,,,,,,39873538
