label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,sample
,,2,,383.29498,0.084,1.0,,,,,,,,235336
,,3,,391.28473,0.084,1.0,,,,,,,,246008
,,8,,373.27414,0.095,1.0,,,,,,,,325497
,,22,,352.31317,0.201,1.0,,,,,,,,4119915
,,25,,367.30008,0.201,1.0,,,,,,,,913733
,,36,,391.28464,0.209,1.0,,,,,,,,676318
,,39,,419.31598,0.209,1.0,,,,,,,,566375
,,44,,368.30814,0.691,1.0,,,,,,,,1254451
,,45,,383.29486,0.691,1.0,,,,,,,,775969
,,53,,352.31305,0.866,1.0,,,,,,,,4092348
,,55,,367.29999,0.866,1.0,,,,,,,,1201685
,,58,,391.28455,0.866,1.0,,,,,,,,714804
,,61,,419.31589,0.866,1.0,,,,,,,,672062
,,63,,368.30798,0.873,1.0,,,,,,,,1179652
,,65,,383.2948,0.873,1.0,,,,,,,,785216
,,68,,373.27426,0.929,1.0,,,,,,,,602126
,,74,,511.4729,0.939,1.0,,,,,,,,474064
,,76,,352.31314,0.948,1.0,,,,,,,,4218585
,,78,,367.30008,0.948,1.0,,,,,,,,1203651
,,84,,368.30807,0.957,1.0,,,,,,,,1128552
,,91,,419.31635,1.005,1.0,,,,,,,,502180
,,132,,400.21835,1.012,1.0,,,,,,,,3622245
,,163,,444.24463,1.012,1.0,,,,,,,,4167678
,,191,,526.43243,1.012,1.0,,,,,,,,2993490
,,192,,532.29736,1.012,1.0,,,,,,,,4314278
,,257,,708.5119,1.026,1.0,,,,,,,,1968634
,,272,,365.10605,1.041,1.0,,,,,,,,1533546
,,285,,448.36395,1.055,1.0,,,,,,,,901913
,,294,,662.02838,1.055,1.0,,,,,,,,1827845
,,296,,664.11707,1.055,1.0,,,,,,,,2351036
,,318,,400.00906,1.07,1.0,,,,,,,,1939051
,,357,,428.03748,1.084,1.0,,,,,,,,3872801
,,374,,692.95807,1.084,1.0,,,,,,,,10228098
,,378,,743.10956,1.084,1.0,,,,,,,,3496229
,,379,,744.0838,1.084,1.0,,,,,,,,5781686
,,384,,799.01086,1.084,1.0,,,,,,,,5181087
,,387,,814.03143,1.084,1.0,,,,,,,,3472045
,,493,,640.04645,1.198,1.0,,,,,,,,305690507
,,496,,677.99268,1.198,1.0,,,,,,,,1860659
,,499,,728.93402,1.198,1.0,,,,,,,,9504279
,,502,,1279.08521,1.198,1.0,,,,,,,,2380489
,,504,,360.15021,1.213,1.0,,,,,,,,6494450
,,505,,428.03723,1.213,1.0,,,,,,,,9986194
,,509,,746.09924,1.213,1.0,,,,,,,,26110079
