label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,sample
,,5,,367.30008,0.393,1.0,,,,,,,,486622
,,10,,373.27417,0.393,1.0,,,,,,,,327877
,,15,,383.29492,0.393,1.0,,,,,,,,303452
,,17,,391.28467,0.393,1.0,,,,,,,,312113
,,25,,419.31601,0.393,1.0,,,,,,,,286460
,,33,,511.47281,0.393,1.0,,,,,,,,159453
,,56,,367.29984,0.912,1.0,,,,,,,,1488070
,,57,,368.30795,0.912,1.0,,,,,,,,1348930
,,59,,373.27396,0.912,1.0,,,,,,,,854703
,,60,,383.29468,0.912,1.0,,,,,,,,968066
,,114,,419.31631,1.011,1.0,,,,,,,,443467
,,129,,444.24475,1.011,1.0,,,,,,,,4009348
,,150,,488.27109,1.011,1.0,,,,,,,,4497115
,,163,,532.29657,1.011,1.0,,,,,,,,4122647
,,244,,782.5697,1.025,1.0,,,,,,,,5649099
,,256,,365.10571,1.04,1.0,,,,,,,,1734580
,,298,,524.05829,1.054,1.0,,,,,,,,2904234
,,304,,542.06903,1.054,1.0,,,,,,,,5640436
,,311,,577.97748,1.054,1.0,,,,,,,,2148200
,,330,,664.11725,1.054,1.0,,,,,,,,53841172
,,346,,718.03577,1.054,1.0,,,,,,,,4138270
,,363,,796.99335,1.054,1.0,,,,,,,,2096081
,,399,,428.03711,1.069,1.0,,,,,,,,6488887
,,421,,692.95721,1.069,1.0,,,,,,,,4330025
,,424,,744.08386,1.069,1.0,,,,,,,,29809467
,,438,,799.00958,1.069,1.0,,,,,,,,8445274
,,454,,372.54547,1.083,1.0,,,,,,,,5079345
,,459,,400.00876,1.083,1.0,,,,,,,,920246
,,473,,604.02478,1.083,1.0,,,,,,,,1584847
,,483,,675.95441,1.083,1.0,,,,,,,,2723110
,,542,,774.09442,1.112,1.0,,,,,,,,5325561
,,578,,360.15021,1.228,1.0,,,,,,,,8563970
,,587,,728.9342,1.242,1.0,,,,,,,,2730807
,,589,,640.04639,1.257,1.0,,,,,,,,51303954
,,593,,692.9574,1.257,1.0,,,,,,,,10269622
,,599,,372.54544,1.271,1.0,,,,,,,,8880124
,,604,,508.00351,1.271,1.0,,,,,,,,1884543
,,606,,604.02466,1.271,1.0,,,,,,,,2753342
,,608,,622.03534,1.271,1.0,,,,,,,,5678328
,,614,,744.08398,1.271,1.0,,,,,,,,65974507
,,620,,796.99329,1.271,1.0,,,,,,,,1645546
,,621,,832.97144,1.271,1.0,,,,,,,,1454106
,,623,,365.10571,1.286,1.0,,,,,,,,2096913
