label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,sample
,,5,,373.27408,0.127,1.0,,,,,,,,989889
,,19,,352.31302,0.138,1.0,,,,,,,,5159170
,,25,,367.29999,0.138,1.0,,,,,,,,850091
,,37,,383.29477,0.138,1.0,,,,,,,,940746
,,42,,391.28452,0.138,1.0,,,,,,,,573895
,,57,,419.31586,0.138,1.0,,,,,,,,932519
,,76,,511.47269,0.138,1.0,,,,,,,,528959
,,116,,383.29477,0.351,1.0,,,,,,,,356939
,,119,,367.29987,0.361,1.0,,,,,,,,591667
,,121,,373.27402,0.361,1.0,,,,,,,,398244
,,123,,391.28442,0.361,1.0,,,,,,,,422204
,,126,,419.31573,0.361,1.0,,,,,,,,380747
,,219,,444.24414,1.019,1.0,,,,,,,,3544314
,,235,,488.27042,1.019,1.0,,,,,,,,4151110
,,267,,532.21844,1.019,1.0,,,,,,,,2587449
,,311,,614.48419,1.019,1.0,,,,,,,,3314036
,,459,,662.0285,1.063,1.0,,,,,,,,1389772
,,461,,664.11719,1.063,1.0,,,,,,,,2730762
,,475,,796.99176,1.063,1.0,,,,,,,,894674
,,481,,400.00909,1.077,1.0,,,,,,,,1749109
,,501,,604.02527,1.077,1.0,,,,,,,,1274917
,,510,,692.95813,1.077,1.0,,,,,,,,11864891
,,515,,744.08441,1.077,1.0,,,,,,,,19609773
,,526,,799.0108,1.077,1.0,,,,,,,,6613534
,,529,,814.03186,1.077,1.0,,,,,,,,2663958
,,551,,428.0372,1.092,1.0,,,,,,,,3722411
,,559,,622.03546,1.092,1.0,,,,,,,,2597780
,,571,,743.10901,1.092,1.0,,,,,,,,2711379
,,574,,774.09387,1.092,1.0,,,,,,,,3594188
,,597,,714.08264,1.107,1.0,,,,,,,,3378655
,,598,,728.9342,1.107,1.0,,,,,,,,1910067
,,662,,640.04669,1.208,1.0,,,,,,,,322564342
,,672,,391.28452,1.237,1.0,,,,,,,,1857252
,,679,,700.06708,1.237,1.0,,,,,,,,3865226
,,684,,384.32639,1.251,1.0,,,,,,,,1174752
,,691,,662.02844,1.266,1.0,,,,,,,,2860351
,,694,,762.09393,1.266,1.0,,,,,,,,1120908
,,698,,372.54553,1.28,1.0,,,,,,,,9043815
,,700,,508.00339,1.28,1.0,,,,,,,,1397197
,,701,,604.02484,1.28,1.0,,,,,,,,2392091
,,702,,622.03552,1.28,1.0,,,,,,,,5883165
,,705,,744.08411,1.28,1.0,,,,,,,,75056793
,,706,,745.08673,1.28,1.0,,,,,,,,18991484
,,708,,796.99298,1.28,1.0,,,,,,,,1104708
,,737,,390.16241,1.425,1.0,,,,,,,,14143984
,,744,,537.16931,1.439,1.0,,,,,,,,1232200
,,763,,817.02063,1.7,1.0,,,,,,,,1538027
,,772,,400.00867,1.801,1.0,,,,,,,,10275502
,,774,,410.02612,1.816,1.0,,,,,,,,2778865
,,778,,373.55313,1.83,1.0,,,,,,,,16485801
,,780,,729.07184,1.83,1.0,,,,,,,,4143032
,,789,,746.09906,1.859,1.0,,,,,,,,289394301
,,791,,365.03976,1.874,1.0,,,,,,,,1360097
,,794,,772.5545,1.874,1.0,,,,,,,,2214766
,,799,,729.07202,1.946,1.0,,,,,,,,2960985
,,800,,799.01056,1.946,1.0,,,,,,,,16031772
,,816,,390.16214,2.25,1.0,,,,,,,,1871180
,,821,,537.16937,2.25,1.0,,,,,,,,855332
,,836,,622.03503,2.265,1.0,,,,,,,,3759423
,,837,,640.04602,2.265,1.0,,,,,,,,62382827
,,838,,745.0863,2.265,1.0,,,,,,,,7424540
,,839,,372.54517,2.279,1.0,,,,,,,,4463049
,,845,,744.08325,2.279,1.0,,,,,,,,36216027
,,865,,666.13214,2.294,1.0,,,,,,,,2894846
,,877,,365.03967,2.308,1.0,,,,,,,,5461398
,,880,,410.02612,2.308,1.0,,,,,,,,5007265
,,881,,428.0369,2.308,1.0,,,,,,,,10598009
,,894,,746.09924,2.308,1.0,,,,,,,,319034949
,,905,,373.55304,2.323,1.0,,,,,,,,22169774
,,913,,729.07178,2.323,1.0,,,,,,,,7838870
,,918,,768.08051,2.323,1.0,,,,,,,,10807538
,,920,,772.5542,2.323,1.0,,,,,,,,5347885
,,949,,834.98694,2.337,1.0,,,,,,,,9016027
,,984,,799.01074,2.352,1.0,,,,,,,,89544764
,,1020,,692.95703,2.366,1.0,,,,,,,,10895643
,,1022,,770.05627,2.366,1.0,,,,,,,,6002262
,,1026,,817.02136,2.366,1.0,,,,,,,,7478017
,,1070,,613.15198,2.41,1.0,,,,,,,,986383
,,1097,,597.1568,2.439,1.0,,,,,,,,596621
,,1147,,525.18341,2.67,1.0,,,,,,,,517723
,,1297,,402.21277,3.176,1.0,,,,,,,,365429
,,1315,,356.19186,3.282,1.0,,,,,,,,1564992
,,1319,,786.16541,3.344,1.0,,,,,,,,1809867
,,1328,,372.25989,3.377,1.0,,,,,,,,2158662
,,1329,,373.26318,3.377,1.0,,,,,,,,389334
