label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,sample
,,6,,352.31317,0.115,1.0,,,,,,,,2400517
,,10,,373.27423,0.115,1.0,,,,,,,,885612
,,16,,383.29492,0.115,1.0,,,,,,,,699660
,,36,,367.30005,0.122,1.0,,,,,,,,742430
,,42,,391.28464,0.122,1.0,,,,,,,,476666
,,75,,511.47272,0.657,1.0,,,,,,,,458421
,,152,,406.32974,1.018,1.0,,,,,,,,3207763
,,185,,444.24463,1.018,1.0,,,,,,,,3659720
,,213,,532.29724,1.018,1.0,,,,,,,,3862351
,,254,,796.99475,1.047,1.0,,,,,,,,2536920
,,264,,542.06934,1.061,1.0,,,,,,,,640753
,,271,,664.11761,1.061,1.0,,,,,,,,6010054
,,312,,692.95758,1.076,1.0,,,,,,,,3473782
,,316,,744.08441,1.076,1.0,,,,,,,,35298267
,,323,,799.01007,1.076,1.0,,,,,,,,3398807
,,327,,832.97223,1.076,1.0,,,,,,,,1338730
,,336,,372.54562,1.09,1.0,,,,,,,,5988980
,,342,,428.03732,1.09,1.0,,,,,,,,2839326
,,347,,508.00372,1.09,1.0,,,,,,,,1420071
,,351,,604.02502,1.09,1.0,,,,,,,,2212381
,,385,,675.95496,1.105,1.0,,,,,,,,3121668
,,389,,774.0943,1.105,1.0,,,,,,,,4192786
,,446,,436.34268,1.219,1.0,,,,,,,,1591431
,,447,,391.28464,1.233,1.0,,,,,,,,2184581
,,451,,412.35785,1.262,1.0,,,,,,,,1539590
,,456,,832.97211,1.262,1.0,,,,,,,,2150090
,,459,,372.54572,1.276,1.0,,,,,,,,13806770
,,461,,384.32642,1.276,1.0,,,,,,,,1608919
,,463,,508.00375,1.276,1.0,,,,,,,,2382224
,,465,,604.02509,1.276,1.0,,,,,,,,3593704
,,466,,622.03577,1.276,1.0,,,,,,,,7615110
,,468,,640.04645,1.276,1.0,,,,,,,,16990396
,,471,,744.08447,1.276,1.0,,,,,,,,115247253
,,473,,745.08698,1.276,1.0,,,,,,,,29388301
,,475,,796.99414,1.276,1.0,,,,,,,,2290740
,,489,,390.16238,1.349,1.0,,,,,,,,5216636
,,577,,640.04633,1.738,1.0,,,,,,,,59155253
,,584,,817.02136,1.753,1.0,,,,,,,,4718703
,,586,,762.09399,1.767,1.0,,,,,,,,1166360
,,602,,834.98859,1.84,1.0,,,,,,,,3199060
,,610,,365.03992,1.869,1.0,,,,,,,,2837248
,,611,,373.55338,1.869,1.0,,,,,,,,11466992
,,624,,746.10004,1.883,1.0,,,,,,,,183100636
,,663,,695.13416,1.926,1.0,,,,,,,,465788
,,687,,729.07257,1.955,1.0,,,,,,,,1202528
,,688,,799.01105,1.955,1.0,,,,,,,,30877591
,,694,,412.35773,2.158,1.0,,,,,,,,2040847
,,748,,622.03516,2.259,1.0,,,,,,,,3910651
,,751,,372.54523,2.274,1.0,,,,,,,,7378755
,,756,,744.08356,2.274,1.0,,,,,,,,48560034
,,757,,745.08649,2.274,1.0,,,,,,,,12076063
,,765,,640.0459,2.288,1.0,,,,,,,,34993069
,,769,,666.13251,2.288,1.0,,,,,,,,3684263
,,777,,365.03983,2.303,1.0,,,,,,,,5139970
,,779,,373.55325,2.303,1.0,,,,,,,,24637161
,,806,,400.00888,2.317,1.0,,,,,,,,23383580
,,819,,428.03705,2.317,1.0,,,,,,,,10763847
,,832,,729.07227,2.317,1.0,,,,,,,,8539567
,,833,,746.09955,2.317,1.0,,,,,,,,314997889
,,843,,768.08081,2.317,1.0,,,,,,,,8947808
,,845,,772.5545,2.317,1.0,,,,,,,,6416647
,,908,,448.36353,2.347,1.0,,,,,,,,1867366
,,932,,834.98737,2.347,1.0,,,,,,,,10027858
,,962,,692.95715,2.361,1.0,,,,,,,,7856699
,,964,,770.05652,2.361,1.0,,,,,,,,6267451
,,966,,799.01086,2.361,1.0,,,,,,,,108694872
,,967,,817.02173,2.361,1.0,,,,,,,,9354344
,,1059,,664.17279,2.721,1.0,,,,,,,,826671
,,1063,,441.33295,2.765,1.0,,,,,,,,1255531
,,1066,,359.10403,2.779,1.0,,,,,,,,724341
,,1076,,441.33316,2.904,1.0,,,,,,,,972342
,,1114,,585.37555,3.085,1.0,,,,,,,,463396
,,1117,,372.23865,3.1,1.0,,,,,,,,345269
,,1216,,356.19205,3.285,1.0,,,,,,,,1441190
,,1220,,786.16559,3.352,1.0,,,,,,,,1397419
,,1225,,372.25998,3.381,1.0,,,,,,,,2279103
,,1226,,373.2634,3.381,1.0,,,,,,,,354557
,,1230,,358.20773,3.428,1.0,,,,,,,,2082175
,,1233,,386.23911,3.428,1.0,,,,,,,,1971730
,,1244,,370.2077,3.475,1.0,,,,,,,,561014
,,1245,,372.18695,3.475,1.0,,,,,,,,532647
,,1246,,377.14227,3.475,1.0,,,,,,,,413171
,,1248,,400.21841,3.475,1.0,,,,,,,,1558127
,,1250,,471.35486,3.5,1.0,,,,,,,,198046
,,1253,,371.22812,3.529,1.0,,,,,,,,1440244
,,1254,,388.25476,3.529,1.0,,,,,,,,13094727
,,1257,,416.28607,3.529,1.0,,,,,,,,2156582
,,1259,,393.20993,3.543,1.0,,,,,,,,424423
,,1261,,377.14624,3.579,1.0,,,,,,,,1279803
,,1263,,385.20743,3.579,1.0,,,,,,,,275062
,,1264,,402.23441,3.579,1.0,,,,,,,,2865393
,,1268,,430.26556,3.579,1.0,,,,,,,,1437504
,,1272,,447.28622,3.592,1.0,,,,,,,,678247
,,1277,,444.24481,3.633,1.0,,,,,,,,1726526
,,1279,,356.22861,3.647,1.0,,,,,,,,12033752
,,1283,,414.23395,3.647,1.0,,,,,,,,671740
,,1292,,415.25439,3.676,1.0,,,,,,,,3446048
,,1293,,432.28125,3.676,1.0,,,,,,,,15942370
,,1295,,437.23618,3.676,1.0,,,,,,,,424171
,,1296,,460.31226,3.676,1.0,,,,,,,,2508201
,,1299,,563.29755,3.687,1.0,,,,,,,,1407926
,,1306,,429.2338,3.716,1.0,,,,,,,,409751
,,1308,,446.26074,3.716,1.0,,,,,,,,2901680
,,1309,,447.26389,3.716,1.0,,,,,,,,533009
,,1314,,416.25781,3.73,1.0,,,,,,,,1354299
