label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,sample
,,29,,109.52152,1.027,1.0,,,,,,,,19901728
,,40,,136.06128,1.027,1.0,,,,,,,,50487378
,,72,,83.06075,1.039,1.0,,,,,,,,701755516
,,73,,85.08446,1.039,1.0,,,,,,,,59576575
,,75,,89.50697,1.039,1.0,,,,,,,,23642759
,,77,,103.09468,1.039,1.0,,,,,,,,3992514
,,97,,154.98965,1.039,1.0,,,,,,,,50383818
,,131,,84.08109,1.05,1.0,,,,,,,,923091575
,,143,,122.08089,1.05,1.0,,,,,,,,97693222
,,144,,123.05498,1.05,1.0,,,,,,,,26098050
,,161,,182.9845,1.05,1.0,,,,,,,,71175138
,,181,,242.03362,1.05,1.0,,,,,,,,36412995
,,195,,60.04503,1.062,1.0,,,,,,,,625423860
,,219,,199.98697,1.062,1.0,,,,,,,,48875944
,,278,,79.02165,1.11,1.0,,,,,,,,167506305
,,284,,143.08093,1.134,1.0,,,,,,,,45337778
,,294,,57.07058,1.146,1.0,,,,,,,,33613801
,,297,,137.13194,1.146,1.0,,,,,,,,56913297
,,338,,324.21542,1.17,1.0,,,,,,,,31202671
,,342,,137.04533,1.182,1.0,,,,,,,,21807477
,,364,,132.10159,1.292,1.0,,,,,,,,22978087
,,381,,229.11749,1.552,1.0,,,,,,,,78308630
,,389,,166.08565,2.114,1.0,,,,,,,,14872376
,,397,,160.07515,2.735,1.0,,,,,,,,48275506
,,400,,160.07516,2.871,1.0,,,,,,,,42464358
,,414,,160.07516,3.228,1.0,,,,,,,,131343540
,,577,,246.20555,6.63,1.0,,,,,,,,7461943
,,640,,264.23114,7.312,1.0,,,,,,,,18127489
,,720,,244.18994,7.632,1.0,,,,,,,,13471910
,,731,,297.24133,7.645,1.0,,,,,,,,6951686
,,732,,315.25186,7.645,1.0,,,,,,,,5186754
,,734,,333.26242,7.645,1.0,,,,,,,,23237080
,,761,,410.17484,7.768,1.0,,,,,,,,10253787
,,766,,426.16965,7.768,1.0,,,,,,,,23469313
,,796,,398.28857,7.954,1.0,,,,,,,,8415815
,,820,,192.13771,8.187,1.0,,,,,,,,37435480
,,823,,149.02298,8.211,1.0,,,,,,,,71411969
,,825,,190.04924,8.211,1.0,,,,,,,,15784248
,,830,,223.09578,8.211,1.0,,,,,,,,36876843
,,869,,274.27338,8.494,1.0,,,,,,,,84572892
,,875,,158.15356,8.517,1.0,,,,,,,,62382580
,,885,,228.19528,8.543,1.0,,,,,,,,179104866
,,889,,273.25266,8.543,1.0,,,,,,,,57995887
,,924,,200.23665,8.799,1.0,,,,,,,,19128867
,,936,,288.28857,8.874,1.0,,,,,,,,16946839
,,938,,302.26779,8.874,1.0,,,,,,,,13073153
,,962,,214.25233,8.984,1.0,,,,,,,,1599541178
,,978,,288.2886,9.082,1.0,,,,,,,,12701009
,,1003,,432.23657,9.216,1.0,,,,,,,,17033899
,,1011,,330.26273,9.277,1.0,,,,,,,,33533997
,,1133,,411.18262,10.128,1.0,,,,,,,,69971680
,,1136,,394.18008,10.141,1.0,,,,,,,,39908113
,,1158,,415.21005,10.213,1.0,,,,,,,,12383282
,,1160,,432.23666,10.213,1.0,,,,,,,,10226993
,,1166,,460.26779,10.213,1.0,,,,,,,,44344650
,,1184,,297.24139,10.238,1.0,,,,,,,,9160677
,,1202,,388.22168,10.287,1.0,,,,,,,,10344734
,,1212,,411.18259,10.336,1.0,,,,,,,,12138186
,,1268,,330.33548,10.75,1.0,,,,,,,,20025253
,,1352,,274.17911,11.226,1.0,,,,,,,,15253940
,,1357,,149.02289,11.25,1.0,,,,,,,,21394553
,,1382,,255.23112,11.347,1.0,,,,,,,,37840082
