label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,sample
,,1,,135.11633,0.103,1.0,,,,,,,,1461484
,,2,,137.13205,0.103,1.0,,,,,,,,8878350
,,5,,153.12688,0.103,1.0,,,,,,,,7787202
,,11,,57.07068,0.173,1.0,,,,,,,,3322353
,,12,,59.04989,0.173,1.0,,,,,,,,63263613
,,14,,69.07053,0.173,1.0,,,,,,,,9039258
,,15,,85.10157,0.173,1.0,,,,,,,,13501292
,,18,,115.11177,0.173,1.0,,,,,,,,4216370
,,33,,109.52165,1.032,1.0,,,,,,,,18583366
,,42,,131.53323,1.032,1.0,,,,,,,,22592500
,,75,,279.15808,1.032,1.0,,,,,,,,24152619
,,78,,57.07057,1.044,1.0,,,,,,,,2797328
,,83,,83.06081,1.044,1.0,,,,,,,,1064415839
,,84,,84.08115,1.044,1.0,,,,,,,,385365952
,,85,,85.0845,1.044,1.0,,,,,,,,25715855
,,87,,89.50706,1.044,1.0,,,,,,,,20286695
,,91,,103.09479,1.044,1.0,,,,,,,,5723827
,,100,,122.081,1.044,1.0,,,,,,,,57910476
,,110,,154.98978,1.044,1.0,,,,,,,,43342864
,,121,,182.98468,1.044,1.0,,,,,,,,61367520
,,141,,60.04509,1.055,1.0,,,,,,,,146780703
,,158,,123.05508,1.055,1.0,,,,,,,,47956068
,,224,,127.07501,1.067,1.0,,,,,,,,7913044
,,257,,79.0217,1.08,1.0,,,,,,,,208578016
,,302,,158.96071,1.129,1.0,,,,,,,,23267293
,,308,,84.10155,1.142,1.0,,,,,,,,1610840
,,309,,132.10158,1.142,1.0,,,,,,,,10262293
,,316,,61.04034,1.155,1.0,,,,,,,,25188724
,,318,,137.13206,1.155,1.0,,,,,,,,39057439
,,356,,137.04549,1.217,1.0,,,,,,,,46490187
,,359,,269.0871,1.217,1.0,,,,,,,,18108969
,,371,,72.08135,1.229,1.0,,,,,,,,41134402
,,402,,229.11763,1.636,1.0,,,,,,,,54089579
,,409,,250.09253,1.841,1.0,,,,,,,,8774724
,,422,,110.0201,2.471,1.0,,,,,,,,51141519
,,427,,83.06084,2.612,1.0,,,,,,,,1423437526
,,436,,160.07515,2.753,1.0,,,,,,,,15669120
,,442,,160.07516,2.868,1.0,,,,,,,,14848835
,,457,,242.06494,2.984,1.0,,,,,,,,4470905
,,462,,114.09129,3.113,1.0,,,,,,,,19297800
,,470,,160.07515,3.241,1.0,,,,,,,,53434876
,,472,,130.15872,3.28,1.0,,,,,,,,19194695
,,533,,220.15356,4.522,1.0,,,,,,,,5514460
,,610,,183.07762,5.766,1.0,,,,,,,,5075530
,,614,,182.98468,5.804,1.0,,,,,,,,19602340
,,633,,246.20566,6.463,1.0,,,,,,,,11835819
,,694,,264.23138,7.091,1.0,,,,,,,,14936122
,,746,,410.17487,7.446,1.0,,,,,,,,3725554
,,796,,244.18999,7.634,1.0,,,,,,,,5361346
,,829,,533.32404,7.71,1.0,,,,,,,,6255529
,,848,,410.17484,7.784,1.0,,,,,,,,12358712
,,853,,426.16962,7.784,1.0,,,,,,,,18046122
,,898,,192.13773,8.183,1.0,,,,,,,,36722909
,,910,,149.02296,8.221,1.0,,,,,,,,30396492
,,916,,223.09579,8.221,1.0,,,,,,,,14452238
,,923,,274.27353,8.246,1.0,,,,,,,,149918639
,,930,,230.2471,8.282,1.0,,,,,,,,8258763
,,942,,288.25226,8.382,1.0,,,,,,,,6602120
,,959,,158.15364,8.519,1.0,,,,,,,,50951776
,,965,,228.19519,8.569,1.0,,,,,,,,63210880
,,977,,288.28891,8.618,1.0,,,,,,,,39165326
,,988,,214.25241,8.717,1.0,,,,,,,,400042794
,,996,,288.28876,8.815,1.0,,,,,,,,23092442
,,1011,,352.13312,8.927,1.0,,,,,,,,4332700
,,1023,,330.26276,9.077,1.0,,,,,,,,8138106
,,1041,,387.17902,9.227,1.0,,,,,,,,12231206
,,1044,,404.2056,9.227,1.0,,,,,,,,10258707
,,1053,,432.23715,9.227,1.0,,,,,,,,51155044
,,1078,,302.30438,9.376,1.0,,,,,,,,14779879
,,1133,,376.25821,9.88,1.0,,,,,,,,17307158
,,1136,,393.28476,9.88,1.0,,,,,,,,28137666
,,1143,,421.31601,9.88,1.0,,,,,,,,32459514
,,1179,,411.18286,10.138,1.0,,,,,,,,36340958
,,1187,,394.18066,10.15,1.0,,,,,,,,63319935
,,1207,,415.21021,10.225,1.0,,,,,,,,32094987
,,1211,,432.23682,10.225,1.0,,,,,,,,23119417
,,1222,,460.26813,10.225,1.0,,,,,,,,95803669
,,1262,,279.1582,10.346,1.0,,,,,,,,13826662
,,1272,,297.24149,10.383,1.0,,,,,,,,7009606
,,1285,,330.33557,10.445,1.0,,,,,,,,37384232
,,1379,,140.06784,10.99,1.0,,,,,,,,13383913
,,1384,,287.22079,10.99,1.0,,,,,,,,5486581
,,1392,,385.23373,10.99,1.0,,,,,,,,6367284
,,1407,,105.04251,11.003,1.0,,,,,,,,23622011
,,1423,,526.29126,11.016,1.0,,,,,,,,14066796
,,1444,,526.29138,11.151,1.0,,,,,,,,26946241
,,1462,,502.2912,11.176,1.0,,,,,,,,7153073
,,1477,,274.1792,11.237,1.0,,,,,,,,14115689
,,1482,,255.23106,11.25,1.0,,,,,,,,19658613
,,1485,,358.37216,11.25,1.0,,,,,,,,11807364
,,1491,,279.16171,11.262,1.0,,,,,,,,33255550
,,1515,,255.23106,11.348,1.0,,,,,,,,20408668
,,1568,,271.22595,11.52,1.0,,,,,,,,36953140
,,1583,,488.2392,11.545,1.0,,,,,,,,9727061
,,1589,,454.29123,11.569,1.0,,,,,,,,7055519
,,1663,,111.02035,11.902,1.0,,,,,,,,129609625
,,1672,,144.98172,11.914,1.0,,,,,,,,16206247
,,1696,,64.01651,11.963,1.0,,,,,,,,116819449
,,1698,,105.04251,11.963,1.0,,,,,,,,30527239
,,1699,,110.02008,11.963,1.0,,,,,,,,15902888
,,1707,,734.56671,11.963,1.0,,,,,,,,8722421
,,1711,,113.07098,12.026,1.0,,,,,,,,87004137
,,1715,,140.08141,12.037,1.0,,,,,,,,121938717
,,1721,,56.05028,12.049,1.0,,,,,,,,166659490
,,1730,,81.04522,12.072,1.0,,,,,,,,243386108
,,1734,,72.06879,12.083,1.0,,,,,,,,36016610
,,1735,,100.06339,12.083,1.0,,,,,,,,106695491
,,1736,,123.07898,12.083,1.0,,,,,,,,29352829
,,1740,,60.04511,12.095,1.0,,,,,,,,629934859
,,1742,,112.05058,12.106,1.0,,,,,,,,262482256
,,1755,,150.10229,12.141,1.0,,,,,,,,562487238
,,1756,,165.12561,12.141,1.0,,,,,,,,184088746
,,1761,,124.08677,12.164,1.0,,,,,,,,32746706596
,,1768,,125.09018,12.175,1.0,,,,,,,,2312891410
,,1773,,84.08124,12.187,1.0,,,,,,,,6440742891
,,1782,,127.08633,12.244,1.0,,,,,,,,222536847
