label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,sample
,,33,,279.15817,1.03,1.0,,,,,,,,19602846
,,42,,83.06084,1.042,1.0,,,,,,,,895644673
,,43,,85.08456,1.042,1.0,,,,,,,,38996092
,,44,,89.50713,1.042,1.0,,,,,,,,24792760
,,47,,103.09485,1.042,1.0,,,,,,,,2345848
,,50,,109.52168,1.042,1.0,,,,,,,,20645802
,,70,,154.98985,1.042,1.0,,,,,,,,51284182
,,76,,182.98482,1.042,1.0,,,,,,,,57148627
,,100,,84.08119,1.054,1.0,,,,,,,,595019931
,,111,,123.05512,1.054,1.0,,,,,,,,25273130
,,149,,60.0451,1.066,1.0,,,,,,,,560084936
,,157,,122.08103,1.066,1.0,,,,,,,,97881919
,,161,,141.0905,1.066,1.0,,,,,,,,2886012
,,193,,199.98724,1.078,1.0,,,,,,,,67311923
,,223,,79.02171,1.103,1.0,,,,,,,,224384608
,,248,,158.96083,1.126,1.0,,,,,,,,18291762
,,292,,72.08138,1.202,1.0,,,,,,,,39209716
,,294,,137.04547,1.202,1.0,,,,,,,,27560693
,,303,,269.08701,1.202,1.0,,,,,,,,9199697
,,319,,132.10159,1.226,1.0,,,,,,,,18007482
,,350,,257.11221,1.491,1.0,,,,,,,,17443926
,,353,,257.1019,1.555,1.0,,,,,,,,48474
,,355,,229.1176,1.606,1.0,,,,,,,,59940699
,,375,,74.0606,2.306,1.0,,,,,,,,106972944
,,377,,83.06083,2.458,1.0,,,,,,,,930414204
,,382,,160.0752,2.724,1.0,,,,,,,,25077191
,,384,,160.07518,2.849,1.0,,,,,,,,30012328
,,406,,160.07515,3.2,1.0,,,,,,,,88800742
,,413,,130.15872,3.364,1.0,,,,,,,,20512458
,,433,,204.15874,3.906,1.0,,,,,,,,5055620
,,543,,182.98456,5.758,1.0,,,,,,,,31224173
,,547,,183.07745,5.771,1.0,,,,,,,,5349695
,,579,,246.20541,6.557,1.0,,,,,,,,8820301
,,650,,331.24664,7.16,1.0,,,,,,,,6264178
,,652,,376.30438,7.16,1.0,,,,,,,,5741731
,,662,,264.23117,7.21,1.0,,,,,,,,18307876
,,684,,331.24664,7.272,1.0,,,,,,,,12666548
,,689,,376.30432,7.272,1.0,,,,,,,,7103882
,,707,,464.29926,7.323,1.0,,,,,,,,20048809
,,804,,244.1899,7.635,1.0,,,,,,,,9185661
,,818,,333.26236,7.648,1.0,,,,,,,,10441672
,,846,,355.24649,7.711,1.0,,,,,,,,7999974
,,850,,400.30432,7.711,1.0,,,,,,,,7710414
,,871,,426.16956,7.785,1.0,,,,,,,,10603556
,,885,,355.24652,7.861,1.0,,,,,,,,12374304
,,923,,466.31488,8.023,1.0,,,,,,,,11421182
,,954,,192.13773,8.187,1.0,,,,,,,,40836153
,,965,,149.02296,8.223,1.0,,,,,,,,47148739
,,970,,223.09575,8.223,1.0,,,,,,,,24160145
,,1006,,274.27362,8.372,1.0,,,,,,,,143016863
,,1014,,230.24713,8.41,1.0,,,,,,,,8335997
,,1028,,158.15358,8.522,1.0,,,,,,,,52545666
,,1038,,228.19513,8.559,1.0,,,,,,,,102752016
,,1044,,273.25259,8.571,1.0,,,,,,,,32538903
,,1076,,288.28873,8.746,1.0,,,,,,,,22798615
,,1098,,214.25238,8.845,1.0,,,,,,,,766125602
,,1120,,288.2886,8.956,1.0,,,,,,,,14054078
,,1155,,330.2626,9.165,1.0,,,,,,,,18035492
,,1168,,387.17874,9.228,1.0,,,,,,,,7508514
,,1178,,432.23669,9.228,1.0,,,,,,,,35763660
,,1212,,329.2309,9.449,1.0,,,,,,,,6426887
,,1236,,302.30429,9.51,1.0,,,,,,,,14945544
,,1281,,393.28458,9.883,1.0,,,,,,,,14485915
,,1285,,421.31583,9.883,1.0,,,,,,,,15675757
,,1320,,394.1806,10.142,1.0,,,,,,,,81333381
,,1324,,411.18292,10.142,1.0,,,,,,,,61639974
,,1350,,415.21021,10.216,1.0,,,,,,,,24735197
,,1358,,460.26816,10.216,1.0,,,,,,,,80449280
,,1365,,432.23688,10.229,1.0,,,,,,,,17467049
,,1418,,297.24155,10.378,1.0,,,,,,,,23905401
,,1422,,315.25208,10.378,1.0,,,,,,,,12973042
,,1452,,330.33554,10.588,1.0,,,,,,,,35366489
,,1497,,339.25177,10.862,1.0,,,,,,,,10501711
,,1502,,361.23349,10.862,1.0,,,,,,,,11745157
,,1556,,385.23343,10.998,1.0,,,,,,,,7749691
,,1571,,526.29126,11.024,1.0,,,,,,,,23650518
,,1578,,502.29114,11.036,1.0,,,,,,,,12904595
,,1612,,526.29144,11.159,1.0,,,,,,,,41609938
,,1630,,502.29123,11.184,1.0,,,,,,,,19659194
,,1638,,274.17917,11.232,1.0,,,,,,,,15484031
,,1643,,149.0229,11.257,1.0,,,,,,,,16178161
,,1648,,279.15814,11.257,1.0,,,,,,,,34559440
,,1662,,358.36685,11.331,1.0,,,,,,,,9823154
