label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,sample
,,30,,149.02306,1.023,1.0,,,,,,,,16396869
,,56,,83.06091,1.035,1.0,,,,,,,,786307387
,,57,,84.08126,1.035,1.0,,,,,,,,635865219
,,58,,85.08462,1.035,1.0,,,,,,,,42666701
,,60,,89.50716,1.035,1.0,,,,,,,,26045298
,,64,,109.02255,1.035,1.0,,,,,,,,16921820
,,69,,123.05521,1.035,1.0,,,,,,,,30000364
,,81,,154.98996,1.035,1.0,,,,,,,,53571237
,,88,,182.98494,1.035,1.0,,,,,,,,86419538
,,117,,60.0451,1.046,1.0,,,,,,,,527191972
,,126,,122.08112,1.046,1.0,,,,,,,,89424504
,,195,,199.98737,1.07,1.0,,,,,,,,37351700
,,217,,79.02177,1.094,1.0,,,,,,,,173592468
,,297,,57.07067,1.156,1.0,,,,,,,,21918060
,,316,,114.09138,1.168,1.0,,,,,,,,34178926
,,318,,137.1322,1.168,1.0,,,,,,,,49790868
,,320,,153.12697,1.168,1.0,,,,,,,,28071380
,,336,,137.04553,1.191,1.0,,,,,,,,25178454
,,356,,324.21591,1.228,1.0,,,,,,,,29809634
,,369,,132.10176,1.29,1.0,,,,,,,,23201003
,,387,,229.11784,1.563,1.0,,,,,,,,85081891
,,399,,166.08586,2.127,1.0,,,,,,,,14721970
,,411,,160.07529,2.723,1.0,,,,,,,,36017312
,,415,,160.07533,2.859,1.0,,,,,,,,51237182
,,433,,160.07529,3.217,1.0,,,,,,,,94800002
,,441,,130.15875,3.426,1.0,,,,,,,,20751466
,,501,,331.09143,4.636,1.0,,,,,,,,48464774
,,525,,347.08624,5.254,1.0,,,,,,,,16042626
,,589,,363.11728,6.194,1.0,,,,,,,,27095662
,,595,,426.18549,6.206,1.0,,,,,,,,21904508
,,679,,331.24664,7.154,1.0,,,,,,,,7388214
,,684,,376.30441,7.154,1.0,,,,,,,,8449753
,,704,,331.24664,7.277,1.0,,,,,,,,12020285
,,713,,264.23129,7.315,1.0,,,,,,,,20139670
,,725,,374.2887,7.364,1.0,,,,,,,,12118205
,,761,,334.27292,7.486,1.0,,,,,,,,10052524
,,780,,333.26233,7.535,1.0,,,,,,,,10576665
,,804,,244.18997,7.634,1.0,,,,,,,,12621408
,,817,,279.15814,7.647,1.0,,,,,,,,31083852
,,820,,297.24142,7.647,1.0,,,,,,,,12421544
,,822,,315.25195,7.647,1.0,,,,,,,,9876917
,,824,,333.26266,7.647,1.0,,,,,,,,43940522
,,830,,355.24417,7.647,1.0,,,,,,,,8585878
,,834,,378.32007,7.647,1.0,,,,,,,,8571653
,,863,,376.3045,7.746,1.0,,,,,,,,13029762
,,869,,355.24643,7.795,1.0,,,,,,,,7198389
,,871,,400.3042,7.795,1.0,,,,,,,,11523993
,,895,,398.28888,7.967,1.0,,,,,,,,15209762
,,919,,192.13766,8.187,1.0,,,,,,,,39236317
,,927,,149.02295,8.224,1.0,,,,,,,,67172941
,,932,,190.04915,8.224,1.0,,,,,,,,16654073
,,937,,223.09572,8.224,1.0,,,,,,,,35939942
,,991,,274.27347,8.496,1.0,,,,,,,,94274535
,,993,,362.30402,8.508,1.0,,,,,,,,8303064
,,995,,158.15356,8.52,1.0,,,,,,,,44196003
,,1006,,228.19527,8.556,1.0,,,,,,,,164260166
,,1010,,273.25262,8.556,1.0,,,,,,,,44584639
,,1037,,345.10782,8.666,1.0,,,,,,,,392617951
,,1059,,200.23663,8.802,1.0,,,,,,,,16297927
