label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,sample
,,1,,149.02296,1.019,1.0,,,,,,,,23108929
,,6,,279.15836,1.019,1.0,,,,,,,,31214449
,,14,,89.5071,1.031,1.0,,,,,,,,26505777
,,17,,101.10757,1.031,1.0,,,,,,,,330034
,,44,,154.98981,1.031,1.0,,,,,,,,57447131
,,49,,182.98474,1.031,1.0,,,,,,,,63546631
,,72,,84.08119,1.042,1.0,,,,,,,,405347081
,,111,,83.06081,1.054,1.0,,,,,,,,1199168210
,,119,,122.081,1.054,1.0,,,,,,,,49832521
,,120,,123.0551,1.054,1.0,,,,,,,,41666769
,,192,,60.04507,1.066,1.0,,,,,,,,744573122
,,214,,79.02171,1.079,1.0,,,,,,,,200130193
,,243,,158.9608,1.128,1.0,,,,,,,,24238327
,,249,,132.10159,1.142,1.0,,,,,,,,10898601
,,255,,72.08139,1.166,1.0,,,,,,,,26998308
,,288,,137.04549,1.216,1.0,,,,,,,,49012800
,,290,,269.08716,1.216,1.0,,,,,,,,19277917
,,307,,122.08105,1.266,1.0,,,,,,,,55665378
,,322,,229.11765,1.647,1.0,,,,,,,,60655587
,,332,,250.09248,1.853,1.0,,,,,,,,9882323
,,335,,79.02171,2.072,1.0,,,,,,,,32141393
,,356,,160.07518,2.738,1.0,,,,,,,,15567294
,,368,,160.07512,2.88,1.0,,,,,,,,11643255
,,377,,242.06494,2.983,1.0,,,,,,,,4947885
,,385,,114.09131,3.111,1.0,,,,,,,,20149807
,,392,,160.07513,3.214,1.0,,,,,,,,41964464
,,397,,130.15877,3.279,1.0,,,,,,,,20849800
,,424,,204.15877,3.844,1.0,,,,,,,,6945219
,,430,,272.18457,3.907,1.0,,,,,,,,8426487
,,461,,220.15355,4.52,1.0,,,,,,,,6068100
,,474,,331.09195,4.673,1.0,,,,,,,,80320296
,,498,,347.08676,5.231,1.0,,,,,,,,53806194
,,542,,218.21069,5.46,1.0,,,,,,,,6836205
,,563,,182.98459,5.739,1.0,,,,,,,,7606067
,,566,,183.07755,5.764,1.0,,,,,,,,5921310
,,592,,363.11722,6.195,1.0,,,,,,,,36908650
,,601,,426.18536,6.208,1.0,,,,,,,,24852179
,,618,,246.20557,6.461,1.0,,,,,,,,11433996
,,632,,248.18469,6.701,1.0,,,,,,,,3153536
,,682,,246.24187,6.992,1.0,,,,,,,,5558624
,,690,,345.0704,7.067,1.0,,,,,,,,5349844
,,695,,264.2312,7.08,1.0,,,,,,,,15128613
,,729,,331.24649,7.268,1.0,,,,,,,,5390659
,,732,,361.1015,7.268,1.0,,,,,,,,5406400
,,743,,216.15866,7.319,1.0,,,,,,,,8857654
,,895,,192.13771,8.185,1.0,,,,,,,,36299413
,,909,,149.0229,8.222,1.0,,,,,,,,26883053
,,917,,223.09572,8.235,1.0,,,,,,,,11901285
,,918,,274.27356,8.235,1.0,,,,,,,,160620109
,,924,,230.2471,8.284,1.0,,,,,,,,8836979
