label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,sample
,,8,,109.52172,1.034,1.0,,,,,,,,20335531
,,30,,149.02296,1.034,1.0,,,,,,,,14703007
,,47,,279.1582,1.034,1.0,,,,,,,,20783685
,,53,,83.06088,1.046,1.0,,,,,,,,719334292
,,54,,84.08123,1.046,1.0,,,,,,,,548853408
,,55,,85.08459,1.046,1.0,,,,,,,,41223790
,,60,,103.09486,1.046,1.0,,,,,,,,2351897
,,66,,122.08109,1.046,1.0,,,,,,,,21278380
,,71,,154.98985,1.046,1.0,,,,,,,,38544986
,,81,,182.9848,1.046,1.0,,,,,,,,49351776
,,128,,123.05518,1.057,1.0,,,,,,,,34500783
,,187,,60.04515,1.069,1.0,,,,,,,,512686971
,,190,,114.09136,1.069,1.0,,,,,,,,11476788
,,206,,199.98738,1.069,1.0,,,,,,,,39422152
,,242,,79.02174,1.119,1.0,,,,,,,,163909198
,,255,,61.04036,1.131,1.0,,,,,,,,11474750
,,306,,57.07064,1.194,1.0,,,,,,,,14345666
,,323,,132.10168,1.207,1.0,,,,,,,,17104739
,,324,,137.04553,1.207,1.0,,,,,,,,29350742
,,325,,137.13217,1.207,1.0,,,,,,,,55043374
,,328,,153.12694,1.207,1.0,,,,,,,,40544501
,,333,,269.0871,1.207,1.0,,,,,,,,9897005
,,339,,158.96085,1.218,1.0,,,,,,,,13350148
,,349,,72.08143,1.256,1.0,,,,,,,,21481282
,,372,,123.05521,1.485,1.0,,,,,,,,26677479
,,374,,257.11237,1.485,1.0,,,,,,,,31311886
,,382,,229.11787,1.601,1.0,,,,,,,,68843271
,,403,,160.07529,2.729,1.0,,,,,,,,28863485
,,405,,110.02017,2.741,1.0,,,,,,,,58559935
,,409,,160.07527,2.868,1.0,,,,,,,,23595248
,,418,,242.06514,2.995,1.0,,,,,,,,5871578
,,429,,160.0753,3.122,1.0,,,,,,,,29469748
,,434,,160.0753,3.223,1.0,,,,,,,,66485781
,,441,,130.15887,3.35,1.0,,,,,,,,21063827
,,469,,204.15889,3.908,1.0,,,,,,,,4781965
,,514,,331.09131,4.657,1.0,,,,,,,,20754729
,,541,,347.08682,5.25,1.0,,,,,,,,47154678
,,593,,182.98465,5.665,1.0,,,,,,,,42640070
,,631,,363.11743,6.191,1.0,,,,,,,,40307955
,,636,,426.18564,6.191,1.0,,,,,,,,29942455
,,660,,246.2056,6.546,1.0,,,,,,,,9916862
,,698,,345.07062,7.059,1.0,,,,,,,,14485102
,,743,,331.24677,7.148,1.0,,,,,,,,6487432
,,754,,264.23138,7.199,1.0,,,,,,,,16680228
,,762,,361.10181,7.262,1.0,,,,,,,,9859603
,,781,,331.24686,7.275,1.0,,,,,,,,13293149
,,786,,376.30457,7.275,1.0,,,,,,,,7117983
,,804,,464.29944,7.325,1.0,,,,,,,,19481270
,,816,,374.28888,7.375,1.0,,,,,,,,6610110
,,834,,331.24658,7.462,1.0,,,,,,,,4994571
,,844,,347.24155,7.475,1.0,,,,,,,,4866380
,,900,,244.18999,7.639,1.0,,,,,,,,7783872
,,911,,333.26242,7.639,1.0,,,,,,,,10627913
,,942,,400.3045,7.701,1.0,,,,,,,,7560029
,,949,,355.24643,7.713,1.0,,,,,,,,8775211
,,976,,355.24658,7.862,1.0,,,,,,,,11501655
,,984,,329.07568,7.888,1.0,,,,,,,,18181671
,,1006,,398.28885,7.975,1.0,,,,,,,,7940524
,,1022,,466.31494,8.025,1.0,,,,,,,,10436061
,,1048,,192.1376,8.186,1.0,,,,,,,,38975513
,,1059,,149.02301,8.223,1.0,,,,,,,,45065461
,,1067,,223.09581,8.223,1.0,,,,,,,,23475282
,,1104,,274.27365,8.36,1.0,,,,,,,,141182884
,,1112,,230.24712,8.398,1.0,,,,,,,,7905611
,,1126,,158.15364,8.523,1.0,,,,,,,,52406903
,,1130,,273.25269,8.536,1.0,,,,,,,,30893956
,,1131,,274.25601,8.536,1.0,,,,,,,,4719972
,,1135,,228.19533,8.547,1.0,,,,,,,,97195416
,,1167,,345.10776,8.708,1.0,,,,,,,,235939551
,,1173,,288.28873,8.734,1.0,,,,,,,,20335057
,,1190,,214.2524,8.833,1.0,,,,,,,,746824241
,,1208,,288.28873,8.944,1.0,,,,,,,,12675836
,,1247,,330.2627,9.156,1.0,,,,,,,,16218313
,,1274,,432.23688,9.231,1.0,,,,,,,,36215873
,,1307,,329.23105,9.454,1.0,,,,,,,,7088457
,,1325,,302.30438,9.492,1.0,,,,,,,,14753098
,,1372,,393.2847,9.878,1.0,,,,,,,,16337812
,,1377,,421.31595,9.878,1.0,,,,,,,,19033913
,,1420,,279.15811,10.224,1.0,,,,,,,,12964575
,,1422,,415.21021,10.224,1.0,,,,,,,,26887732
,,1425,,432.23679,10.224,1.0,,,,,,,,18933091
,,1433,,460.2681,10.224,1.0,,,,,,,,84339389
,,1491,,279.2309,10.383,1.0,,,,,,,,10698656
,,1493,,297.24149,10.383,1.0,,,,,,,,23655851
,,1495,,315.25195,10.383,1.0,,,,,,,,12732523
,,1526,,330.33557,10.581,1.0,,,,,,,,30089967
,,1538,,339.25195,10.631,1.0,,,,,,,,6252335
,,1574,,339.25189,10.868,1.0,,,,,,,,10900866
,,1580,,361.23364,10.868,1.0,,,,,,,,11381208
,,1601,,140.06772,10.992,1.0,,,,,,,,8954065
,,1632,,385.23352,11.005,1.0,,,,,,,,7101847
,,1655,,502.29095,11.029,1.0,,,,,,,,12766276
,,1659,,526.29108,11.029,1.0,,,,,,,,23408382
,,1692,,526.29126,11.165,1.0,,,,,,,,39046382
,,1710,,502.29099,11.189,1.0,,,,,,,,19598263
,,1714,,274.17908,11.226,1.0,,,,,,,,15016019
,,1721,,149.0229,11.264,1.0,,,,,,,,21562605
,,1724,,279.15817,11.264,1.0,,,,,,,,35641678
,,1741,,358.36664,11.336,1.0,,,,,,,,9343713
,,1750,,255.23088,11.362,1.0,,,,,,,,10276299
,,1796,,271.22583,11.522,1.0,,,,,,,,20382374
,,1813,,488.23923,11.546,1.0,,,,,,,,6697926
,,1843,,734.56671,11.755,1.0,,,,,,,,11796897
,,1850,,64.01652,11.827,1.0,,,,,,,,46583018
,,1851,,105.04251,11.827,1.0,,,,,,,,31070592
,,1876,,214.25211,11.888,1.0,,,,,,,,12038280
