label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,sample
,,0,,281.05051,0.239,1.0,,,,,,,,673341
,,1,,87.09201,1.014,1.0,,,,,,,,1987229
,,2,,99.09998,1.014,1.0,,,,,,,,2360912
,,11,,109.52169,1.026,1.0,,,,,,,,22615684
,,54,,83.06085,1.037,1.0,,,,,,,,843792232
,,68,,122.08104,1.037,1.0,,,,,,,,26660294
,,78,,154.98981,1.037,1.0,,,,,,,,44046504
,,109,,279.15811,1.037,1.0,,,,,,,,20480123
,,113,,57.07063,1.049,1.0,,,,,,,,9617989
,,115,,84.0812,1.049,1.0,,,,,,,,773694512
,,116,,85.08456,1.049,1.0,,,,,,,,54372654
,,123,,103.0948,1.049,1.0,,,,,,,,3789540
,,128,,123.05514,1.049,1.0,,,,,,,,27213599
,,153,,182.98473,1.049,1.0,,,,,,,,54323262
,,180,,242.03389,1.049,1.0,,,,,,,,34126528
,,194,,60.0451,1.061,1.0,,,,,,,,121703404
,,213,,199.9872,1.061,1.0,,,,,,,,40251706
,,252,,79.02174,1.11,1.0,,,,,,,,187965510
,,265,,143.08109,1.134,1.0,,,,,,,,48230813
,,276,,99.08061,1.146,1.0,,,,,,,,10890574
,,310,,72.08135,1.171,1.0,,,,,,,,36561817
,,326,,137.13211,1.183,1.0,,,,,,,,55768754
,,345,,137.04543,1.195,1.0,,,,,,,,23193310
,,360,,153.12683,1.232,1.0,,,,,,,,25611590
,,365,,324.2157,1.257,1.0,,,,,,,,39427573
,,370,,132.10165,1.282,1.0,,,,,,,,21161114
,,389,,229.11771,1.581,1.0,,,,,,,,81035672
,,401,,166.08578,2.12,1.0,,,,,,,,13863443
,,408,,122.54695,2.656,1.0,,,,,,,,16074745
,,411,,160.07526,2.731,1.0,,,,,,,,41072796
,,413,,160.07523,2.866,1.0,,,,,,,,45286722
,,431,,160.07533,3.225,1.0,,,,,,,,113212141
,,439,,130.15875,3.41,1.0,,,,,,,,24059072
,,457,,332.1051,3.743,1.0,,,,,,,,17190955
,,473,,362.11554,3.868,1.0,,,,,,,,5996456
,,519,,316.1106,4.437,1.0,,,,,,,,29501542
,,531,,362.11615,4.474,1.0,,,,,,,,52033886
,,547,,362.11594,4.634,1.0,,,,,,,,29974823
,,552,,344.10519,4.672,1.0,,,,,,,,18663318
,,574,,198.0578,4.982,1.0,,,,,,,,30998337
,,579,,346.12152,4.982,1.0,,,,,,,,231553582
,,592,,298.15405,4.995,1.0,,,,,,,,10109353
,,599,,328.11035,5.019,1.0,,,,,,,,30116762
,,604,,328.11029,5.143,1.0,,,,,,,,34817084
,,606,,378.11057,5.143,1.0,,,,,,,,6042605
,,626,,378.1106,5.378,1.0,,,,,,,,13174194
,,637,,328.11035,5.491,1.0,,,,,,,,27224979
,,659,,362.11566,5.739,1.0,,,,,,,,12007527
