label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,sample
,,4,,87.09185,1.021,1.0,,,,,,,,5643098
,,5,,101.07095,1.021,1.0,,,,,,,,26489906
,,9,,124.08652,1.021,1.0,,,,,,,,231940264
,,21,,83.06075,1.033,1.0,,,,,,,,1336512805
,,22,,85.08443,1.033,1.0,,,,,,,,26294058
,,24,,89.507,1.033,1.0,,,,,,,,24098491
,,26,,102.09142,1.033,1.0,,,,,,,,84728965
,,28,,109.52158,1.033,1.0,,,,,,,,22230977
,,50,,149.02274,1.033,1.0,,,,,,,,26988610
,,70,,279.15781,1.033,1.0,,,,,,,,48201441
,,98,,154.98961,1.044,1.0,,,,,,,,53161565
,,110,,182.98448,1.044,1.0,,,,,,,,68910333
,,128,,60.04504,1.056,1.0,,,,,,,,194345734
,,136,,122.0809,1.056,1.0,,,,,,,,50739772
,,137,,123.055,1.056,1.0,,,,,,,,52941644
,,142,,135.1163,1.056,1.0,,,,,,,,1650421
,,206,,171.14842,1.068,1.0,,,,,,,,27307542
,,207,,171.99219,1.068,1.0,,,,,,,,29430869
,,221,,79.02168,1.08,1.0,,,,,,,,193817777
,,233,,158.96065,1.093,1.0,,,,,,,,30694324
,,241,,57.07055,1.105,1.0,,,,,,,,9943253
,,255,,84.0811,1.129,1.0,,,,,,,,951925468
,,256,,132.10147,1.129,1.0,,,,,,,,12476425
,,271,,137.13193,1.143,1.0,,,,,,,,42736569
,,285,,72.08129,1.179,1.0,,,,,,,,26218909
,,298,,137.04539,1.216,1.0,,,,,,,,50007124
,,304,,269.08688,1.216,1.0,,,,,,,,19840667
,,332,,123.055,1.468,1.0,,,,,,,,32633893
,,345,,229.11751,1.647,1.0,,,,,,,,61741322
,,354,,250.09235,1.864,1.0,,,,,,,,10502292
,,364,,110.02006,2.467,1.0,,,,,,,,32246277
,,375,,160.0751,2.735,1.0,,,,,,,,14956005
,,386,,160.0751,2.878,1.0,,,,,,,,11848265
,,395,,242.06491,2.981,1.0,,,,,,,,5081039
,,403,,114.09129,3.109,1.0,,,,,,,,19061274
,,415,,160.07516,3.238,1.0,,,,,,,,50304866
,,419,,130.15875,3.263,1.0,,,,,,,,21308505
,,453,,284.13828,3.803,1.0,,,,,,,,7599834
,,457,,204.1586,3.828,1.0,,,,,,,,5607943
,,464,,198.05759,3.866,1.0,,,,,,,,6715047
,,468,,332.10562,3.866,1.0,,,,,,,,56155007
,,480,,314.09442,3.905,1.0,,,,,,,,22838501
,,487,,362.11536,3.969,1.0,,,,,,,,20979586
,,524,,316.11035,4.404,1.0,,,,,,,,10725472
,,541,,220.15352,4.53,1.0,,,,,,,,5664115
,,546,,214.05246,4.569,1.0,,,,,,,,6756927
,,551,,362.1163,4.569,1.0,,,,,,,,65639913
,,560,,344.10513,4.595,1.0,,,,,,,,27643965
