label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,sample
,,4,,81.07027,0.128,1.0,,,,,,,,7617265
,,5,,85.10146,0.128,1.0,,,,,,,,21275014
,,7,,87.08071,0.128,1.0,,,,,,,,9655314
,,17,,99.08056,0.128,1.0,,,,,,,,9408634
,,18,,101.09617,0.128,1.0,,,,,,,,12504757
,,19,,103.11178,0.128,1.0,,,,,,,,16303149
,,30,,115.11163,0.128,1.0,,,,,,,,7716257
,,34,,121.12206,0.128,1.0,,,,,,,,31272349
,,47,,137.132,0.128,1.0,,,,,,,,10736088
,,56,,153.12686,0.128,1.0,,,,,,,,9266199
,,94,,109.52168,1.039,1.0,,,,,,,,23167122
,,114,,149.02287,1.039,1.0,,,,,,,,25078788
,,116,,154.98984,1.039,1.0,,,,,,,,57224724
,,138,,279.15808,1.039,1.0,,,,,,,,29609895
,,144,,83.06082,1.05,1.0,,,,,,,,843920978
,,146,,103.0948,1.05,1.0,,,,,,,,2205430
,,161,,182.98466,1.05,1.0,,,,,,,,61553516
,,183,,84.08118,1.062,1.0,,,,,,,,630878535
,,184,,85.08454,1.062,1.0,,,,,,,,46026651
,,194,,114.09127,1.062,1.0,,,,,,,,11815374
,,197,,122.08101,1.062,1.0,,,,,,,,96238443
,,198,,123.05509,1.062,1.0,,,,,,,,46611295
,,270,,199.98717,1.074,1.0,,,,,,,,53594381
,,307,,60.04509,1.099,1.0,,,,,,,,544817897
,,308,,79.02171,1.099,1.0,,,,,,,,186435744
,,312,,158.96075,1.099,1.0,,,,,,,,16863008
,,355,,137.13206,1.186,1.0,,,,,,,,52851248
,,358,,153.12682,1.186,1.0,,,,,,,,35225378
,,375,,57.07059,1.198,1.0,,,,,,,,11817490
,,383,,72.08134,1.21,1.0,,,,,,,,34884511
,,384,,132.10159,1.21,1.0,,,,,,,,15932441
,,386,,137.04544,1.21,1.0,,,,,,,,25280292
,,389,,269.08694,1.21,1.0,,,,,,,,8627416
,,412,,257.11212,1.49,1.0,,,,,,,,24915611
,,417,,229.11763,1.606,1.0,,,,,,,,63446055
,,440,,182.08067,2.654,1.0,,,,,,,,25690147
,,448,,160.07516,2.731,1.0,,,,,,,,24344566
,,453,,160.0752,2.858,1.0,,,,,,,,26397489
,,492,,160.07521,3.2,1.0,,,,,,,,68636814
,,508,,348.09985,3.339,1.0,,,,,,,,22571697
,,512,,130.15874,3.351,1.0,,,,,,,,23928848
,,530,,378.11032,3.465,1.0,,,,,,,,16993227
,,550,,285.14343,3.605,1.0,,,,,,,,11555446
,,552,,332.10498,3.605,1.0,,,,,,,,5197293
,,567,,198.05756,3.796,1.0,,,,,,,,7883790
,,568,,332.1055,3.796,1.0,,,,,,,,64033662
,,580,,314.0943,3.821,1.0,,,,,,,,16104176
,,584,,284.13846,3.872,1.0,,,,,,,,35307172
,,594,,362.11557,3.91,1.0,,,,,,,,23861121
,,604,,364.09451,3.973,1.0,,,,,,,,7296495
,,608,,314.14856,3.999,1.0,,,,,,,,5190241
,,637,,314.09457,4.278,1.0,,,,,,,,17304147
,,650,,316.11026,4.367,1.0,,,,,,,,11400454
,,668,,214.05244,4.519,1.0,,,,,,,,7744932
,,671,,362.11624,4.519,1.0,,,,,,,,72481193
,,682,,316.1105,4.532,1.0,,,,,,,,25002079
,,687,,344.10513,4.557,1.0,,,,,,,,27550256
,,693,,348.0997,4.608,1.0,,,,,,,,7396560
,,712,,362.11554,4.747,1.0,,,,,,,,6754957
,,724,,298.1539,4.925,1.0,,,,,,,,7296542
,,735,,198.05765,5.053,1.0,,,,,,,,6793175
