label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,sample
,,4,,115.11163,0.439,1.0,,,,,,,,6094974
,,5,,121.12205,0.439,1.0,,,,,,,,29463154
,,22,,109.52171,1.029,1.0,,,,,,,,21811334
,,34,,131.53331,1.029,1.0,,,,,,,,28982949
,,61,,279.15808,1.029,1.0,,,,,,,,41783634
,,66,,83.06082,1.041,1.0,,,,,,,,733204290
,,75,,149.02283,1.041,1.0,,,,,,,,31791961
,,78,,154.98973,1.041,1.0,,,,,,,,45984668
,,84,,182.98468,1.041,1.0,,,,,,,,82179417
,,106,,84.08112,1.052,1.0,,,,,,,,1771022246
,,107,,85.08448,1.052,1.0,,,,,,,,110520149
,,114,,103.09473,1.052,1.0,,,,,,,,5599088
,,120,,122.08092,1.052,1.0,,,,,,,,39361443
,,121,,123.05504,1.052,1.0,,,,,,,,41041052
,,172,,242.03368,1.052,1.0,,,,,,,,29261413
,,189,,60.04509,1.064,1.0,,,,,,,,518430733
,,220,,199.98715,1.064,1.0,,,,,,,,52901428
,,245,,131.0699,1.076,1.0,,,,,,,,1495848
,,268,,79.02175,1.088,1.0,,,,,,,,196275042
,,300,,137.13208,1.113,1.0,,,,,,,,40516286
,,306,,72.08137,1.125,1.0,,,,,,,,22647233
,,308,,135.11632,1.125,1.0,,,,,,,,3758784
,,309,,143.08105,1.125,1.0,,,,,,,,48082864
,,310,,153.12685,1.125,1.0,,,,,,,,23082863
,,345,,137.04544,1.186,1.0,,,,,,,,20727445
,,365,,132.10162,1.273,1.0,,,,,,,,19679987
,,387,,229.11774,1.584,1.0,,,,,,,,78507816
,,409,,160.07524,2.707,1.0,,,,,,,,41640124
,,414,,160.07521,2.869,1.0,,,,,,,,40493504
,,431,,160.07527,3.191,1.0,,,,,,,,82188195
,,441,,130.15875,3.401,1.0,,,,,,,,34826973
,,495,,264.19543,4.281,1.0,,,,,,,,183215874
,,564,,264.19504,5.398,1.0,,,,,,,,26550364
,,576,,60.04517,5.534,1.0,,,,,,,,120710018
,,584,,58.06596,5.546,1.0,,,,,,,,14361429
,,591,,121.0647,5.546,1.0,,,,,,,,7722354
,,594,,260.20004,5.546,1.0,,,,,,,,21268865
,,598,,278.21097,5.546,1.0,,,,,,,,1087552616
,,604,,591.39014,5.546,1.0,,,,,,,,9119129
,,685,,246.20557,6.61,1.0,,,,,,,,8501932
,,733,,331.2468,7.143,1.0,,,,,,,,10585472
,,736,,376.30453,7.143,1.0,,,,,,,,10723644
,,756,,331.24673,7.265,1.0,,,,,,,,14525867
,,759,,376.30444,7.265,1.0,,,,,,,,9314093
,,763,,264.23129,7.278,1.0,,,,,,,,17419971
,,793,,374.28897,7.364,1.0,,,,,,,,15294672
,,799,,334.2728,7.451,1.0,,,,,,,,10082826
,,808,,331.2468,7.462,1.0,,,,,,,,7966097
,,834,,333.26205,7.525,1.0,,,,,,,,12350476
,,875,,244.18994,7.636,1.0,,,,,,,,10352321
,,883,,297.24146,7.636,1.0,,,,,,,,14719317
,,885,,315.25195,7.636,1.0,,,,,,,,11624871
,,887,,333.26282,7.636,1.0,,,,,,,,51567119
,,935,,376.30447,7.735,1.0,,,,,,,,17135500
,,943,,355.24661,7.796,1.0,,,,,,,,8020896
,,969,,398.28894,7.956,1.0,,,,,,,,18589438
,,995,,192.13771,8.18,1.0,,,,,,,,32350280
,,1002,,190.04929,8.216,1.0,,,,,,,,16796033
,,1008,,223.09583,8.216,1.0,,,,,,,,36632149
,,1014,,149.02299,8.229,1.0,,,,,,,,48030753
,,1059,,274.27356,8.463,1.0,,,,,,,,107614018
,,1067,,158.15359,8.512,1.0,,,,,,,,51603324
,,1073,,273.25272,8.549,1.0,,,,,,,,46743361
,,1079,,228.19531,8.561,1.0,,,,,,,,148975414
,,1121,,200.23668,8.758,1.0,,,,,,,,14373115
,,1130,,288.28882,8.844,1.0,,,,,,,,34025419
,,1151,,214.25238,8.941,1.0,,,,,,,,1210206662
,,1162,,64.01647,8.954,1.0,,,,,,,,50514964
,,1163,,463.47372,8.954,1.0,,,,,,,,4963397
,,1168,,288.2887,9.039,1.0,,,,,,,,23010758
,,1195,,432.23691,9.224,1.0,,,,,,,,21763837
,,1203,,330.26285,9.249,1.0,,,,,,,,34593571
,,1309,,376.25818,9.863,1.0,,,,,,,,16236274
,,1311,,393.2847,9.863,1.0,,,,,,,,28698082
,,1318,,421.31592,9.863,1.0,,,,,,,,29354668
,,1341,,316.3201,9.986,1.0,,,,,,,,10644802
,,1346,,300.28867,10.022,1.0,,,,,,,,10345495
,,1379,,415.20999,10.218,1.0,,,,,,,,26906363
,,1381,,432.23657,10.218,1.0,,,,,,,,21985856
,,1389,,460.26785,10.218,1.0,,,,,,,,86119693
,,1401,,279.23087,10.231,1.0,,,,,,,,12338953
,,1403,,297.24136,10.231,1.0,,,,,,,,16018904
,,1405,,315.25189,10.231,1.0,,,,,,,,13702701
,,1429,,388.22162,10.292,1.0,,,,,,,,10684389
,,1443,,297.24152,10.378,1.0,,,,,,,,7688808
,,1495,,330.33554,10.707,1.0,,,,,,,,23631948
,,1590,,274.17917,11.225,1.0,,,,,,,,17433745
,,1599,,279.15823,11.248,1.0,,,,,,,,66615876
,,1600,,149.02292,11.261,1.0,,,,,,,,30121079
,,1631,,255.23119,11.359,1.0,,,,,,,,40549757
,,1634,,273.24149,11.359,1.0,,,,,,,,11663850
,,1647,,358.36667,11.395,1.0,,,,,,,,6651447
,,1676,,271.22589,11.519,1.0,,,,,,,,14994626
,,1695,,454.29123,11.58,1.0,,,,,,,,5308960
,,1703,,226.01137,11.64,1.0,,,,,,,,18701444
,,1724,,281.2467,11.752,1.0,,,,,,,,24376639
,,1726,,299.25714,11.752,1.0,,,,,,,,16460979
,,1744,,734.56689,11.837,1.0,,,,,,,,19334535
,,1752,,64.01652,11.875,1.0,,,,,,,,34392901
,,1785,,105.0425,11.963,1.0,,,,,,,,32948148
,,1788,,131.53336,11.963,1.0,,,,,,,,225223405
,,1795,,184.98503,11.963,1.0,,,,,,,,14484034
,,1799,,214.25221,11.963,1.0,,,,,,,,11213247
,,1801,,226.01131,11.963,1.0,,,,,,,,15610582
,,1806,,734.56689,11.963,1.0,,,,,,,,14426866
,,1809,,113.07104,12.024,1.0,,,,,,,,80535240
,,1814,,140.08138,12.036,1.0,,,,,,,,106288665
,,1816,,56.05029,12.047,1.0,,,,,,,,164575970
,,1828,,60.04509,12.07,1.0,,,,,,,,750816020
,,1839,,81.0452,12.082,1.0,,,,,,,,219831652
,,1840,,150.10216,12.082,1.0,,,,,,,,200998559
,,1842,,165.12552,12.082,1.0,,,,,,,,75753822
,,1855,,112.05058,12.128,1.0,,,,,,,,247625166
,,1856,,124.08675,12.128,1.0,,,,,,,,22200142890
,,1857,,124.10082,12.128,1.0,,,,,,,,329740002
,,1858,,125.09013,12.128,1.0,,,,,,,,1617496226
