label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,sample
,,1,,136.06152,1.013,1.0,,,,,,,,33312760
,,10,,109.5217,1.025,1.0,,,,,,,,17502379
,,19,,131.53331,1.025,1.0,,,,,,,,20992471
,,44,,279.1582,1.025,1.0,,,,,,,,16898355
,,51,,84.08122,1.037,1.0,,,,,,,,390541356
,,53,,89.50712,1.037,1.0,,,,,,,,18872751
,,54,,103.09486,1.037,1.0,,,,,,,,3083808
,,64,,122.08108,1.037,1.0,,,,,,,,58146538
,,77,,154.98988,1.037,1.0,,,,,,,,39777019
,,83,,182.9848,1.037,1.0,,,,,,,,50258246
,,106,,83.06087,1.049,1.0,,,,,,,,1108611155
,,120,,123.0552,1.049,1.0,,,,,,,,52806226
,,187,,60.04512,1.06,1.0,,,,,,,,753459067
,,188,,61.04034,1.06,1.0,,,,,,,,14563661
,,210,,171.14861,1.06,1.0,,,,,,,,13211768
,,211,,171.99237,1.06,1.0,,,,,,,,23330320
,,247,,79.02172,1.085,1.0,,,,,,,,223846750
,,269,,132.10161,1.11,1.0,,,,,,,,11079052
,,301,,72.08141,1.161,1.0,,,,,,,,22706980
,,312,,137.04556,1.211,1.0,,,,,,,,46484384
,,315,,269.08722,1.211,1.0,,,,,,,,19037528
,,356,,229.11774,1.647,1.0,,,,,,,,57160928
,,367,,250.09261,1.906,1.0,,,,,,,,10288343
,,378,,294.2056,2.502,1.0,,,,,,,,70576165
,,384,,83.06087,2.567,1.0,,,,,,,,2582776202
,,406,,160.07523,2.878,1.0,,,,,,,,11242877
,,415,,294.20593,2.943,1.0,,,,,,,,73989448
,,435,,130.15886,3.252,1.0,,,,,,,,26754428
,,437,,160.07524,3.252,1.0,,,,,,,,38764502
,,468,,204.15886,3.817,1.0,,,,,,,,6436830
,,480,,250.17932,4.023,1.0,,,,,,,,13427666
,,493,,246.18436,4.138,1.0,,,,,,,,5737961
,,502,,264.19531,4.151,1.0,,,,,,,,325654035
