label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,sample
,,0,,59.04977,0.137,1.0,,,,,,,,33434554
,,4,,73.06526,0.174,1.0,,,,,,,,7540339
,,5,,81.07025,0.174,1.0,,,,,,,,6768229
,,6,,85.10142,0.174,1.0,,,,,,,,18084608
,,8,,87.0807,0.174,1.0,,,,,,,,8125888
,,9,,89.05995,0.174,1.0,,,,,,,,7949444
,,13,,99.08055,0.174,1.0,,,,,,,,7596616
,,14,,101.09615,0.174,1.0,,,,,,,,10131938
,,15,,103.11173,0.174,1.0,,,,,,,,14740462
,,19,,115.11161,0.174,1.0,,,,,,,,6264293
,,21,,121.12199,0.174,1.0,,,,,,,,28326132
,,27,,85.10138,0.905,1.0,,,,,,,,5057635
,,28,,103.11168,0.905,1.0,,,,,,,,4619103
,,31,,121.12194,0.905,1.0,,,,,,,,9046879
,,47,,149.02278,1.027,1.0,,,,,,,,19114748
,,59,,279.15793,1.027,1.0,,,,,,,,35606926
,,72,,83.06077,1.039,1.0,,,,,,,,989751232
,,73,,85.08446,1.039,1.0,,,,,,,,49673386
,,75,,89.50705,1.039,1.0,,,,,,,,24796705
,,81,,109.52161,1.039,1.0,,,,,,,,18475520
,,99,,154.98973,1.039,1.0,,,,,,,,46946727
,,105,,182.98466,1.039,1.0,,,,,,,,58821091
,,133,,84.08109,1.051,1.0,,,,,,,,780002595
,,144,,123.05497,1.051,1.0,,,,,,,,27296768
,,193,,122.08092,1.062,1.0,,,,,,,,72528413
,,227,,242.03371,1.062,1.0,,,,,,,,21461775
,,241,,127.07497,1.074,1.0,,,,,,,,4529933
,,244,,141.09036,1.074,1.0,,,,,,,,7368780
,,257,,199.98703,1.074,1.0,,,,,,,,55992310
,,273,,60.04506,1.086,1.0,,,,,,,,1018037874
,,279,,159.10081,1.086,1.0,,,,,,,,939863
,,286,,79.02169,1.099,1.0,,,,,,,,215632630
,,297,,171.14841,1.112,1.0,,,,,,,,17736258
,,315,,153.12669,1.161,1.0,,,,,,,,18405459
,,323,,280.18942,1.173,1.0,,,,,,,,8754906
,,327,,127.11135,1.185,1.0,,,,,,,,3953680
,,333,,72.0813,1.198,1.0,,,,,,,,31825105
,,335,,132.10152,1.198,1.0,,,,,,,,18244832
,,346,,137.04539,1.21,1.0,,,,,,,,27977881
,,353,,269.08682,1.21,1.0,,,,,,,,9962644
,,376,,257.11203,1.501,1.0,,,,,,,,28363999
,,382,,229.11749,1.616,1.0,,,,,,,,68290832
,,392,,166.08559,1.959,1.0,,,,,,,,13417466
,,400,,280.18973,2.341,1.0,,,,,,,,50796841
,,405,,110.0201,2.493,1.0,,,,,,,,55161805
,,406,,118.08615,2.557,1.0,,,,,,,,176854408
,,412,,294.20593,2.67,1.0,,,,,,,,263343097
,,418,,160.07523,2.72,1.0,,,,,,,,22116495
,,424,,280.19,2.834,1.0,,,,,,,,43334052
,,430,,160.07512,2.872,1.0,,,,,,,,25034754
,,456,,294.20581,3.011,1.0,,,,,,,,298104502
,,469,,160.07523,3.227,1.0,,,,,,,,55444889
