label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,sample
,,4,,136.06142,1.011,1.0,,,,,,,,49407745
,,19,,101.10755,1.022,1.0,,,,,,,,367805
,,21,,109.52167,1.022,1.0,,,,,,,,26214840
,,42,,149.02299,1.022,1.0,,,,,,,,32036079
,,65,,279.15833,1.022,1.0,,,,,,,,44167607
,,76,,83.06087,1.034,1.0,,,,,,,,740151143
,,77,,84.08123,1.034,1.0,,,,,,,,650654432
,,78,,85.08459,1.034,1.0,,,,,,,,56259715
,,80,,89.50714,1.034,1.0,,,,,,,,25764546
,,84,,103.09487,1.034,1.0,,,,,,,,4159788
,,86,,109.0225,1.034,1.0,,,,,,,,13951765
,,96,,123.05516,1.034,1.0,,,,,,,,32616519
,,108,,153.12694,1.034,1.0,,,,,,,,9656512
,,110,,154.9899,1.034,1.0,,,,,,,,49483015
,,120,,182.98486,1.034,1.0,,,,,,,,67599347
,,146,,60.04512,1.046,1.0,,,,,,,,569184383
,,157,,122.08108,1.046,1.0,,,,,,,,29449305
,,234,,199.98723,1.057,1.0,,,,,,,,58321808
,,246,,242.03389,1.057,1.0,,,,,,,,28815331
,,290,,79.02176,1.094,1.0,,,,,,,,187677064
,,309,,143.08105,1.131,1.0,,,,,,,,43173909
,,364,,137.04547,1.193,1.0,,,,,,,,21638993
,,395,,132.1017,1.266,1.0,,,,,,,,19275241
,,413,,229.11777,1.589,1.0,,,,,,,,79035752
,,433,,160.07527,2.726,1.0,,,,,,,,39217802
,,437,,160.07524,2.875,1.0,,,,,,,,36865140
,,447,,196.13263,3.073,1.0,,,,,,,,18536851
,,457,,160.07523,3.233,1.0,,,,,,,,111076837
,,465,,284.14822,3.382,1.0,,,,,,,,10435189
,,467,,130.1588,3.406,1.0,,,,,,,,25358335
,,554,,293.18494,5.047,1.0,,,,,,,,4925403
,,566,,277.19012,5.209,1.0,,,,,,,,7315767
,,602,,277.19025,5.754,1.0,,,,,,,,28384341
,,626,,291.20596,5.865,1.0,,,,,,,,270900915
,,699,,246.20552,6.607,1.0,,,,,,,,8834544
,,704,,427.25769,6.681,1.0,,,,,,,,20177066
,,719,,441.27322,6.781,1.0,,,,,,,,25107380
,,734,,441.27325,6.88,1.0,,,,,,,,9107812
,,764,,118.08627,7.065,1.0,,,,,,,,251251471
,,777,,331.24664,7.152,1.0,,,,,,,,8772724
,,780,,376.30444,7.152,1.0,,,,,,,,9104900
,,789,,441.27423,7.241,1.0,,,,,,,,130800954
,,803,,331.24677,7.264,1.0,,,,,,,,12510131
,,808,,264.23129,7.277,1.0,,,,,,,,17125566
,,811,,376.3045,7.277,1.0,,,,,,,,6326655
,,831,,455.28976,7.351,1.0,,,,,,,,127943103
,,849,,374.28879,7.377,1.0,,,,,,,,10352303
,,856,,334.27286,7.451,1.0,,,,,,,,8530122
,,863,,331.24664,7.463,1.0,,,,,,,,6164987
,,884,,279.23053,7.526,1.0,,,,,,,,4262351
,,891,,333.26196,7.526,1.0,,,,,,,,11727044
,,894,,378.31961,7.526,1.0,,,,,,,,4109579
,,920,,279.15823,7.612,1.0,,,,,,,,25199549
,,926,,244.19002,7.638,1.0,,,,,,,,9904473
,,931,,333.26276,7.638,1.0,,,,,,,,44090699
