label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,sample
,,3,,59.04969,0.111,1.0,,,,,,,,144104860
,,5,,61.02891,0.111,1.0,,,,,,,,14024300
,,7,,99.09957,0.111,1.0,,,,,,,,8009868
,,11,,57.07048,0.366,1.0,,,,,,,,6577722
,,12,,59.04969,0.366,1.0,,,,,,,,142116270
,,13,,61.02892,0.366,1.0,,,,,,,,12709079
,,15,,101.10715,1.023,1.0,,,,,,,,266710
,,25,,279.15735,1.023,1.0,,,,,,,,31983434
,,29,,89.50687,1.035,1.0,,,,,,,,31121654
,,33,,109.52143,1.035,1.0,,,,,,,,19116231
,,68,,83.06056,1.046,1.0,,,,,,,,940421774
,,69,,84.08091,1.046,1.0,,,,,,,,459103181
,,70,,85.08427,1.046,1.0,,,,,,,,39733694
,,88,,154.9893,1.046,1.0,,,,,,,,54671517
,,96,,182.98409,1.046,1.0,,,,,,,,54918355
,,120,,122.0807,1.058,1.0,,,,,,,,58769129
,,164,,268.10226,1.058,1.0,,,,,,,,10075529
,,177,,123.0548,1.07,1.0,,,,,,,,57676762
,,185,,171.99191,1.07,1.0,,,,,,,,29560221
,,212,,79.02159,1.094,1.0,,,,,,,,214448728
,,220,,132.10127,1.107,1.0,,,,,,,,10995573
,,234,,60.04495,1.132,1.0,,,,,,,,918727914
,,252,,72.08115,1.157,1.0,,,,,,,,20661118
,,266,,137.04523,1.218,1.0,,,,,,,,51406077
,,269,,269.08652,1.218,1.0,,,,,,,,21367655
,,285,,122.08073,1.279,1.0,,,,,,,,58488653
,,305,,229.11717,1.645,1.0,,,,,,,,66878290
,,315,,250.09209,1.913,1.0,,,,,,,,11216044
,,339,,165.09024,2.793,1.0,,,,,,,,7779064
,,341,,182.11674,2.793,1.0,,,,,,,,8793477
,,347,,242.06454,2.845,1.0,,,,,,,,6147724
,,366,,196.13252,2.972,1.0,,,,,,,,49810119
,,375,,160.07497,3.164,1.0,,,,,,,,12616628
,,380,,130.15868,3.254,1.0,,,,,,,,36159958
,,382,,160.07501,3.254,1.0,,,,,,,,23988795
,,387,,188.09224,3.369,1.0,,,,,,,,5315147
,,412,,204.15851,3.818,1.0,,,,,,,,4794644
,,419,,272.1843,3.895,1.0,,,,,,,,8719909
,,456,,220.15334,4.535,1.0,,,,,,,,6203470
,,479,,293.18469,4.893,1.0,,,,,,,,16299714
,,491,,277.18985,5.059,1.0,,,,,,,,7296423
,,564,,277.19049,5.593,1.0,,,,,,,,117374242
,,582,,291.20587,5.694,1.0,,,,,,,,274427952
,,649,,246.20544,6.429,1.0,,,,,,,,10912054
,,673,,427.25751,6.631,1.0,,,,,,,,16015311
,,679,,441.27295,6.682,1.0,,,,,,,,16938802
,,691,,457.26791,6.708,1.0,,,,,,,,21642687
,,708,,471.2836,6.796,1.0,,,,,,,,8899828
,,763,,441.2742,7.035,1.0,,,,,,,,168203956
,,772,,264.23105,7.047,1.0,,,,,,,,13359052
,,792,,455.28918,7.136,1.0,,,,,,,,91757595
,,817,,331.2464,7.275,1.0,,,,,,,,5661522
,,829,,216.15857,7.325,1.0,,,,,,,,9015534
,,900,,333.26215,7.652,1.0,,,,,,,,3654464
,,927,,533.32361,7.766,1.0,,,,,,,,6687528
,,989,,192.13766,8.192,1.0,,,,,,,,35326004
,,997,,274.27341,8.204,1.0,,,,,,,,161970739
,,1009,,149.02289,8.23,1.0,,,,,,,,20988646
,,1014,,223.09569,8.23,1.0,,,,,,,,10048193
,,1017,,230.24698,8.242,1.0,,,,,,,,9575886
,,1031,,288.28854,8.391,1.0,,,,,,,,27253714
,,1052,,158.15358,8.53,1.0,,,,,,,,47766418
,,1058,,228.19501,8.556,1.0,,,,,,,,52425142
,,1062,,288.28879,8.568,1.0,,,,,,,,72072955
,,1075,,214.2524,8.667,1.0,,,,,,,,290734602
,,1092,,288.28888,8.778,1.0,,,,,,,,47423600
,,1146,,387.17886,9.238,1.0,,,,,,,,17703070
,,1148,,404.20541,9.238,1.0,,,,,,,,15056293
,,1156,,432.237,9.238,1.0,,,,,,,,63668325
,,1168,,302.30417,9.325,1.0,,,,,,,,14414953
,,1200,,311.18411,9.612,1.0,,,,,,,,14425172
,,1216,,316.31998,9.685,1.0,,,,,,,,25774760
,,1235,,316.31992,9.87,1.0,,,,,,,,15238790
,,1243,,376.25812,9.882,1.0,,,,,,,,34126345
,,1246,,393.28476,9.882,1.0,,,,,,,,53465788
,,1255,,421.31598,9.882,1.0,,,,,,,,57165051
,,1305,,415.20996,10.228,1.0,,,,,,,,43087573
,,1309,,432.23651,10.228,1.0,,,,,,,,30499100
,,1312,,437.1918,10.228,1.0,,,,,,,,7641072
,,1319,,460.26782,10.228,1.0,,,,,,,,113389121
,,1328,,297.24136,10.24,1.0,,,,,,,,7973245
,,1359,,297.2413,10.376,1.0,,,,,,,,8010840
,,1369,,330.33554,10.402,1.0,,,,,,,,35026891
,,1398,,339.2518,10.623,1.0,,,,,,,,6645266
,,1470,,140.06779,10.993,1.0,,,,,,,,12062475
,,1517,,526.2912,11.016,1.0,,,,,,,,14220667
,,1547,,526.29102,11.163,1.0,,,,,,,,31242023
,,1567,,502.29095,11.189,1.0,,,,,,,,8491966
