label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,sample
,,3,,85.10155,0.123,1.0,,,,,,,,24183401
,,5,,87.08072,0.123,1.0,,,,,,,,11092354
,,13,,99.08075,0.123,1.0,,,,,,,,10433186
,,21,,115.1116,0.123,1.0,,,,,,,,8772161
,,39,,84.08122,0.137,1.0,,,,,,,,103489342
,,42,,103.11193,0.137,1.0,,,,,,,,19263504
,,46,,149.02301,1.019,1.0,,,,,,,,21810322
,,51,,279.15842,1.019,1.0,,,,,,,,28522319
,,65,,109.52168,1.031,1.0,,,,,,,,21106431
,,91,,154.98985,1.031,1.0,,,,,,,,47758954
,,98,,182.98479,1.031,1.0,,,,,,,,50965867
,,114,,57.07062,1.042,1.0,,,,,,,,4147121
,,117,,84.08121,1.042,1.0,,,,,,,,520537446
,,118,,85.08457,1.042,1.0,,,,,,,,33251804
,,152,,83.06085,1.054,1.0,,,,,,,,648212881
,,158,,103.09482,1.054,1.0,,,,,,,,2268225
,,162,,122.08105,1.054,1.0,,,,,,,,24349615
,,163,,123.05512,1.054,1.0,,,,,,,,53694899
,,221,,199.98724,1.066,1.0,,,,,,,,53990239
,,239,,60.04512,1.092,1.0,,,,,,,,615790920
,,240,,79.02174,1.092,1.0,,,,,,,,208596174
,,242,,159.10109,1.092,1.0,,,,,,,,924601
,,285,,158.96086,1.153,1.0,,,,,,,,32337646
,,332,,57.07063,1.191,1.0,,,,,,,,5918152
,,333,,72.08138,1.191,1.0,,,,,,,,32062591
,,335,,132.1017,1.191,1.0,,,,,,,,16308407
,,345,,137.13219,1.203,1.0,,,,,,,,74335820
,,355,,137.04555,1.216,1.0,,,,,,,,26907138
,,359,,269.0871,1.216,1.0,,,,,,,,9479382
,,381,,257.11237,1.495,1.0,,,,,,,,32695437
,,390,,229.11755,1.621,1.0,,,,,,,,69100692
,,418,,160.07521,2.755,1.0,,,,,,,,22202390
,,425,,160.07521,2.857,1.0,,,,,,,,21484975
,,452,,165.09062,3.033,1.0,,,,,,,,33389099
,,454,,196.13286,3.033,1.0,,,,,,,,220980992
,,464,,160.07524,3.197,1.0,,,,,,,,70591965
,,471,,130.1588,3.336,1.0,,,,,,,,23886278
,,552,,293.18488,4.976,1.0,,,,,,,,8078238
,,574,,277.19012,5.143,1.0,,,,,,,,9571380
,,649,,277.19046,5.678,1.0,,,,,,,,36060612
,,663,,291.20621,5.777,1.0,,,,,,,,211511778
,,684,,182.98459,5.826,1.0,,,,,,,,27833744
,,706,,425.24182,6.138,1.0,,,,,,,,14030722
,,738,,246.2056,6.524,1.0,,,,,,,,9620386
,,741,,427.25797,6.587,1.0,,,,,,,,17421062
,,748,,441.27347,6.688,1.0,,,,,,,,19311630
,,757,,427.2579,6.726,1.0,,,,,,,,28489220
,,769,,441.2735,6.789,1.0,,,,,,,,31538316
,,779,,457.26828,6.802,1.0,,,,,,,,12215869
,,823,,430.29367,7.129,1.0,,,,,,,,3541845
,,834,,441.27435,7.142,1.0,,,,,,,,167551743
,,851,,331.24667,7.154,1.0,,,,,,,,5562387
,,858,,264.23129,7.166,1.0,,,,,,,,15912008
,,869,,455.28918,7.243,1.0,,,,,,,,55486233
