id,mz,rt,rtmin,rtmax,mean_inten,CPD-D-60m,CPD-H-60m,CPD-M-60m,CPD-R-60m
112,630.87346,3.0582,3.008,3.1094,85050.0,1128.0,2862.0,25.69,26.47
113,585.37568,3.0799,2.9205,3.2578,254200.0,12040.0,4916.0,566.6,8282.0
114,541.34965,3.1307,3.0803,3.2379,113700.0,2059.0,5567.0,197.2,811.1
115,760.88091,3.1807,3.1185,3.2599,176600.0,605.0,5788.0,46.29,26.89
116,487.30638,3.2171,3.1746,3.2688,73900.0,385.9,2777.0,,
117,608.82494,3.3786,3.2869,3.4911,101300.0,3781.0,358.1,31.08,84.31
118,786.16571,3.3666,3.227,3.9587,247300.0,53620.0,35870.0,19350.0,9163.0
119,373.26462,3.3707,3.3095,3.5289,116600.0,5090.0,3860.0,5140.0,4324.0
121,372.25987,3.3707,3.3195,3.7888,639800.0,28090.0,25710.0,32290.0,27880.0
122,875.55053,3.3378,3.2599,3.4647,170400.0,6640.0,1623.0,,70.74
123,395.21093,3.5138,3.3756,3.5968,74640.0,86.41,2736.0,46.4,45.12
124,358.20779,3.4186,3.3188,3.7772,682200.0,30860.0,29560.0,36330.0,33680.0
125,386.23901,3.4209,3.3261,3.7105,600800.0,27460.0,27340.0,31100.0,28790.0
126,356.22839,3.4209,3.3678,3.501,91380.0,3871.0,3504.0,4491.0,3842.0
127,500.31379,3.4538,3.3195,3.6132,92130.0,3710.0,123.7,41.9,
128,457.11258,3.4338,3.3931,3.7184,194100.0,8676.0,11860.0,2966.0,1997.0
130,372.18704,3.4659,3.3398,3.7772,179000.0,8333.0,9810.0,9285.0,8865.0
131,377.14596,3.576,3.5328,3.8803,556800.0,13750.0,24170.0,10930.0,15550.0
132,370.20786,3.4726,3.387,3.5498,143200.0,7638.0,7570.0,8319.0,8017.0
133,471.35496,3.4952,3.4514,3.6094,77190.0,2895.0,2699.0,3032.0,2964.0
134,640.83341,3.4102,3.3069,3.6094,144400.0,4970.0,174.2,,
135,393.20992,3.5278,3.4423,3.6564,100900.0,4778.0,3860.0,5955.0,4724.0
136,371.22816,3.5278,3.4928,3.6281,528400.0,17340.0,15970.0,19270.0,17160.0
137,388.25485,3.5278,3.4802,3.8781,4108000.0,174700.0,146000.0,189000.0,177800.0
138,416.28606,3.5278,3.4802,3.8723,695000.0,32410.0,24640.0,32340.0,30590.0
139,520.80415,3.552,3.502,3.6551,190300.0,686.1,7979.0,,
140,385.20747,3.576,3.5077,3.7357,126000.0,3861.0,4039.0,4950.0,3921.0
141,447.286,3.576,3.4569,3.8151,140700.0,12800.0,5889.0,15440.0,15160.0
143,402.23432,3.576,3.523,3.9887,1015000.0,40390.0,40120.0,45800.0,44500.0
144,430.26499,3.576,3.4961,3.9213,606200.0,26700.0,20760.0,30340.0,26730.0
146,400.25466,3.5864,3.4911,3.6853,107200.0,4735.0,3731.0,4710.0,4223.0
147,416.21333,3.6274,3.523,3.8349,205500.0,7631.0,10120.0,9828.0,9601.0
149,506.77457,3.626,3.5968,3.7483,109800.0,4466.0,29.48,,
150,414.23394,3.6427,3.5542,3.7213,211100.0,8916.0,9098.0,10500.0,10690.0
151,356.22844,3.6463,3.5829,4.1606,3934000.0,176300.0,151600.0,192500.0,199900.0
152,605.36502,3.6494,3.6185,3.6853,122600.0,4230.0,280.7,,
153,415.25436,3.6621,3.6276,3.8228,1080000.0,43080.0,36330.0,47290.0,45270.0
154,432.28121,3.6621,3.6132,4.0308,4953000.0,213600.0,187700.0,232200.0,225000.0
155,460.31215,3.6621,3.6132,4.0221,927200.0,35420.0,30670.0,40880.0,38440.0
157,437.2363,3.6657,3.6132,3.7916,109200.0,3882.0,2818.0,5428.0,4271.0
158,563.29723,3.687,3.5542,4.0385,182200.0,20540.0,15440.0,22970.0,22190.0
159,475.28102,3.6964,3.5862,4.1085,696800.0,73020.0,68950.0,85840.0,84970.0
160,370.20787,3.7118,3.6419,3.8637,329200.0,14950.0,15430.0,18430.0,16940.0
161,429.23381,3.7118,3.6553,3.9235,159900.0,6343.0,5861.0,6862.0,6425.0
162,446.26047,3.7118,3.6787,3.7653,1029000.0,32370.0,30470.0,36230.0,35590.0
163,460.23965,3.7668,3.6879,3.9444,225400.0,10220.0,10400.0,10390.0,10430.0
164,459.28045,3.7807,3.7419,3.9587,950500.0,40860.0,36300.0,41000.0,41530.0
165,430.22574,3.7807,3.6158,3.931,140900.0,12890.0,8434.0,7401.0,13980.0
166,458.26001,3.7843,3.7105,3.9378,195500.0,9538.0,9562.0,10070.0,11410.0
167,476.30741,3.7843,3.7357,4.1949,5421000.0,251200.0,225900.0,258800.0,255400.0
168,504.33845,3.7843,3.7419,3.9876,747000.0,32010.0,27840.0,29160.0,29330.0
169,370.24393,3.7866,3.6771,3.9068,127500.0,5511.0,4696.0,9519.0,7394.0
170,355.19659,3.8189,3.7772,3.9788,915500.0,38300.0,36150.0,40050.0,40270.0
171,372.22332,3.8189,3.7646,4.7252,15360000.0,774700.0,683400.0,824700.0,872800.0
172,400.25469,3.8189,3.7509,4.2682,3161000.0,148500.0,132900.0,155300.0,156000.0
173,377.17844,3.8224,3.7653,3.9809,481000.0,18920.0,19010.0,21640.0,23550.0
174,518.31784,3.8368,3.7888,3.9444,296700.0,9362.0,7973.0,10030.0,9542.0
