row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,CPD-D-60m.mzML Peak area,CPD-H-60m.mzML Peak area,CPD-M-60m.mzML Peak area,CPD-R-60m.mzML Peak area,
112,630.8734618825521,3.058237,,,,,,,,,,,1128.1383,2862.0476,25.69194,26.46682,
113,585.3756823122121,3.0799303,,,,,,,,,,,12037.554,4915.8,566.6239,8281.925,
114,541.3496523468507,3.1306815,,,,,,,,,,,2059.3252,5567.2563,197.17505,811.1495,
115,760.8809148339774,3.1806738,,,,,,,,,,,604.958,5788.031,46.294067,26.89116,
116,487.3063840762719,3.2170863,,,,,,,,,,,385.8659,2777.0664,0,0,
117,608.8249401153928,3.3785825,,,,,,,,,,,3780.9336,358.0653,31.075138,84.30633,
118,786.1657056233383,3.3666275,,,,,,,,,,,53617.24,35870.188,19351.49,9162.973,
119,373.26462025734827,3.3707259,,,,,,,,,,,5089.7783,3859.8557,5140.175,4324.207,
121,372.2598691798085,3.3707259,,,,,,,,,,,28090.545,25714.982,32289.133,27875.258,
122,875.5505322569178,3.3378372,,,,,,,,,,,6639.9937,1623.12,0,70.74459,
123,395.21093439931764,3.5138464,,,,,,,,,,,86.414894,2735.8252,46.397423,45.118492,
124,358.2077943148149,3.418588,,,,,,,,,,,30863.49,29557.654,36333.812,33678.535,
125,386.2390075751131,3.4208608,,,,,,,,,,,27459.33,27343.729,31095.111,28787.607,
126,356.2283942612844,3.4208608,,,,,,,,,,,3870.9587,3504.414,4490.5806,3842.428,
127,500.313786846325,3.4537678,,,,,,,,,,,3710.0725,123.67887,41.89679,0,
128,457.11257770976874,3.4337702,,,,,,,,,,,8676.264,11861.325,2965.9287,1997.2279,
130,372.1870399912821,3.4659004,,,,,,,,,,,8332.731,9809.664,9285.365,8865.447,
131,377.14596034339235,3.576014,,,,,,,,,,,13749.274,24166.2,10930.885,15547.583,
132,370.20785515547357,3.4726353,,,,,,,,,,,7638.4834,7569.533,8318.887,8017.3164,
