id,mz,rt,rtmin,rtmax,mean_inten,DPT-D-60m,DPT-H-60m,DPT-M-60m,DPT-R-60m
119,630.88273,3.0698,3.0103,3.1373,86830.0,1028.0,3287.0,34.6,
120,468.23079,3.0134,2.8609,3.1146,96200.0,36.8,3144.0,,46.32
121,585.37577,3.0856,2.9169,3.2568,395000.0,18130.0,10770.0,758.6,9948.0
123,541.34833,3.1355,3.0744,3.252,126400.0,3503.0,5934.0,433.1,1738.0
124,760.88157,3.1628,3.1191,3.2584,165000.0,461.8,6609.0,54.2,79.06
125,487.30662,3.2134,3.1902,3.2801,75720.0,292.9,2648.0,,
126,611.31848,3.2634,3.1065,3.3875,62310.0,2340.0,492.7,49.43,
127,608.82191,3.266,3.1647,3.3963,131900.0,4364.0,230.0,34.33,42.63
129,786.16589,3.3566,3.2137,3.9747,251800.0,53750.0,39990.0,30080.0,23230.0
130,875.5445,3.364,3.3343,3.4359,177000.0,5830.0,1853.0,,
135,551.30093,3.525,3.3753,3.606,82650.0,298.2,2987.0,284.6,327.9
138,457.11267,3.4365,3.3963,3.7461,309200.0,7169.0,19630.0,4461.0,2924.0
139,500.31525,3.4517,3.3147,3.586,79560.0,3236.0,126.7,55.19,
140,926.95125,3.5217,3.4214,3.6187,186900.0,6775.0,2305.0,146.1,65.96
144,471.35509,3.5015,3.4534,3.6473,76970.0,2812.0,2762.0,3260.0,3363.0
145,640.83774,3.3928,3.3168,3.5589,135700.0,5253.0,39.06,28.21,
148,416.28615,3.525,3.4742,3.7948,917300.0,34570.0,28190.0,39600.0,38040.0
150,766.40422,3.5147,3.3984,3.5951,82050.0,2807.0,113.3,116.1,53.93
151,447.28609,3.525,3.4598,3.8258,160100.0,14830.0,12460.0,16880.0,16620.0
152,520.80448,3.5506,3.5004,3.6685,199500.0,622.4,8701.0,,
154,402.23439,3.5738,3.5211,3.9747,1009000.0,38790.0,38010.0,43540.0,45660.0
155,430.26505,3.5738,3.4937,3.8419,565500.0,21980.0,23620.0,29290.0,28620.0
157,953.37037,3.6586,3.5337,3.7461,121700.0,4965.0,76.24,171.1,
159,421.16866,3.6293,3.5591,3.8236,107300.0,3996.0,4931.0,4500.0,3908.0
160,416.21346,3.6293,3.5337,3.8419,202500.0,7755.0,9132.0,9158.0,9982.0
162,414.23375,3.6401,3.5591,3.797,219400.0,9003.0,8046.0,12980.0,10670.0
164,415.25444,3.6648,3.6271,3.8275,1234000.0,49670.0,42350.0,55490.0,52990.0
165,432.28127,3.6648,3.6131,4.0582,5707000.0,243400.0,214100.0,272600.0,261000.0
166,460.31223,3.6648,3.6131,3.9646,1002000.0,42650.0,35670.0,46150.0,43250.0
167,437.2364,3.6684,3.6131,3.797,121700.0,5263.0,4018.0,6354.0,4768.0
