row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,DPT-D-60m.mzML Peak area,DPT-H-60m.mzML Peak area,DPT-M-60m.mzML Peak area,DPT-R-60m.mzML Peak area,
119,630.8827315847851,3.069848,,,,,,,,,,,1027.8833,3286.9292,34.599503,0,
120,468.2307910786723,3.0133593,,,,,,,,,,,36.797787,3143.832,0,46.321667,
121,585.375771464011,3.0855858,,,,,,,,,,,18131.209,10769.17,758.60077,9947.992,
123,541.3483341691503,3.135526,,,,,,,,,,,3503.2976,5934.072,433.1389,1737.8921,
124,760.8815657991205,3.1628056,,,,,,,,,,,461.7972,6609.0293,54.196426,79.059425,
125,487.3066184712866,3.2134314,,,,,,,,,,,292.85016,2648.195,0,0,
126,611.3184758990786,3.2633955,,,,,,,,,,,2339.5398,492.7021,49.430424,0,
127,608.8219102376827,3.2660403,,,,,,,,,,,4364.425,229.994,34.330994,42.634377,
129,786.1658927088461,3.3566477,,,,,,,,,,,53746.9,39992.69,30077.115,23225.344,
130,875.5444950311236,3.3640087,,,,,,,,,,,5830.1196,1853.4747,0,0,
135,551.300927121609,3.5249872,,,,,,,,,,,298.16034,2987.3855,284.57428,327.92432,
138,457.1126688222936,3.436479,,,,,,,,,,,7168.601,19633.904,4460.941,2924.062,
139,500.3152509404199,3.4517152,,,,,,,,,,,3235.5344,126.69691,55.18599,0,
140,926.9512526261441,3.5217185,,,,,,,,,,,6774.6636,2305.2583,146.07619,65.95979,
144,471.355088274437,3.5015159,,,,,,,,,,,2811.957,2762.409,3260.0356,3363.1326,
145,640.8377403758656,3.3927882,,,,,,,,,,,5253.4907,39.057465,28.20945,0,
148,416.286146798138,3.5250494,,,,,,,,,,,34567.965,28186.139,39596.223,38040.87,
150,766.4042191874687,3.5147238,,,,,,,,,,,2806.9548,113.33222,116.089554,53.93107,
151,447.28609226741247,3.5250494,,,,,,,,,,,14831.613,12459.308,16876.178,16620.506,
152,520.8044759923304,3.5505648,,,,,,,,,,,622.42615,8700.737,0,0,
154,402.23438932980986,3.5737755,,,,,,,,,,,38790.945,38007.1,43535.227,45661.52,
155,430.26505149952305,3.5737755,,,,,,,,,,,21976.45,23617.57,29291.402,28619.121,
157,953.3703702201834,3.6586494,,,,,,,,,,,4964.771,76.23696,171.136,0,
159,421.16865823279664,3.6292841,,,,,,,,,,,3995.8206,4930.508,4499.66,3907.8042,
160,416.21346324648886,3.6292841,,,,,,,,,,,7754.8745,9132.4375,9157.797,9981.702,
162,414.2337549752432,3.6400728,,,,,,,,,,,9002.93,8045.9233,12983.282,10671.076,
164,415.2544435136013,3.6648324,,,,,,,,,,,49670.164,42346.973,55486.34,52993.316,
